0,time,week
29.35,2019-10-26 00:00:00,6
28.99,2019-10-26 01:00:00,6
28.36,2019-10-26 02:00:00,6
28.64,2019-10-26 03:00:00,6
28.79,2019-10-26 04:00:00,6
28.9,2019-10-26 05:00:00,6
29.34,2019-10-26 06:00:00,6
29.52,2019-10-26 07:00:00,6
30.41,2019-10-26 08:00:00,6
34.17,2019-10-26 09:00:00,6
37.03,2019-10-26 10:00:00,6
43.35,2019-10-26 11:00:00,6
50.83,2019-10-26 12:00:00,6
55.19,2019-10-26 13:00:00,6
56.8,2019-10-26 14:00:00,6
55.35,2019-10-26 15:00:00,6
55.71,2019-10-26 16:00:00,6
47.84,2019-10-26 17:00:00,6
43.16,2019-10-26 18:00:00,6
37.6,2019-10-26 19:00:00,6
35.02,2019-10-26 20:00:00,6
34.68,2019-10-26 21:00:00,6
32.84,2019-10-26 22:00:00,6
31.92,2019-10-26 23:00:00,6
27.87,2019-11-02 00:00:00,6
28.99,2019-11-02 01:00:00,6
28.86,2019-11-02 02:00:00,6
29.13,2019-11-02 03:00:00,6
29.87,2019-11-02 04:00:00,6
30.71,2019-11-02 05:00:00,6
29.98,2019-11-02 06:00:00,6
28.76,2019-11-02 07:00:00,6
27.27,2019-11-02 08:00:00,6
25.17,2019-11-02 09:00:00,6
25.84,2019-11-02 10:00:00,6
27.81,2019-11-02 11:00:00,6
36.16,2019-11-02 12:00:00,6
40.94,2019-11-02 13:00:00,6
45.72,2019-11-02 14:00:00,6
48.18,2019-11-02 15:00:00,6
46.55,2019-11-02 16:00:00,6
37.51,2019-11-02 17:00:00,6
31.19,2019-11-02 18:00:00,6
29.92,2019-11-02 19:00:00,6
28.19,2019-11-02 20:00:00,6
29.13,2019-11-02 21:00:00,6
26.97,2019-11-02 22:00:00,6
26.71,2019-11-02 23:00:00,6
32.51,2019-10-27 00:00:00,7
31.13,2019-10-27 01:00:00,7
30.65,2019-10-27 02:00:00,7
30.72,2019-10-27 03:00:00,7
30.39,2019-10-27 04:00:00,7
29.71,2019-10-27 05:00:00,7
29.97,2019-10-27 06:00:00,7
29.03,2019-10-27 07:00:00,7
28.52,2019-10-27 08:00:00,7
30.31,2019-10-27 09:00:00,7
32.66,2019-10-27 10:00:00,7
38.95,2019-10-27 11:00:00,7
49.18,2019-10-27 12:00:00,7
53.77,2019-10-27 13:00:00,7
56.29,2019-10-27 14:00:00,7
55.36,2019-10-27 15:00:00,7
55.33,2019-10-27 16:00:00,7
46.67,2019-10-27 17:00:00,7
40.58,2019-10-27 18:00:00,7
39.12,2019-10-27 19:00:00,7
37.6,2019-10-27 20:00:00,7
37.36,2019-10-27 21:00:00,7
34.61,2019-10-27 22:00:00,7
33.13,2019-10-27 23:00:00,7
26.53,2019-11-03 00:00:00,7
26.41,2019-11-03 01:00:00,7
25.64,2019-11-03 02:00:00,7
26.4,2019-11-03 03:00:00,7
27.31,2019-11-03 04:00:00,7
27.97,2019-11-03 05:00:00,7
28.25,2019-11-03 06:00:00,7
26.17,2019-11-03 07:00:00,7
27.06,2019-11-03 08:00:00,7
26.69,2019-11-03 09:00:00,7
27.56,2019-11-03 10:00:00,7
33.27,2019-11-03 11:00:00,7
40.15,2019-11-03 12:00:00,7
43.1,2019-11-03 13:00:00,7
46.34,2019-11-03 14:00:00,7
48.02,2019-11-03 15:00:00,7
44.6,2019-11-03 16:00:00,7
37.91,2019-11-03 17:00:00,7
33.11,2019-11-03 18:00:00,7
30.99,2019-11-03 19:00:00,7
29.82,2019-11-03 20:00:00,7
27.78,2019-11-03 21:00:00,7
27.1,2019-11-03 22:00:00,7
26.68,2019-11-03 23:00:00,7
30.44,2019-11-09 00:00:00,6
29.53,2019-11-09 01:00:00,6
29.45,2019-11-09 02:00:00,6
29.19,2019-11-09 03:00:00,6
29.0,2019-11-09 04:00:00,6
28.87,2019-11-09 05:00:00,6
28.9,2019-11-09 06:00:00,6
31.36,2019-11-09 07:00:00,6
34.77,2019-11-09 08:00:00,6
39.48,2019-11-09 09:00:00,6
45.36,2019-11-09 10:00:00,6
49.99,2019-11-09 11:00:00,6
52.4,2019-11-09 12:00:00,6
55.05,2019-11-09 13:00:00,6
56.67,2019-11-09 14:00:00,6
55.51,2019-11-09 15:00:00,6
51.53,2019-11-09 16:00:00,6
45.48,2019-11-09 17:00:00,6
40.86,2019-11-09 18:00:00,6
38.82,2019-11-09 19:00:00,6
34.67,2019-11-09 20:00:00,6
35.23,2019-11-09 21:00:00,6
32.53,2019-11-09 22:00:00,6
33.79,2019-11-09 23:00:00,6
28.44,2019-11-16 00:00:00,6
27.92,2019-11-16 01:00:00,6
28.05,2019-11-16 02:00:00,6
28.1,2019-11-16 03:00:00,6
27.96,2019-11-16 04:00:00,6
28.39,2019-11-16 05:00:00,6
29.23,2019-11-16 06:00:00,6
27.96,2019-11-16 07:00:00,6
26.99,2019-11-16 08:00:00,6
27.17,2019-11-16 09:00:00,6
27.56,2019-11-16 10:00:00,6
30.61,2019-11-16 11:00:00,6
