avg,cen
28.49259259259259,26.36
27.50444444444445,25.98
26.776666666666674,24.94
25.84814814814815,24.47
25.31259259259259,24.29
25.24296296296296,24.16
25.435185185185187,25.66
27.641111111111105,27.89
33.50740740740742,32.88
39.06296296296296,39.5
43.59481481481483,46.19
47.01629629629629,50.23
50.91888888888889,54.68
54.77222222222223,58.53
56.18444444444445,60.85
56.26148148148149,63.03
53.929259259259254,60.17
48.424814814814816,56.16
43.50407407407409,48.37
38.27407407407408,41.57
35.58444444444444,36.26
33.53925925925926,34.73
31.47962962962963,29.35
29.912592592592596,27.8
