p,k,db,cp,sp,gyh_db,gyh_cp,gyh_sp,zb,exemplars,labels
-6.5,5,0.6052570584575443,1.6360262892379804,14.19132130732309,0.0,0.0,0.0,0.0,[19 30 35 69 79],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 30 30 30 35 19 19 19 19 30 30 30 30 19 30 30 30
 19 30 30 19 30 30 30 69 69 30 30 30 69 30 69 69 69 69 30 19 69 69 69 30
 30 30 30 30 30 19 30 79 30]"
-7.5,5,0.6052570584575443,1.6360262892379804,14.19132130732309,0.0,0.0,0.0,0.0,[19 30 35 69 79],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 30 30 30 35 19 19 19 19 30 30 30 30 19 30 30 30
 19 30 30 19 30 30 30 69 69 30 30 30 69 30 69 69 69 69 30 19 69 69 69 30
 30 30 30 30 30 19 30 79 30]"
-8.5,6,1.151569374623307,2.1776230098660974,11.065946730234177,0.5781058913688687,0.25069527573244277,0.4121006703365183,0.45475193220167465,[19 21 30 59 69 79],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 59 59 30 21 19 19 19 19 30 30 30 30 19 30 30 59
 19 30 30 19 30 30 59 59 59 30 59 59 69 30 69 69 69 59 59 19 69 69 69 30
 30 30 30 30 30 19 30 79 30]"
-9.5,6,1.1505426122737838,2.1769331378224184,11.065946730234177,0.5770193748366017,0.25037594650532036,0.4121006703365183,0.45412884162876055,[19 21 30 59 69 79],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 59 59 30 21 19 19 19 19 30 30 30 30 19 30 30 59
 19 30 30 19 30 30 59 59 59 30 59 59 69 30 69 69 69 59 59 19 69 69 69 30
 30 30 19 30 30 19 30 79 30]"
-10.5,4,1.550260948440704,3.0534015248692787,6.607313801252412,1.0,0.6560772286450168,1.0,0.9140193071612542,[19 21 30 59],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 59 59 30 21 19 19 19 19 30 30 30 30 19 30 30 59
 19 30 30 19 30 30 59 59 59 30 59 59 59 30 59 59 59 59 59 19 59 59 59 30
 30 30 19 30 30 19 30 19 30]"
-11.5,3,1.4015117464408886,2.9945039255003643,7.003142280611438,0.8425940849804692,0.6288146006574529,0.9478074779010726,0.8154525621298659,[19 30 59],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 59 59 30 30 19 19 19 19 30 30 30 30 19 30 30 59
 19 30 30 19 30 30 59 59 59 30 59 59 59 30 59 59 59 59 59 19 59 59 59 30
 30 30 19 30 30 19 30 19 30]"
-12.5,3,1.4015117464408886,2.9945039255003643,7.003142280611438,0.8425940849804692,0.6288146006574529,0.9478074779010726,0.8154525621298659,[19 30 59],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 59 59 30 30 19 19 19 19 30 30 30 30 19 30 30 59
 19 30 30 19 30 30 59 59 59 30 59 59 59 30 59 59 59 59 59 19 59 59 59 30
 30 30 19 30 30 19 30 19 30]"
-13.5,3,0.8948655881485913,2.8806259575199387,9.912592709589312,0.3064627910644981,0.5761025595845422,0.5641777904767152,0.43830148304756333,[19 30 69],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 30 30 30 30 19 19 19 19 30 30 30 30 19 30 30 30
 19 30 30 19 30 30 30 69 69 30 30 30 69 30 69 69 69 69 30 19 69 69 69 30
 30 30 19 30 30 19 30 19 30]"
-14.5,3,1.4015117464408886,2.9945039255003643,7.003142280611438,0.8425940849804692,0.6288146006574529,0.9478074779010726,0.8154525621298659,[19 30 59],"[19 19 19 19 19 19 19 30 30 30 30 19 19 19 19 19 19 19 19 19 19 19 30 30
 19 19 19 19 19 30 30 30 59 59 30 30 19 19 19 19 30 30 30 30 19 30 30 59
 19 30 30 19 30 30 59 59 59 30 59 59 59 30 59 59 59 59 59 19 59 59 59 30
 30 30 19 30 30 19 30 19 30]"
-15.5,3,0.8430097087183369,3.2328797836880816,11.042809019030301,0.2515890704587782,0.7391544517315531,0.41515152586182674,0.4143710296277341,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23 23  2 23 23 23  2  2 23  2 23 23 23 23
 23  2  2  2  2 23 23 23 23 69 23 23 23 23 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-16.5,3,0.8587051639244598,3.2470639691878485,11.00269781448277,0.2681979493983163,0.7457200533304331,0.4204404452775081,0.42563909935114347,[ 2 30 69],"[ 2  2  2  2  2  2  2 30 30 30 30  2  2 30  2  2  2  2  2  2  2 30 30 30
 30  2  2  2  2 30 30 30 30 30 30 30 30  2 30 30 30 30 30 30  2 30 30 30
  2 30 30  2 30 30 30 69 69 30 30 69 69 30 69 69 69 69 30  2 69 69 69 30
 30 30 30 30 30 30 30  2 30]"
-17.5,3,0.8715894007495866,3.2948948277151366,11.00269781448277,0.2818320063177607,0.7678600881761233,0.4204404452775081,0.4379911365222882,[ 2 30 69],"[ 2  2  2  2  2  2  2 30 30 30 30  2  2 30  2  2  2  2  2  2  2 30 30 30
 30  2  2  2  2 30 30 30 30 30 30 30 30  2 30 30 30 30 30 30  2 30 30 30
  2 30 30  2 30 30 69 69 69 30 30 69 69 30 69 69 69 69 30  2 69 69 69 30
 30 30 30 30 30 30 30  2 30]"
-18.5,3,0.851279237769274,3.327094987877684,11.00269781448277,0.26033985882969646,0.7827649569153885,0.4204404452775081,0.4309712799630724,[ 2 30 69],"[ 2  2  2  2  2  2  2 30 30 30 30  2  2 30  2  2  2  2  2  2  2 30 30 30
 30  2  2  2  2 30 30 30 30 30 30  2 30  2 30  2 30 30 30 30  2 30 30 30
  2 30 30  2 30 30 69 69 69 30 30 69 69 30 69 69 69 69 30  2 69 69 69 30
 30 30 30 30 30 30 30  2 30]"
-19.5,3,0.8622402876902271,3.3410652053339547,11.042809019030301,0.2719388057093208,0.7892315165968804,0.41515152586182674,0.4370651634693372,[ 2 23 69],"[ 2  2  2  2  2  2  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-20.5,3,0.8622402876902271,3.3410652053339547,11.042809019030301,0.2719388057093208,0.7892315165968804,0.41515152586182674,0.4370651634693372,[ 2 23 69],"[ 2  2  2  2  2  2  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-21.5,3,0.8616526105090911,3.3373485121669773,11.042809019030301,0.27131692765425114,0.7875111268994913,0.41515152586182674,0.4363241270174551,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-22.5,3,0.8616526105090911,3.3373485121669773,11.042809019030301,0.27131692765425114,0.7875111268994913,0.41515152586182674,0.4363241270174551,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-23.5,3,0.8622402876902271,3.3410652053339547,11.042809019030301,0.2719388057093208,0.7892315165968804,0.41515152586182674,0.4370651634693372,[ 2 23 69],"[ 2  2  2  2  2  2  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-24.5,3,0.8616526105090911,3.3373485121669773,11.042809019030301,0.27131692765425114,0.7875111268994913,0.41515152586182674,0.4363241270174551,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-25.5,3,0.8430097087183369,3.2328797836880816,11.042809019030301,0.2515890704587782,0.7391544517315531,0.41515152586182674,0.4143710296277341,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23 23  2 23 23 23  2  2 23  2 23 23 23 23
 23  2  2  2  2 23 23 23 23 69 23 23 23 23 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-26.5,3,0.8616526105090911,3.3373485121669773,11.042809019030301,0.27131692765425114,0.7875111268994913,0.41515152586182674,0.4363241270174551,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23  2  2 23 23 23  2  2 23  2  2 23 23 23
 23  2  2  2  2 23 23 23 23 69 23  2 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-27.5,3,0.8498595771040472,3.2667028557809155,11.042809019030301,0.2588375785954298,0.7548105368987554,0.41515152586182674,0.42190930498786045,[ 2 23 69],"[ 2  2  2  2  2 23  2 23 23 23 23 23  2 23 23 23  2  2 23  2 23 23 23 23
 23  2  2  2  2 23 23 23 23 69 23 23 23  2 23 23 23 23 23 23  2 23 23 69
  2 23 23  2 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69  2 69 69 69 23
 23 23 23 23 23 23 23  2 23]"
-28.5,2,0.8648194449669417,3.796404936365507,8.779647493958988,0.2746680614341418,1.0,0.7135638788638178,0.5657250004330253,[23 69],"[23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 23 23 23 23 23 23 69 23 23 23 23 23 23 23 23 23 23 23 23 23 69
 23 23 23 23 23 23 69 69 69 23 23 69 69 23 69 69 69 69 69 23 69 69 69 23
 23 23 23 23 23 23 23 23 23]"
