,3
p,-11.5
k,10
db,0.7556556355239992
cp,2.3755094582972434
sp,20.156505667471883
gyh_db,0.24224655914742518
gyh_cp,0.28094069900972796
gyh_sp,0.15551002359048854
zb,0.2302359602237667
exemplars,[  2   3   5   6  36  38  66 157 162 172]
labels,"[  2   2   2   3   5   5   6 162 162   5 162 162 162 162 162   5   5   5
  66   5 162 162 162 162 162 162 162   5   5   5   5 162 162 162   5   2
  36  66  38   2   5  66 162 162 162 162 162 162 162 162 162 162  66 162
  66  66  66 162 162  66  66  66  66  66  66  66  66  66  66  66  66  66
 157  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66
  66  66  66 172  66  66  66  66  66  66  66 162  66 162   5 162 162  66
  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66
  66  66  66  66  66  66  66 162  66  66  66 162 162  66  66  66  66  66
 162  66 162  66 162 162  66 162 162 162 162 162 172 157 157   5 172 162
 162 162 162 162 162 162 162 172 172 172 172 172 157 157 157 172 172   2
 172]"
