0,time,week
94.63,2019-01-01 00:00:00,2
99.21,2019-01-01 01:00:00,2
111.33,2019-01-01 02:00:00,2
117.52,2019-01-01 03:00:00,2
133.67,2019-01-01 04:00:00,2
275.79,2019-01-01 05:00:00,2
397.1,2019-01-01 06:00:00,2
393.28,2019-01-01 07:00:00,2
359.85,2019-01-01 08:00:00,2
338.64,2019-01-01 09:00:00,2
310.47,2019-01-01 10:00:00,2
277.52,2019-01-01 11:00:00,2
240.68,2019-01-01 12:00:00,2
206.96,2019-01-01 13:00:00,2
197.64,2019-01-01 14:00:00,2
177.64,2019-01-01 15:00:00,2
180.51,2019-01-01 16:00:00,2
228.99,2019-01-01 17:00:00,2
152.32,2019-01-01 18:00:00,2
106.92,2019-01-01 19:00:00,2
98.64,2019-01-01 20:00:00,2
71.09,2019-01-01 21:00:00,2
74.42,2019-01-01 22:00:00,2
82.63,2019-01-01 23:00:00,2
97.59,2019-01-02 00:00:00,3
118.06,2019-01-02 01:00:00,3
127.44,2019-01-02 02:00:00,3
140.77,2019-01-02 03:00:00,3
156.05,2019-01-02 04:00:00,3
302.54,2019-01-02 05:00:00,3
410.85,2019-01-02 06:00:00,3
430.41,2019-01-02 07:00:00,3
414.19,2019-01-02 08:00:00,3
376.59,2019-01-02 09:00:00,3
326.83,2019-01-02 10:00:00,3
270.14,2019-01-02 11:00:00,3
249.2,2019-01-02 12:00:00,3
239.75,2019-01-02 13:00:00,3
231.4,2019-01-02 14:00:00,3
213.53,2019-01-02 15:00:00,3
197.84,2019-01-02 16:00:00,3
210.47,2019-01-02 17:00:00,3
138.95,2019-01-02 18:00:00,3
107.32,2019-01-02 19:00:00,3
99.47,2019-01-02 20:00:00,3
68.81,2019-01-02 21:00:00,3
73.29,2019-01-02 22:00:00,3
83.26,2019-01-02 23:00:00,3
89.76,2019-01-03 00:00:00,4
117.24,2019-01-03 01:00:00,4
128.35,2019-01-03 02:00:00,4
133.97,2019-01-03 03:00:00,4
144.72,2019-01-03 04:00:00,4
294.84,2019-01-03 05:00:00,4
403.53,2019-01-03 06:00:00,4
414.38,2019-01-03 07:00:00,4
400.78,2019-01-03 08:00:00,4
356.87,2019-01-03 09:00:00,4
295.12,2019-01-03 10:00:00,4
237.87,2019-01-03 11:00:00,4
213.22,2019-01-03 12:00:00,4
220.79,2019-01-03 13:00:00,4
217.74,2019-01-03 14:00:00,4
197.79,2019-01-03 15:00:00,4
191.76,2019-01-03 16:00:00,4
197.92,2019-01-03 17:00:00,4
138.66,2019-01-03 18:00:00,4
104.79,2019-01-03 19:00:00,4
95.48,2019-01-03 20:00:00,4
67.29,2019-01-03 21:00:00,4
67.62,2019-01-03 22:00:00,4
68.42,2019-01-03 23:00:00,4
78.15,2019-01-04 00:00:00,5
86.77,2019-01-04 01:00:00,5
102.7,2019-01-04 02:00:00,5
111.03,2019-01-04 03:00:00,5
128.51,2019-01-04 04:00:00,5
270.33,2019-01-04 05:00:00,5
389.59,2019-01-04 06:00:00,5
384.93,2019-01-04 07:00:00,5
355.8,2019-01-04 08:00:00,5
327.36,2019-01-04 09:00:00,5
251.2,2019-01-04 10:00:00,5
189.49,2019-01-04 11:00:00,5
184.03,2019-01-04 12:00:00,5
206.24,2019-01-04 13:00:00,5
194.84,2019-01-04 14:00:00,5
179.64,2019-01-04 15:00:00,5
174.54,2019-01-04 16:00:00,5
172.08,2019-01-04 17:00:00,5
126.89,2019-01-04 18:00:00,5
120.04,2019-01-04 19:00:00,5
110.68,2019-01-04 20:00:00,5
79.14,2019-01-04 21:00:00,5
82.89,2019-01-04 22:00:00,5
75.51,2019-01-04 23:00:00,5
99.38,2019-01-07 00:00:00,1
108.2,2019-01-07 01:00:00,1
117.25,2019-01-07 02:00:00,1
126.04,2019-01-07 03:00:00,1
138.73,2019-01-07 04:00:00,1
293.02,2019-01-07 05:00:00,1
414.1,2019-01-07 06:00:00,1
419.81,2019-01-07 07:00:00,1
397.89,2019-01-07 08:00:00,1
357.48,2019-01-07 09:00:00,1
294.83,2019-01-07 10:00:00,1
252.45,2019-01-07 11:00:00,1
238.07,2019-01-07 12:00:00,1
232.01,2019-01-07 13:00:00,1
214.31,2019-01-07 14:00:00,1
192.35,2019-01-07 15:00:00,1
185.77,2019-01-07 16:00:00,1
182.24,2019-01-07 17:00:00,1
139.7,2019-01-07 18:00:00,1
121.62,2019-01-07 19:00:00,1
108.13,2019-01-07 20:00:00,1
80.29,2019-01-07 21:00:00,1
84.95,2019-01-07 22:00:00,1
84.85,2019-01-07 23:00:00,1
83.04,2019-01-08 00:00:00,2
84.72,2019-01-08 01:00:00,2
80.56,2019-01-08 02:00:00,2
93.79,2019-01-08 03:00:00,2
96.73,2019-01-08 04:00:00,2
243.58,2019-01-08 05:00:00,2
371.14,2019-01-08 06:00:00,2
354.33,2019-01-08 07:00:00,2
323.6,2019-01-08 08:00:00,2
290.39,2019-01-08 09:00:00,2
243.19,2019-01-08 10:00:00,2
205.37,2019-01-08 11:00:00,2
192.07,2019-01-08 12:00:00,2
191.1,2019-01-08 13:00:00,2
181.52,2019-01-08 14:00:00,2
167.52,2019-01-08 15:00:00,2
158.01,2019-01-08 16:00:00,2
153.6,2019-01-08 17:00:00,2
121.6,2019-01-08 18:00:00,2
103.12,2019-01-08 19:00:00,2
94.27,2019-01-08 20:00:00,2
83.02,2019-01-08 21:00:00,2
77.54,2019-01-08 22:00:00,2
72.67,2019-01-08 23:00:00,2
76.79,2019-01-09 00:00:00,3
81.16,2019-01-09 01:00:00,3
81.04,2019-01-09 02:00:00,3
80.33,2019-01-09 03:00:00,3
85.08,2019-01-09 04:00:00,3
190.39,2019-01-09 05:00:00,3
299.38,2019-01-09 06:00:00,3
277.43,2019-01-09 07:00:00,3
251.96,2019-01-09 08:00:00,3
236.73,2019-01-09 09:00:00,3
208.95,2019-01-09 10:00:00,3
187.23,2019-01-09 11:00:00,3
176.46,2019-01-09 12:00:00,3
171.71,2019-01-09 13:00:00,3
161.27,2019-01-09 14:00:00,3
158.66,2019-01-09 15:00:00,3
151.24,2019-01-09 16:00:00,3
143.15,2019-01-09 17:00:00,3
116.35,2019-01-09 18:00:00,3
98.96,2019-01-09 19:00:00,3
97.55,2019-01-09 20:00:00,3
86.17,2019-01-09 21:00:00,3
84.17,2019-01-09 22:00:00,3
80.25,2019-01-09 23:00:00,3
82.68,2019-01-10 00:00:00,4
85.34,2019-01-10 01:00:00,4
84.73,2019-01-10 02:00:00,4
83.7,2019-01-10 03:00:00,4
88.32,2019-01-10 04:00:00,4
169.85,2019-01-10 05:00:00,4
240.16,2019-01-10 06:00:00,4
233.95,2019-01-10 07:00:00,4
223.7,2019-01-10 08:00:00,4
213.38,2019-01-10 09:00:00,4
152.59,2019-01-10 10:00:00,4
180.91,2019-01-10 11:00:00,4
161.85,2019-01-10 12:00:00,4
159.22,2019-01-10 13:00:00,4
156.62,2019-01-10 14:00:00,4
157.69,2019-01-10 15:00:00,4
152.82,2019-01-10 16:00:00,4
141.67,2019-01-10 17:00:00,4
111.01,2019-01-10 18:00:00,4
100.76,2019-01-10 19:00:00,4
97.12,2019-01-10 20:00:00,4
84.85,2019-01-10 21:00:00,4
80.35,2019-01-10 22:00:00,4
83.99,2019-01-10 23:00:00,4
78.21,2019-01-11 00:00:00,5
79.28,2019-01-11 01:00:00,5
80.13,2019-01-11 02:00:00,5
78.58,2019-01-11 03:00:00,5
84.78,2019-01-11 04:00:00,5
191.16,2019-01-11 05:00:00,5
297.49,2019-01-11 06:00:00,5
280.56,2019-01-11 07:00:00,5
252.68,2019-01-11 08:00:00,5
230.55,2019-01-11 09:00:00,5
186.41,2019-01-11 10:00:00,5
169.83,2019-01-11 11:00:00,5
173.33,2019-01-11 12:00:00,5
170.28,2019-01-11 13:00:00,5
159.98,2019-01-11 14:00:00,5
151.35,2019-01-11 15:00:00,5
151.34,2019-01-11 16:00:00,5
144.74,2019-01-11 17:00:00,5
115.27,2019-01-11 18:00:00,5
96.57,2019-01-11 19:00:00,5
100.79,2019-01-11 20:00:00,5
81.29,2019-01-11 21:00:00,5
78.41,2019-01-11 22:00:00,5
79.48,2019-01-11 23:00:00,5
87.89,2019-01-14 00:00:00,1
91.19,2019-01-14 01:00:00,1
95.09,2019-01-14 02:00:00,1
88.72,2019-01-14 03:00:00,1
100.43,2019-01-14 04:00:00,1
255.76,2019-01-14 05:00:00,1
377.04,2019-01-14 06:00:00,1
362.91,2019-01-14 07:00:00,1
329.4,2019-01-14 08:00:00,1
297.9,2019-01-14 09:00:00,1
272.02,2019-01-14 10:00:00,1
236.23,2019-01-14 11:00:00,1
203.79,2019-01-14 12:00:00,1
198.7,2019-01-14 13:00:00,1
179.11,2019-01-14 14:00:00,1
167.91,2019-01-14 15:00:00,1
164.95,2019-01-14 16:00:00,1
162.91,2019-01-14 17:00:00,1
124.97,2019-01-14 18:00:00,1
109.41,2019-01-14 19:00:00,1
99.68,2019-01-14 20:00:00,1
78.24,2019-01-14 21:00:00,1
81.38,2019-01-14 22:00:00,1
78.44,2019-01-14 23:00:00,1
80.56,2019-01-15 00:00:00,2
85.0,2019-01-15 01:00:00,2
78.24,2019-01-15 02:00:00,2
77.29,2019-01-15 03:00:00,2
82.07,2019-01-15 04:00:00,2
191.62,2019-01-15 05:00:00,2
269.94,2019-01-15 06:00:00,2
259.96,2019-01-15 07:00:00,2
241.76,2019-01-15 08:00:00,2
217.3,2019-01-15 09:00:00,2
198.62,2019-01-15 10:00:00,2
181.49,2019-01-15 11:00:00,2
176.42,2019-01-15 12:00:00,2
179.74,2019-01-15 13:00:00,2
174.9,2019-01-15 14:00:00,2
174.07,2019-01-15 15:00:00,2
167.85,2019-01-15 16:00:00,2
154.45,2019-01-15 17:00:00,2
123.01,2019-01-15 18:00:00,2
111.11,2019-01-15 19:00:00,2
103.56,2019-01-15 20:00:00,2
80.36,2019-01-15 21:00:00,2
84.33,2019-01-15 22:00:00,2
77.62,2019-01-15 23:00:00,2
84.34,2019-01-16 00:00:00,3
85.09,2019-01-16 01:00:00,3
84.51,2019-01-16 02:00:00,3
79.35,2019-01-16 03:00:00,3
85.93,2019-01-16 04:00:00,3
208.11,2019-01-16 05:00:00,3
308.12,2019-01-16 06:00:00,3
286.07,2019-01-16 07:00:00,3
239.18,2019-01-16 08:00:00,3
217.96,2019-01-16 09:00:00,3
191.51,2019-01-16 10:00:00,3
173.7,2019-01-16 11:00:00,3
172.14,2019-01-16 12:00:00,3
163.13,2019-01-16 13:00:00,3
169.64,2019-01-16 14:00:00,3
161.4,2019-01-16 15:00:00,3
153.14,2019-01-16 16:00:00,3
151.83,2019-01-16 17:00:00,3
119.89,2019-01-16 18:00:00,3
104.13,2019-01-16 19:00:00,3
101.51,2019-01-16 20:00:00,3
87.2,2019-01-16 21:00:00,3
86.75,2019-01-16 22:00:00,3
80.97,2019-01-16 23:00:00,3
86.8,2019-01-17 00:00:00,4
85.68,2019-01-17 01:00:00,4
83.77,2019-01-17 02:00:00,4
76.35,2019-01-17 03:00:00,4
87.78,2019-01-17 04:00:00,4
199.19,2019-01-17 05:00:00,4
296.76,2019-01-17 06:00:00,4
281.59,2019-01-17 07:00:00,4
249.77,2019-01-17 08:00:00,4
231.73,2019-01-17 09:00:00,4
197.53,2019-01-17 10:00:00,4
179.0,2019-01-17 11:00:00,4
172.6,2019-01-17 12:00:00,4
162.16,2019-01-17 13:00:00,4
160.54,2019-01-17 14:00:00,4
156.47,2019-01-17 15:00:00,4
161.29,2019-01-17 16:00:00,4
148.31,2019-01-17 17:00:00,4
