avg,cen
118.97200000000002,126.09
112.38879999999999,119.01
110.9816,118.27
110.17559999999997,112.85
149.53199999999998,151.97
242.98479999999995,250.35
261.10560000000004,264.72
246.06519999999998,249.54
242.81399999999996,247.68
253.35600000000002,250.14
256.97599999999994,257.68
256.17119999999994,251.76
257.8256,253.84
264.8176,260.99
273.86440000000005,271.69
281.15840000000003,283.73
285.01919999999996,283.87
282.0784,283.87
258.1328,270.81
177.0792,192.75
145.1696,155.6
144.9876,151.69
126.98199999999999,136.09
117.9228,124.72
