0,1,time,week
267.77,395.25,2019-04-27 00:00:00,6
261.27,398.8,2019-04-27 01:00:00,6
258.58,381.02,2019-04-27 02:00:00,6
255.27,364.68,2019-04-27 03:00:00,6
253.03,356.94,2019-04-27 04:00:00,6
256.16,339.75,2019-04-27 05:00:00,6
281.94,436.23,2019-04-27 06:00:00,6
277.0,415.81,2019-04-27 07:00:00,6
276.05,412.08,2019-04-27 08:00:00,6
284.23,445.74,2019-04-27 09:00:00,6
287.2,489.44,2019-04-27 10:00:00,6
292.72,494.47,2019-04-27 11:00:00,6
287.92,509.68,2019-04-27 12:00:00,6
292.29,527.01,2019-04-27 13:00:00,6
293.65,534.08,2019-04-27 14:00:00,6
288.21,550.11,2019-04-27 15:00:00,6
293.34,565.18,2019-04-27 16:00:00,6
293.86,572.78,2019-04-27 17:00:00,6
297.49,573.42,2019-04-27 18:00:00,6
300.98,547.64,2019-04-27 19:00:00,6
297.53,522.5,2019-04-27 20:00:00,6
288.86,493.52,2019-04-27 21:00:00,6
286.33,463.59,2019-04-27 22:00:00,6
274.96,434.47,2019-04-27 23:00:00,6
255.37,354.44,2019-05-04 00:00:00,6
246.35,335.11,2019-05-04 01:00:00,6
249.51,324.44,2019-05-04 02:00:00,6
245.05,311.65,2019-05-04 03:00:00,6
245.82,317.29,2019-05-04 04:00:00,6
243.93,294.65,2019-05-04 05:00:00,6
256.16,350.63,2019-05-04 06:00:00,6
264.41,342.57,2019-05-04 07:00:00,6
265.77,347.68,2019-05-04 08:00:00,6
263.58,393.38,2019-05-04 09:00:00,6
268.38,404.93,2019-05-04 10:00:00,6
275.99,438.66,2019-05-04 11:00:00,6
276.65,448.38,2019-05-04 12:00:00,6
280.43,476.3,2019-05-04 13:00:00,6
278.15,484.89,2019-05-04 14:00:00,6
282.01,488.42,2019-05-04 15:00:00,6
279.18,512.92,2019-05-04 16:00:00,6
289.39,536.8,2019-05-04 17:00:00,6
288.47,518.24,2019-05-04 18:00:00,6
295.89,518.94,2019-05-04 19:00:00,6
291.95,472.43,2019-05-04 20:00:00,6
282.24,467.18,2019-05-04 21:00:00,6
272.01,422.25,2019-05-04 22:00:00,6
265.11,396.37,2019-05-04 23:00:00,6
253.38,320.6,2019-05-11 00:00:00,6
248.95,303.94,2019-05-11 01:00:00,6
243.8,309.3,2019-05-11 02:00:00,6
241.59,282.39,2019-05-11 03:00:00,6
239.74,273.63,2019-05-11 04:00:00,6
240.19,281.37,2019-05-11 05:00:00,6
252.47,330.42,2019-05-11 06:00:00,6
256.82,336.69,2019-05-11 07:00:00,6
259.53,340.99,2019-05-11 08:00:00,6
257.76,366.13,2019-05-11 09:00:00,6
262.6,388.66,2019-05-11 10:00:00,6
262.71,414.82,2019-05-11 11:00:00,6
263.4,405.04,2019-05-11 12:00:00,6
265.76,408.1,2019-05-11 13:00:00,6
266.76,424.75,2019-05-11 14:00:00,6
265.76,464.3,2019-05-11 15:00:00,6
