0,1,time,week
239.66,173.7,2019-12-23 00:00:00,1
243.93,161.44,2019-12-23 01:00:00,1
244.56,176.06,2019-12-23 02:00:00,1
240.92,166.13,2019-12-23 03:00:00,1
236.06,157.39,2019-12-23 04:00:00,1
236.53,149.08,2019-12-23 05:00:00,1
258.02,168.52,2019-12-23 06:00:00,1
265.8,200.39,2019-12-23 07:00:00,1
271.18,232.99,2019-12-23 08:00:00,1
275.8,236.02,2019-12-23 09:00:00,1
283.24,235.81,2019-12-23 10:00:00,1
284.93,221.13,2019-12-23 11:00:00,1
284.16,213.24,2019-12-23 12:00:00,1
289.39,238.84,2019-12-23 13:00:00,1
290.77,268.8,2019-12-23 14:00:00,1
286.1,253.7,2019-12-23 15:00:00,1
282.24,229.82,2019-12-23 16:00:00,1
278.63,225.74,2019-12-23 17:00:00,1
280.94,251.23,2019-12-23 18:00:00,1
276.43,252.36,2019-12-23 19:00:00,1
269.8,233.87,2019-12-23 20:00:00,1
263.42,205.25,2019-12-23 21:00:00,1
262.32,189.93,2019-12-23 22:00:00,1
258.41,188.03,2019-12-23 23:00:00,1
248.09,166.55,2019-12-24 00:00:00,2
242.71,163.7,2019-12-24 01:00:00,2
241.05,157.29,2019-12-24 02:00:00,2
234.18,152.36,2019-12-24 03:00:00,2
234.8,173.7,2019-12-24 04:00:00,2
237.39,163.49,2019-12-24 05:00:00,2
255.67,176.09,2019-12-24 06:00:00,2
267.29,189.65,2019-12-24 07:00:00,2
264.43,217.39,2019-12-24 08:00:00,2
265.31,229.82,2019-12-24 09:00:00,2
264.46,218.17,2019-12-24 10:00:00,2
266.01,217.68,2019-12-24 11:00:00,2
262.51,211.8,2019-12-24 12:00:00,2
259.42,205.7,2019-12-24 13:00:00,2
260.94,212.01,2019-12-24 14:00:00,2
254.43,227.11,2019-12-24 15:00:00,2
258.88,226.41,2019-12-24 16:00:00,2
262.03,217.89,2019-12-24 17:00:00,2
261.28,196.44,2019-12-24 18:00:00,2
263.64,202.96,2019-12-24 19:00:00,2
263.57,222.32,2019-12-24 20:00:00,2
263.44,213.87,2019-12-24 21:00:00,2
261.27,193.98,2019-12-24 22:00:00,2
255.65,172.54,2019-12-24 23:00:00,2
246.72,150.74,2019-12-25 00:00:00,3
239.86,159.44,2019-12-25 01:00:00,3
240.54,155.46,2019-12-25 02:00:00,3
238.25,155.32,2019-12-25 03:00:00,3
237.14,153.06,2019-12-25 04:00:00,3
232.58,158.73,2019-12-25 05:00:00,3
257.71,175.11,2019-12-25 06:00:00,3
265.68,181.9,2019-12-25 07:00:00,3
261.17,198.49,2019-12-25 08:00:00,3
263.74,217.04,2019-12-25 09:00:00,3
262.32,214.51,2019-12-25 10:00:00,3
261.73,208.66,2019-12-25 11:00:00,3
262.75,203.24,2019-12-25 12:00:00,3
261.52,226.27,2019-12-25 13:00:00,3
262.09,220.35,2019-12-25 14:00:00,3
261.69,214.93,2019-12-25 15:00:00,3
262.62,205.11,2019-12-25 16:00:00,3
261.79,214.61,2019-12-25 17:00:00,3
264.29,214.51,2019-12-25 18:00:00,3
264.96,207.43,2019-12-25 19:00:00,3
265.74,204.54,2019-12-25 20:00:00,3
262.52,196.69,2019-12-25 21:00:00,3
260.61,190.77,2019-12-25 22:00:00,3
255.1,167.18,2019-12-25 23:00:00,3
247.77,146.23,2019-12-26 00:00:00,4
239.26,148.7,2019-12-26 01:00:00,4
