p,k,db,cp,sp,gyh_db,gyh_cp,gyh_sp,zb,exemplars,labels
-6.3,6,0.7595330552015419,1.5370185352255614,18.58263429006049,0.6199475317649126,0.30626116467879244,0.1702611080000651,0.4291043340521707,[ 3 15 21 27 37 43],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3 27 43  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-7.3,5,0.6692004146949262,1.386549254755931,19.331431923483812,0.5462160501179109,0.2762791598890805,0.11277804121087885,0.37037232533394526,[ 3 15 21 27 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3 27  3  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-8.3,5,0.6692004146949262,1.386549254755931,19.331431923483812,0.5462160501179109,0.2762791598890805,0.11277804121087885,0.37037232533394526,[ 3 15 21 27 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3 27  3  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-9.3,5,0.6692004146949262,1.386549254755931,19.331431923483812,0.5462160501179109,0.2762791598890805,0.11277804121087885,0.37037232533394526,[ 3 15 21 27 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3 27  3  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-10.3,5,0.6692004146949262,1.386549254755931,19.331431923483812,0.5462160501179109,0.2762791598890805,0.11277804121087885,0.37037232533394526,[ 3 15 21 27 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3 27  3  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-11.3,4,0.744360596258881,1.779332599483586,16.41028569004831,0.6075634381327911,0.354543853427776,0.33702613781593804,0.4766742168773241,[ 3 15 21 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-12.3,4,0.744360596258881,1.779332599483586,16.41028569004831,0.6075634381327911,0.354543853427776,0.33702613781593804,0.4766742168773241,[ 3 15 21 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 37 21 21 21 21  3  3  3]"
-13.3,3,0.9415507622438124,2.5042137267750717,20.80052421583712,0.7685143748345957,0.4989812386707502,0.0,0.5090024970849855,[ 3 15 21],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-14.3,3,0.9415507622438124,2.5042137267750717,20.80052421583712,0.7685143748345957,0.4989812386707502,0.0,0.5090024970849855,[ 3 15 21],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 15 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-15.3,3,1.2228818497557938,5.009232262638901,11.392051398618493,0.9981429764041637,0.9981228409046052,0.7222617262609218,0.9291676299934636,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-16.3,3,1.2228818497557938,5.009232262638901,11.392051398618493,0.9981429764041637,0.9981228409046052,0.7222617262609218,0.9291676299934636,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-17.3,3,1.2228818497557938,5.009232262638901,11.392051398618493,0.9981429764041637,0.9981228409046052,0.7222617262609218,0.9291676299934636,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-18.3,3,1.2251569952044925,5.018653072901328,11.392051398618493,1.0,1.0,0.7222617262609218,0.9305654315652304,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3  3 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-19.3,3,1.2251569952044925,5.018653072901328,11.392051398618493,1.0,1.0,0.7222617262609218,0.9305654315652304,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3  3 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-20.3,3,1.2251569952044925,5.018653072901328,11.392051398618493,1.0,1.0,0.7222617262609218,0.9305654315652304,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3  3 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-21.3,3,1.2251569952044925,5.018653072901328,11.392051398618493,1.0,1.0,0.7222617262609218,0.9305654315652304,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3  3 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
-22.3,3,1.2228818497557938,5.009232262638901,11.392051398618493,0.9981429764041637,0.9981228409046052,0.7222617262609218,0.9291676299934636,[ 3 21 37],"[ 3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 37 21 21 21  3 21 21 21 21
 21 21  3  3  3  3  3  3  3  3  3  3 21 21 21 21 21 21  3  3  3]"
