0,1,2,time,week
268.4,627.82,14.71,2019-08-22 00:00:00,4
267.5,592.15,11.76,2019-08-22 01:00:00,4
262.62,582.18,11.76,2019-08-22 02:00:00,4
266.42,562.78,14.71,2019-08-22 03:00:00,4
251.97,538.24,14.71,2019-08-22 04:00:00,4
250.6,522.36,14.71,2019-08-22 05:00:00,4
259.53,543.84,14.71,2019-08-22 06:00:00,4
307.07,643.91,14.71,2019-08-22 07:00:00,4
357.45,731.37,14.71,2019-08-22 08:00:00,4
382.97,820.39,11.76,2019-08-22 09:00:00,4
408.23,296.65,8.82,2019-08-22 10:00:00,4
429.52,126.48,11.76,2019-08-22 11:00:00,4
438.9,129.51,26.47,2019-08-22 12:00:00,4
433.98,134.15,23.53,2019-08-22 13:00:00,4
419.4,130.92,11.76,2019-08-22 14:00:00,4
407.7,143.66,8.82,2019-08-22 15:00:00,4
393.23,143.03,11.76,2019-08-22 16:00:00,4
378.93,158.66,29.41,2019-08-22 17:00:00,4
346.38,157.68,17.65,2019-08-22 18:00:00,4
339.87,418.7,14.71,2019-08-22 19:00:00,4
320.15,894.61,32.35,2019-08-22 20:00:00,4
303.37,850.53,23.53,2019-08-22 21:00:00,4
280.13,757.5,23.53,2019-08-22 22:00:00,4
270.38,740.11,23.53,2019-08-22 23:00:00,4
266.45,768.35,20.59,2019-08-23 00:00:00,5
273.33,735.81,17.65,2019-08-23 01:00:00,5
271.08,749.65,17.65,2019-08-23 02:00:00,5
271.68,736.58,38.24,2019-08-23 03:00:00,5
261.82,709.12,29.41,2019-08-23 04:00:00,5
259.27,659.3,32.35,2019-08-23 05:00:00,5
265.8,690.81,29.41,2019-08-23 06:00:00,5
300.52,772.99,20.59,2019-08-23 07:00:00,5
343.4,821.55,20.59,2019-08-23 08:00:00,5
366.27,209.26,35.29,2019-08-23 09:00:00,5
398.37,105.04,23.53,2019-08-23 10:00:00,5
397.62,114.89,14.71,2019-08-23 11:00:00,5
383.92,111.37,32.35,2019-08-23 12:00:00,5
382.88,139.37,11.76,2019-08-23 13:00:00,5
381.35,111.09,14.71,2019-08-23 14:00:00,5
376.12,113.8,20.59,2019-08-23 15:00:00,5
359.98,124.37,29.41,2019-08-23 16:00:00,5
333.93,585.18,20.59,2019-08-23 17:00:00,5
313.97,931.8,20.59,2019-08-23 18:00:00,5
297.02,902.36,20.59,2019-08-23 19:00:00,5
284.28,840.67,26.47,2019-08-23 20:00:00,5
277.95,797.64,26.47,2019-08-23 21:00:00,5
266.97,778.73,26.47,2019-08-23 22:00:00,5
258.62,809.89,26.47,2019-08-23 23:00:00,5
262.07,741.83,23.53,2019-08-26 00:00:00,1
270.37,736.87,23.53,2019-08-26 01:00:00,1
267.65,753.42,23.53,2019-08-26 02:00:00,1
267.47,756.34,11.76,2019-08-26 03:00:00,1
262.12,750.49,41.18,2019-08-26 04:00:00,1
260.37,747.15,38.24,2019-08-26 05:00:00,1
268.08,776.3,32.35,2019-08-26 06:00:00,1
303.18,856.58,35.29,2019-08-26 07:00:00,1
348.78,844.58,23.53,2019-08-26 08:00:00,1
386.72,89.96,14.71,2019-08-26 09:00:00,1
416.03,95.6,14.71,2019-08-26 10:00:00,1
425.17,98.03,32.35,2019-08-26 11:00:00,1
418.3,106.23,20.59,2019-08-26 12:00:00,1
408.38,109.05,14.71,2019-08-26 13:00:00,1
407.1,105.56,11.76,2019-08-26 14:00:00,1
407.25,117.11,17.65,2019-08-26 15:00:00,1
384.07,132.46,17.65,2019-08-26 16:00:00,1
375.13,134.15,14.71,2019-08-26 17:00:00,1
341.52,332.25,32.35,2019-08-26 18:00:00,1
323.15,919.54,23.53,2019-08-26 19:00:00,1
311.47,872.5,17.65,2019-08-26 20:00:00,1
306.25,844.93,17.65,2019-08-26 21:00:00,1
286.77,776.73,38.24,2019-08-26 22:00:00,1
270.98,747.43,23.53,2019-08-26 23:00:00,1
266.48,783.87,23.53,2019-08-27 00:00:00,2
265.47,730.74,23.53,2019-08-27 01:00:00,2
263.35,735.39,11.76,2019-08-27 02:00:00,2
263.75,742.46,26.47,2019-08-27 03:00:00,2
252.87,734.4,38.24,2019-08-27 04:00:00,2
254.48,722.18,26.47,2019-08-27 05:00:00,2
268.28,739.82,26.47,2019-08-27 06:00:00,2
319.03,843.27,8.82,2019-08-27 07:00:00,2
364.55,777.64,35.29,2019-08-27 08:00:00,2
386.87,96.2,20.59,2019-08-27 09:00:00,2
416.68,96.9,26.47,2019-08-27 10:00:00,2
427.18,111.8,20.59,2019-08-27 11:00:00,2
428.52,119.72,20.59,2019-08-27 12:00:00,2
430.97,122.11,23.53,2019-08-27 13:00:00,2
422.17,126.87,20.59,2019-08-27 14:00:00,2
412.32,136.37,26.47,2019-08-27 15:00:00,2
375.55,151.69,26.47,2019-08-27 16:00:00,2
367.38,153.17,23.53,2019-08-27 17:00:00,2
349.3,560.6,20.59,2019-08-27 18:00:00,2
343.17,979.68,23.53,2019-08-27 19:00:00,2
325.02,960.95,26.47,2019-08-27 20:00:00,2
311.93,884.33,29.41,2019-08-27 21:00:00,2
286.47,786.09,29.41,2019-08-27 22:00:00,2
277.35,767.32,29.41,2019-08-27 23:00:00,2
272.97,784.3,29.41,2019-08-28 00:00:00,3
273.93,778.66,29.41,2019-08-28 01:00:00,3
270.23,767.92,29.41,2019-08-28 02:00:00,3
267.68,766.94,29.41,2019-08-28 03:00:00,3
254.75,737.08,29.41,2019-08-28 04:00:00,3
254.85,711.83,32.35,2019-08-28 05:00:00,3
264.93,729.72,35.29,2019-08-28 06:00:00,3
308.97,852.46,32.35,2019-08-28 07:00:00,3
350.43,753.84,14.71,2019-08-28 08:00:00,3
382.1,97.29,8.82,2019-08-28 09:00:00,3
422.0,103.2,38.24,2019-08-28 10:00:00,3
440.93,114.44,20.59,2019-08-28 11:00:00,3
417.52,113.52,17.65,2019-08-28 12:00:00,3
404.53,123.8,11.76,2019-08-28 13:00:00,3
419.17,126.97,29.41,2019-08-28 14:00:00,3
420.38,139.26,23.53,2019-08-28 15:00:00,3
396.5,149.12,20.59,2019-08-28 16:00:00,3
382.17,148.77,20.59,2019-08-28 17:00:00,3
356.1,147.78,14.71,2019-08-28 18:00:00,3
341.45,130.18,8.82,2019-08-28 19:00:00,3
332.85,535.99,17.65,2019-08-28 20:00:00,3
309.83,967.46,41.18,2019-08-28 21:00:00,3
291.18,829.33,29.41,2019-08-28 22:00:00,3
266.28,731.41,32.35,2019-08-28 23:00:00,3
264.67,721.87,32.35,2019-08-29 00:00:00,4
262.85,739.93,35.29,2019-08-29 01:00:00,4
265.83,729.51,35.29,2019-08-29 02:00:00,4
267.13,722.43,35.29,2019-08-29 03:00:00,4
253.83,702.36,38.24,2019-08-29 04:00:00,4
256.63,719.19,38.24,2019-08-29 05:00:00,4
263.17,749.75,41.18,2019-08-29 06:00:00,4
315.32,853.35,26.47,2019-08-29 07:00:00,4
370.77,838.35,38.24,2019-08-29 08:00:00,4
387.97,88.94,26.47,2019-08-29 09:00:00,4
413.42,126.34,20.59,2019-08-29 10:00:00,4
426.65,92.04,11.76,2019-08-29 11:00:00,4
427.02,103.1,5.88,2019-08-29 12:00:00,4
428.35,99.01,2.94,2019-08-29 13:00:00,4
421.07,100.0,41.18,2019-08-29 14:00:00,4
404.18,116.48,26.47,2019-08-29 15:00:00,4
385.9,129.37,20.59,2019-08-29 16:00:00,4
376.0,144.3,14.71,2019-08-29 17:00:00,4
362.95,141.13,11.76,2019-08-29 18:00:00,4
345.05,136.44,38.24,2019-08-29 19:00:00,4
329.03,377.39,23.53,2019-08-29 20:00:00,4
300.7,887.99,23.53,2019-08-29 21:00:00,4
282.82,793.27,26.47,2019-08-29 22:00:00,4
270.95,775.39,26.47,2019-08-29 23:00:00,4
268.18,758.49,29.41,2019-08-30 00:00:00,5
266.52,712.11,29.41,2019-08-30 01:00:00,5
263.25,704.44,29.41,2019-08-30 02:00:00,5
264.9,699.15,29.41,2019-08-30 03:00:00,5
252.93,704.68,32.35,2019-08-30 04:00:00,5
255.02,696.2,17.65,2019-08-30 05:00:00,5
263.63,691.51,52.94,2019-08-30 06:00:00,5
292.33,788.56,41.18,2019-08-30 07:00:00,5
331.0,856.27,35.29,2019-08-30 08:00:00,5
363.38,465.25,26.47,2019-08-30 09:00:00,5
390.0,98.2,23.53,2019-08-30 10:00:00,5
388.98,100.85,8.82,2019-08-30 11:00:00,5
372.58,100.92,44.12,2019-08-30 12:00:00,5
382.02,112.61,23.53,2019-08-30 13:00:00,5
369.78,116.16,8.82,2019-08-30 14:00:00,5
371.8,148.94,23.53,2019-08-30 15:00:00,5
357.7,137.08,38.24,2019-08-30 16:00:00,5
340.3,266.83,23.53,2019-08-30 17:00:00,5
328.95,961.44,23.53,2019-08-30 18:00:00,5
311.08,905.46,23.53,2019-08-30 19:00:00,5
281.32,842.78,20.59,2019-08-30 20:00:00,5
279.0,797.96,23.53,2019-08-30 21:00:00,5
260.8,736.8,23.53,2019-08-30 22:00:00,5
255.85,705.95,11.76,2019-08-30 23:00:00,5
256.63,680.32,61.76,2019-09-02 00:00:00,1
263.8,671.94,35.29,2019-09-02 01:00:00,1
257.42,685.92,41.18,2019-09-02 02:00:00,1
261.85,685.67,38.24,2019-09-02 03:00:00,1
250.25,683.1,32.35,2019-09-02 04:00:00,1
253.03,661.51,14.71,2019-09-02 05:00:00,1
253.77,670.56,47.06,2019-09-02 06:00:00,1
261.75,758.35,35.29,2019-09-02 07:00:00,1
267.95,782.01,35.29,2019-09-02 08:00:00,1
277.23,834.08,32.35,2019-09-02 09:00:00,1
289.92,829.33,29.41,2019-09-02 10:00:00,1
290.95,818.45,26.47,2019-09-02 11:00:00,1
296.85,653.94,23.53,2019-09-02 12:00:00,1
302.75,347.11,23.53,2019-09-02 13:00:00,1
303.43,668.7,41.18,2019-09-02 14:00:00,1
300.83,845.39,29.41,2019-09-02 15:00:00,1
298.88,898.59,23.53,2019-09-02 16:00:00,1
294.4,901.44,23.53,2019-09-02 17:00:00,1
299.57,869.51,23.53,2019-09-02 18:00:00,1
289.6,841.8,17.65,2019-09-02 19:00:00,1
280.88,801.16,32.35,2019-09-02 20:00:00,1
274.7,787.08,35.29,2019-09-02 21:00:00,1
261.17,725.7,29.41,2019-09-02 22:00:00,1
256.85,708.52,26.47,2019-09-02 23:00:00,1
251.93,701.51,26.47,2019-09-03 00:00:00,2
251.83,718.27,23.53,2019-09-03 01:00:00,2
248.22,700.14,11.76,2019-09-03 02:00:00,2
250.88,692.78,58.82,2019-09-03 03:00:00,2
248.48,709.72,38.24,2019-09-03 04:00:00,2
255.87,700.32,38.24,2019-09-03 05:00:00,2
263.12,764.65,35.29,2019-09-03 06:00:00,2
307.95,806.44,29.41,2019-09-03 07:00:00,2
344.73,821.8,20.59,2019-09-03 08:00:00,2
380.33,226.51,35.29,2019-09-03 09:00:00,2
411.05,93.06,26.47,2019-09-03 10:00:00,2
429.48,106.58,23.53,2019-09-03 11:00:00,2
429.2,108.52,14.71,2019-09-03 12:00:00,2
419.88,104.08,11.76,2019-09-03 13:00:00,2
425.68,114.44,50.0,2019-09-03 14:00:00,2
407.47,123.1,29.41,2019-09-03 15:00:00,2
374.45,139.93,17.65,2019-09-03 16:00:00,2
365.18,310.07,29.41,2019-09-03 17:00:00,2
349.45,971.16,26.47,2019-09-03 18:00:00,2
340.47,917.85,20.59,2019-09-03 19:00:00,2
319.55,916.55,35.29,2019-09-03 20:00:00,2
307.3,856.87,26.47,2019-09-03 21:00:00,2
280.42,733.24,26.47,2019-09-03 22:00:00,2
267.62,711.3,26.47,2019-09-03 23:00:00,2
264.08,707.39,26.47,2019-09-04 00:00:00,3
264.0,703.59,23.53,2019-09-04 01:00:00,3
262.25,687.64,23.53,2019-09-04 02:00:00,3
263.88,674.89,29.41,2019-09-04 03:00:00,3
250.12,682.54,29.41,2019-09-04 04:00:00,3
255.03,681.9,8.82,2019-09-04 05:00:00,3
267.02,712.01,64.71,2019-09-04 06:00:00,3
308.62,834.65,38.24,2019-09-04 07:00:00,3
352.78,897.78,32.35,2019-09-04 08:00:00,3
379.7,113.8,29.41,2019-09-04 09:00:00,3
412.27,117.89,14.71,2019-09-04 10:00:00,3
440.02,113.77,2.94,2019-09-04 11:00:00,3
419.87,114.15,47.06,2019-09-04 12:00:00,3
400.58,115.53,20.59,2019-09-04 13:00:00,3
412.43,118.35,5.88,2019-09-04 14:00:00,3
413.55,133.77,8.82,2019-09-04 15:00:00,3
389.67,135.21,47.06,2019-09-04 16:00:00,3
379.78,151.06,20.59,2019-09-04 17:00:00,3
361.15,247.32,17.65,2019-09-04 18:00:00,3
343.97,941.09,20.59,2019-09-04 19:00:00,3
327.23,886.2,8.82,2019-09-04 20:00:00,3
312.2,843.2,44.12,2019-09-04 21:00:00,3
290.25,790.95,26.47,2019-09-04 22:00:00,3
277.63,779.3,29.41,2019-09-04 23:00:00,3
272.52,782.61,29.41,2019-09-05 00:00:00,4
276.23,772.5,29.41,2019-09-05 01:00:00,4
274.13,761.44,26.47,2019-09-05 02:00:00,4
277.75,762.99,26.47,2019-09-05 03:00:00,4
262.7,746.83,14.71,2019-09-05 04:00:00,4
262.57,714.58,55.88,2019-09-05 05:00:00,4
272.45,762.22,38.24,2019-09-05 06:00:00,4
320.23,865.39,35.29,2019-09-05 07:00:00,4
368.65,918.35,29.41,2019-09-05 08:00:00,4
389.03,229.4,20.59,2019-09-05 09:00:00,4
412.85,103.31,14.71,2019-09-05 10:00:00,4
434.02,113.56,8.82,2019-09-05 11:00:00,4
417.75,107.85,35.29,2019-09-05 12:00:00,4
415.17,130.11,26.47,2019-09-05 13:00:00,4
407.32,131.8,20.59,2019-09-05 14:00:00,4
399.28,131.73,17.65,2019-09-05 15:00:00,4
375.58,146.69,8.82,2019-09-05 16:00:00,4
362.88,767.29,41.18,2019-09-05 17:00:00,4
341.55,751.48,20.59,2019-09-05 18:00:00,4
327.28,847.04,11.76,2019-09-05 19:00:00,4
311.45,813.45,35.29,2019-09-05 20:00:00,4
294.88,810.56,23.53,2019-09-05 21:00:00,4
276.53,737.11,23.53,2019-09-05 22:00:00,4
265.7,730.18,23.53,2019-09-05 23:00:00,4
262.83,733.84,29.41,2019-09-06 00:00:00,5
267.02,744.75,29.41,2019-09-06 01:00:00,5
263.37,745.14,29.41,2019-09-06 02:00:00,5
263.38,731.76,29.41,2019-09-06 03:00:00,5
252.03,730.35,26.47,2019-09-06 04:00:00,5
253.93,716.16,11.76,2019-09-06 05:00:00,5
259.03,722.5,55.88,2019-09-06 06:00:00,5
293.33,808.1,32.35,2019-09-06 07:00:00,5
332.22,810.07,32.35,2019-09-06 08:00:00,5
351.42,602.82,26.47,2019-09-06 09:00:00,5
382.15,82.89,23.53,2019-09-06 10:00:00,5
388.95,94.61,8.82,2019-09-06 11:00:00,5
372.63,91.94,38.24,2019-09-06 12:00:00,5
374.98,108.31,26.47,2019-09-06 13:00:00,5
372.08,121.2,20.59,2019-09-06 14:00:00,5
360.88,122.43,17.65,2019-09-06 15:00:00,5
344.82,546.62,23.53,2019-09-06 16:00:00,5
332.92,977.96,26.47,2019-09-06 17:00:00,5
323.73,567.85,17.65,2019-09-06 18:00:00,5
309.27,391.13,20.59,2019-09-06 19:00:00,5
289.92,873.17,20.59,2019-09-06 20:00:00,5
276.38,821.69,20.59,2019-09-06 21:00:00,5
260.28,736.58,20.59,2019-09-06 22:00:00,5
251.47,692.5,20.59,2019-09-06 23:00:00,5
254.82,664.93,26.47,2019-09-09 00:00:00,1
258.07,643.49,26.47,2019-09-09 01:00:00,1
254.37,633.56,26.47,2019-09-09 02:00:00,1
255.07,635.39,35.29,2019-09-09 03:00:00,1
245.65,639.82,32.35,2019-09-09 04:00:00,1
248.05,650.28,38.24,2019-09-09 05:00:00,1
260.6,687.01,38.24,2019-09-09 06:00:00,1
296.33,758.31,32.35,2019-09-09 07:00:00,1
342.73,796.2,26.47,2019-09-09 08:00:00,1
373.23,154.82,20.59,2019-09-09 09:00:00,1
392.4,83.52,20.59,2019-09-09 10:00:00,1
426.22,97.5,23.53,2019-09-09 11:00:00,1
402.15,94.75,26.47,2019-09-09 12:00:00,1
386.22,97.08,20.59,2019-09-09 13:00:00,1
381.65,99.82,11.76,2019-09-09 14:00:00,1
390.25,115.46,8.82,2019-09-09 15:00:00,1
374.93,110.04,5.88,2019-09-09 16:00:00,1
366.4,122.15,47.06,2019-09-09 17:00:00,1
345.52,404.33,20.59,2019-09-09 18:00:00,1
328.1,811.73,11.76,2019-09-09 19:00:00,1
308.43,746.37,41.18,2019-09-09 20:00:00,1
299.75,730.7,23.53,2019-09-09 21:00:00,1
275.8,715.85,26.47,2019-09-09 22:00:00,1
267.65,708.56,29.41,2019-09-09 23:00:00,1
263.9,711.8,29.41,2019-09-10 00:00:00,2
267.0,696.76,29.41,2019-09-10 01:00:00,2
268.37,697.71,32.35,2019-09-10 02:00:00,2
273.38,692.15,29.41,2019-09-10 03:00:00,2
254.08,689.37,29.41,2019-09-10 04:00:00,2
258.78,689.33,32.35,2019-09-10 05:00:00,2
267.37,706.13,32.35,2019-09-10 06:00:00,2
313.73,826.27,29.41,2019-09-10 07:00:00,2
352.23,657.85,17.65,2019-09-10 08:00:00,2
370.42,72.89,41.18,2019-09-10 09:00:00,2
