avg,cen
237.5045454545455,240.65
238.21878787878785,241.0
235.70242424242423,241.72
234.15121212121213,236.92
224.18818181818182,221.17
225.45212121212123,220.72
236.96,236.07
271.3660606060606,270.72
311.82424242424247,309.28
333.46030303030307,324.22
348.96515151515155,342.1
357.4321212121212,362.88
353.15242424242433,359.02
352.9839393939394,353.2
353.8060606060606,353.82
352.11999999999995,345.28
338.5457575757576,339.93
326.8666666666667,330.3
302.8321212121212,308.63
282.2078787878788,279.63
272.20060606060605,267.6
262.46151515151513,256.05
245.82272727272724,248.4
233.5181818181818,243.23
