0,1,2,time,week
220.42,155.85,79.41,2019-11-23 00:00:00,6
212.05,115.32,79.41,2019-11-23 01:00:00,6
209.5,129.51,73.53,2019-11-23 02:00:00,6
212.17,97.61,70.59,2019-11-23 03:00:00,6
216.12,136.8,70.59,2019-11-23 04:00:00,6
219.02,151.69,70.59,2019-11-23 05:00:00,6
221.32,158.49,70.59,2019-11-23 06:00:00,6
239.97,146.51,76.47,2019-11-23 07:00:00,6
243.9,147.57,76.47,2019-11-23 08:00:00,6
248.35,150.56,73.53,2019-11-23 09:00:00,6
248.27,150.88,67.65,2019-11-23 10:00:00,6
246.78,195.46,61.76,2019-11-23 11:00:00,6
247.2,246.13,52.94,2019-11-23 12:00:00,6
251.42,275.46,50.0,2019-11-23 13:00:00,6
265.37,320.04,47.06,2019-11-23 14:00:00,6
264.6,304.54,44.12,2019-11-23 15:00:00,6
266.65,315.7,41.18,2019-11-23 16:00:00,6
260.37,275.46,44.12,2019-11-23 17:00:00,6
249.7,250.11,44.12,2019-11-23 18:00:00,6
240.38,231.8,47.06,2019-11-23 19:00:00,6
233.75,219.93,50.0,2019-11-23 20:00:00,6
233.23,196.16,52.94,2019-11-23 21:00:00,6
219.35,178.35,52.94,2019-11-23 22:00:00,6
210.62,160.85,52.94,2019-11-23 23:00:00,6
210.25,144.89,55.88,2019-11-24 00:00:00,7
206.52,146.94,58.82,2019-11-24 01:00:00,7
206.48,138.73,58.82,2019-11-24 02:00:00,7
209.92,128.24,58.82,2019-11-24 03:00:00,7
211.02,115.07,61.76,2019-11-24 04:00:00,7
214.33,118.06,61.76,2019-11-24 05:00:00,7
216.17,162.39,64.71,2019-11-24 06:00:00,7
228.0,179.82,67.65,2019-11-24 07:00:00,7
234.62,172.39,70.59,2019-11-24 08:00:00,7
238.27,178.17,70.59,2019-11-24 09:00:00,7
244.25,144.44,67.65,2019-11-24 10:00:00,7
245.9,186.65,61.76,2019-11-24 11:00:00,7
248.5,251.3,52.94,2019-11-24 12:00:00,7
253.58,299.01,52.94,2019-11-24 13:00:00,7
253.82,299.82,50.0,2019-11-24 14:00:00,7
263.97,322.32,47.06,2019-11-24 15:00:00,7
256.33,320.81,44.12,2019-11-24 16:00:00,7
254.03,295.53,44.12,2019-11-24 17:00:00,7
247.07,264.05,47.06,2019-11-24 18:00:00,7
245.07,255.53,50.0,2019-11-24 19:00:00,7
251.5,223.63,52.94,2019-11-24 20:00:00,7
252.15,212.89,55.88,2019-11-24 21:00:00,7
246.72,225.49,52.94,2019-11-24 22:00:00,7
230.07,216.51,52.94,2019-11-24 23:00:00,7
222.72,231.48,52.94,2019-12-07 00:00:00,6
217.38,223.84,52.94,2019-12-07 01:00:00,6
214.17,179.47,55.88,2019-12-07 02:00:00,6
214.87,165.56,55.88,2019-12-07 03:00:00,6
210.13,148.56,58.82,2019-12-07 04:00:00,6
212.2,124.96,61.76,2019-12-07 05:00:00,6
216.38,121.97,61.76,2019-12-07 06:00:00,6
227.7,123.7,64.71,2019-12-07 07:00:00,6
235.53,109.72,64.71,2019-12-07 08:00:00,6
247.98,132.78,67.65,2019-12-07 09:00:00,6
253.12,191.94,61.76,2019-12-07 10:00:00,6
257.4,219.19,55.88,2019-12-07 11:00:00,6
264.23,274.15,47.06,2019-12-07 12:00:00,6
267.65,305.0,44.12,2019-12-07 13:00:00,6
266.53,312.78,41.18,2019-12-07 14:00:00,6
272.2,331.97,41.18,2019-12-07 15:00:00,6
277.78,297.61,41.18,2019-12-07 16:00:00,6
269.67,295.49,41.18,2019-12-07 17:00:00,6
255.93,334.19,44.12,2019-12-07 18:00:00,6
252.82,360.6,44.12,2019-12-07 19:00:00,6
252.95,375.18,47.06,2019-12-07 20:00:00,6
245.98,342.39,50.0,2019-12-07 21:00:00,6
236.35,341.16,50.0,2019-12-07 22:00:00,6
228.27,330.74,52.94,2019-12-07 23:00:00,6
227.28,317.78,55.88,2019-12-08 00:00:00,7
219.58,328.52,58.82,2019-12-08 01:00:00,7
217.32,311.97,61.76,2019-12-08 02:00:00,7
217.9,293.8,64.71,2019-12-08 03:00:00,7
220.03,328.03,64.71,2019-12-08 04:00:00,7
223.5,317.15,67.65,2019-12-08 05:00:00,7
223.33,323.24,64.71,2019-12-08 06:00:00,7
237.32,328.45,67.65,2019-12-08 07:00:00,7
244.0,261.34,64.71,2019-12-08 08:00:00,7
254.18,267.61,67.65,2019-12-08 09:00:00,7
263.33,332.25,67.65,2019-12-08 10:00:00,7
269.33,379.86,70.59,2019-12-08 11:00:00,7
273.08,344.08,73.53,2019-12-08 12:00:00,7
271.63,343.42,70.59,2019-12-08 13:00:00,7
277.83,383.56,64.71,2019-12-08 14:00:00,7
285.9,397.15,61.76,2019-12-08 15:00:00,7
285.13,390.6,61.76,2019-12-08 16:00:00,7
277.17,381.48,64.71,2019-12-08 17:00:00,7
266.2,384.37,64.71,2019-12-08 18:00:00,7
266.63,364.33,67.65,2019-12-08 19:00:00,7
267.37,352.22,67.65,2019-12-08 20:00:00,7
257.47,358.42,67.65,2019-12-08 21:00:00,7
255.35,368.13,64.71,2019-12-08 22:00:00,7
236.32,358.42,64.71,2019-12-08 23:00:00,7
