avg,cen
223.47333333333333,222.72
216.33666666666667,217.38
213.66333333333333,214.17
214.98,214.87
215.42666666666665,210.13
218.24,212.2
220.34333333333333,216.38
234.99666666666667,227.7
241.14333333333335,235.53
250.17,247.98
254.90666666666667,253.12
257.83666666666664,257.4
261.50333333333333,264.23
263.56666666666666,267.65
269.91,266.53
274.2333333333333,272.2
276.52,277.78
269.07,269.67
257.27666666666664,255.93
253.27666666666664,252.82
251.35666666666665,252.95
245.56000000000003,245.98
237.01666666666665,236.35
225.07000000000002,228.27
