0,time,week
22.75,2019-07-21 00:00:00,7
20.5,2019-07-21 01:00:00,7
21.03,2019-07-21 02:00:00,7
20.44,2019-07-21 03:00:00,7
19.35,2019-07-21 04:00:00,7
19.01,2019-07-21 05:00:00,7
19.93,2019-07-21 06:00:00,7
21.18,2019-07-21 07:00:00,7
21.73,2019-07-21 08:00:00,7
22.52,2019-07-21 09:00:00,7
23.53,2019-07-21 10:00:00,7
25.93,2019-07-21 11:00:00,7
25.64,2019-07-21 12:00:00,7
26.77,2019-07-21 13:00:00,7
28.67,2019-07-21 14:00:00,7
29.0,2019-07-21 15:00:00,7
27.94,2019-07-21 16:00:00,7
29.05,2019-07-21 17:00:00,7
28.63,2019-07-21 18:00:00,7
26.81,2019-07-21 19:00:00,7
25.51,2019-07-21 20:00:00,7
27.03,2019-07-21 21:00:00,7
25.57,2019-07-21 22:00:00,7
24.24,2019-07-21 23:00:00,7
24.76,2019-11-16 00:00:00,6
25.19,2019-11-16 01:00:00,6
24.42,2019-11-16 02:00:00,6
24.59,2019-11-16 03:00:00,6
24.24,2019-11-16 04:00:00,6
23.67,2019-11-16 05:00:00,6
24.14,2019-11-16 06:00:00,6
23.7,2019-11-16 07:00:00,6
23.58,2019-11-16 08:00:00,6
23.6,2019-11-16 09:00:00,6
24.14,2019-11-16 10:00:00,6
24.96,2019-11-16 11:00:00,6
28.72,2019-11-16 12:00:00,6
29.13,2019-11-16 13:00:00,6
28.92,2019-11-16 14:00:00,6
27.12,2019-11-16 15:00:00,6
27.26,2019-11-16 16:00:00,6
26.7,2019-11-16 17:00:00,6
25.77,2019-11-16 18:00:00,6
26.05,2019-11-16 19:00:00,6
25.63,2019-11-16 20:00:00,6
25.07,2019-11-16 21:00:00,6
24.58,2019-11-16 22:00:00,6
24.71,2019-11-16 23:00:00,6
24.68,2019-11-17 00:00:00,7
24.03,2019-11-17 01:00:00,7
23.76,2019-11-17 02:00:00,7
23.74,2019-11-17 03:00:00,7
23.73,2019-11-17 04:00:00,7
23.77,2019-11-17 05:00:00,7
23.78,2019-11-17 06:00:00,7
23.82,2019-11-17 07:00:00,7
23.69,2019-11-17 08:00:00,7
27.52,2019-11-17 09:00:00,7
27.16,2019-11-17 10:00:00,7
31.02,2019-11-17 11:00:00,7
32.11,2019-11-17 12:00:00,7
31.63,2019-11-17 13:00:00,7
30.5,2019-11-17 14:00:00,7
30.29,2019-11-17 15:00:00,7
28.82,2019-11-17 16:00:00,7
28.58,2019-11-17 17:00:00,7
27.46,2019-11-17 18:00:00,7
26.6,2019-11-17 19:00:00,7
26.73,2019-11-17 20:00:00,7
26.15,2019-11-17 21:00:00,7
26.13,2019-11-17 22:00:00,7
25.65,2019-11-17 23:00:00,7
