0,time,week
31.64,2019-01-25 00:00:00,5
31.46,2019-01-25 01:00:00,5
31.64,2019-01-25 02:00:00,5
31.93,2019-01-25 03:00:00,5
32.21,2019-01-25 04:00:00,5
33.01,2019-01-25 05:00:00,5
32.38,2019-01-25 06:00:00,5
32.94,2019-01-25 07:00:00,5
33.72,2019-01-25 08:00:00,5
32.73,2019-01-25 09:00:00,5
36.54,2019-01-25 10:00:00,5
39.0,2019-01-25 11:00:00,5
33.79,2019-01-25 12:00:00,5
34.9,2019-01-25 13:00:00,5
33.76,2019-01-25 14:00:00,5
36.81,2019-01-25 15:00:00,5
33.76,2019-01-25 16:00:00,5
32.18,2019-01-25 17:00:00,5
30.49,2019-01-25 18:00:00,5
29.83,2019-01-25 19:00:00,5
27.64,2019-01-25 20:00:00,5
27.29,2019-01-25 21:00:00,5
27.66,2019-01-25 22:00:00,5
27.49,2019-01-25 23:00:00,5
27.63,2019-01-28 00:00:00,1
27.63,2019-01-28 01:00:00,1
27.74,2019-01-28 02:00:00,1
27.6,2019-01-28 03:00:00,1
27.83,2019-01-28 04:00:00,1
27.62,2019-01-28 05:00:00,1
27.62,2019-01-28 06:00:00,1
28.05,2019-01-28 07:00:00,1
27.76,2019-01-28 08:00:00,1
34.27,2019-01-28 09:00:00,1
39.63,2019-01-28 10:00:00,1
42.4,2019-01-28 11:00:00,1
37.63,2019-01-28 12:00:00,1
33.48,2019-01-28 13:00:00,1
32.33,2019-01-28 14:00:00,1
31.53,2019-01-28 15:00:00,1
30.4,2019-01-28 16:00:00,1
26.6,2019-01-28 17:00:00,1
26.16,2019-01-28 18:00:00,1
26.21,2019-01-28 19:00:00,1
26.25,2019-01-28 20:00:00,1
26.43,2019-01-28 21:00:00,1
26.85,2019-01-28 22:00:00,1
26.53,2019-01-28 23:00:00,1
26.66,2019-01-29 00:00:00,2
26.56,2019-01-29 01:00:00,2
26.39,2019-01-29 02:00:00,2
26.54,2019-01-29 03:00:00,2
26.87,2019-01-29 04:00:00,2
26.82,2019-01-29 05:00:00,2
26.88,2019-01-29 06:00:00,2
26.79,2019-01-29 07:00:00,2
26.9,2019-01-29 08:00:00,2
36.08,2019-01-29 09:00:00,2
42.71,2019-01-29 10:00:00,2
36.81,2019-01-29 11:00:00,2
31.84,2019-01-29 12:00:00,2
30.82,2019-01-29 13:00:00,2
29.71,2019-01-29 14:00:00,2
30.25,2019-01-29 15:00:00,2
7.57,2019-01-29 16:00:00,2
29.5,2019-01-29 17:00:00,2
26.55,2019-01-29 18:00:00,2
26.78,2019-01-29 19:00:00,2
28.07,2019-01-29 20:00:00,2
31.13,2019-01-29 21:00:00,2
30.37,2019-01-29 22:00:00,2
30.54,2019-01-29 23:00:00,2
30.97,2019-01-30 00:00:00,3
31.21,2019-01-30 01:00:00,3
30.75,2019-01-30 02:00:00,3
30.09,2019-01-30 03:00:00,3
30.26,2019-01-30 04:00:00,3
30.47,2019-01-30 05:00:00,3
30.99,2019-01-30 06:00:00,3
30.68,2019-01-30 07:00:00,3
30.79,2019-01-30 08:00:00,3
31.39,2019-01-30 09:00:00,3
34.5,2019-01-30 10:00:00,3
29.93,2019-01-30 11:00:00,3
30.77,2019-01-30 12:00:00,3
30.19,2019-01-30 13:00:00,3
30.42,2019-01-30 14:00:00,3
30.65,2019-01-30 15:00:00,3
29.71,2019-01-30 16:00:00,3
29.58,2019-01-30 17:00:00,3
28.07,2019-01-30 18:00:00,3
26.27,2019-01-30 19:00:00,3
26.64,2019-01-30 20:00:00,3
26.29,2019-01-30 21:00:00,3
26.53,2019-01-30 22:00:00,3
26.96,2019-01-30 23:00:00,3
27.21,2019-01-31 00:00:00,4
27.96,2019-01-31 01:00:00,4
27.03,2019-01-31 02:00:00,4
28.82,2019-01-31 03:00:00,4
31.27,2019-01-31 04:00:00,4
29.93,2019-01-31 05:00:00,4
30.34,2019-01-31 06:00:00,4
30.18,2019-01-31 07:00:00,4
30.22,2019-01-31 08:00:00,4
31.14,2019-01-31 09:00:00,4
33.4,2019-01-31 10:00:00,4
33.92,2019-01-31 11:00:00,4
28.65,2019-01-31 12:00:00,4
19.41,2019-01-31 13:00:00,4
18.9,2019-01-31 14:00:00,4
17.19,2019-01-31 15:00:00,4
14.45,2019-01-31 16:00:00,4
15.4,2019-01-31 17:00:00,4
11.54,2019-01-31 18:00:00,4
10.67,2019-01-31 19:00:00,4
10.25,2019-01-31 20:00:00,4
10.27,2019-01-31 21:00:00,4
10.32,2019-01-31 22:00:00,4
10.96,2019-01-31 23:00:00,4
15.32,2019-03-12 00:00:00,2
14.44,2019-03-12 01:00:00,2
13.65,2019-03-12 02:00:00,2
14.39,2019-03-12 03:00:00,2
13.92,2019-03-12 04:00:00,2
15.34,2019-03-12 05:00:00,2
14.44,2019-03-12 06:00:00,2
14.83,2019-03-12 07:00:00,2
15.47,2019-03-12 08:00:00,2
18.93,2019-03-12 09:00:00,2
21.97,2019-03-12 10:00:00,2
19.47,2019-03-12 11:00:00,2
20.3,2019-03-12 12:00:00,2
19.16,2019-03-12 13:00:00,2
17.45,2019-03-12 14:00:00,2
24.12,2019-03-12 15:00:00,2
21.18,2019-03-12 16:00:00,2
16.86,2019-03-12 17:00:00,2
13.06,2019-03-12 18:00:00,2
14.95,2019-03-12 19:00:00,2
13.1,2019-03-12 20:00:00,2
13.86,2019-03-12 21:00:00,2
14.23,2019-03-12 22:00:00,2
14.67,2019-03-12 23:00:00,2
14.83,2019-03-13 00:00:00,3
14.44,2019-03-13 01:00:00,3
14.85,2019-03-13 02:00:00,3
14.19,2019-03-13 03:00:00,3
14.05,2019-03-13 04:00:00,3
14.11,2019-03-13 05:00:00,3
14.83,2019-03-13 06:00:00,3
14.29,2019-03-13 07:00:00,3
17.95,2019-03-13 08:00:00,3
23.42,2019-03-13 09:00:00,3
15.4,2019-03-13 10:00:00,3
15.14,2019-03-13 11:00:00,3
21.57,2019-03-13 12:00:00,3
19.91,2019-03-13 13:00:00,3
20.78,2019-03-13 14:00:00,3
23.07,2019-03-13 15:00:00,3
22.98,2019-03-13 16:00:00,3
19.6,2019-03-13 17:00:00,3
12.5,2019-03-13 18:00:00,3
12.34,2019-03-13 19:00:00,3
12.32,2019-03-13 20:00:00,3
11.37,2019-03-13 21:00:00,3
10.89,2019-03-13 22:00:00,3
12.22,2019-03-13 23:00:00,3
15.39,2019-04-29 00:00:00,1
14.47,2019-04-29 01:00:00,1
14.16,2019-04-29 02:00:00,1
13.95,2019-04-29 03:00:00,1
14.17,2019-04-29 04:00:00,1
14.17,2019-04-29 05:00:00,1
13.98,2019-04-29 06:00:00,1
12.8,2019-04-29 07:00:00,1
14.42,2019-04-29 08:00:00,1
17.64,2019-04-29 09:00:00,1
20.03,2019-04-29 10:00:00,1
38.12,2019-04-29 11:00:00,1
37.72,2019-04-29 12:00:00,1
36.61,2019-04-29 13:00:00,1
34.69,2019-04-29 14:00:00,1
32.52,2019-04-29 15:00:00,1
30.35,2019-04-29 16:00:00,1
29.49,2019-04-29 17:00:00,1
25.3,2019-04-29 18:00:00,1
25.27,2019-04-29 19:00:00,1
25.27,2019-04-29 20:00:00,1
25.36,2019-04-29 21:00:00,1
25.2,2019-04-29 22:00:00,1
25.33,2019-04-29 23:00:00,1
25.23,2019-04-30 00:00:00,2
25.23,2019-04-30 01:00:00,2
25.2,2019-04-30 02:00:00,2
25.18,2019-04-30 03:00:00,2
25.26,2019-04-30 04:00:00,2
25.06,2019-04-30 05:00:00,2
25.03,2019-04-30 06:00:00,2
25.21,2019-04-30 07:00:00,2
25.08,2019-04-30 08:00:00,2
26.69,2019-04-30 09:00:00,2
27.39,2019-04-30 10:00:00,2
27.93,2019-04-30 11:00:00,2
29.8,2019-04-30 12:00:00,2
31.89,2019-04-30 13:00:00,2
31.86,2019-04-30 14:00:00,2
32.7,2019-04-30 15:00:00,2
33.19,2019-04-30 16:00:00,2
31.85,2019-04-30 17:00:00,2
28.73,2019-04-30 18:00:00,2
26.3,2019-04-30 19:00:00,2
25.73,2019-04-30 20:00:00,2
25.75,2019-04-30 21:00:00,2
25.63,2019-04-30 22:00:00,2
25.75,2019-04-30 23:00:00,2
25.46,2019-05-01 00:00:00,3
25.59,2019-05-01 01:00:00,3
25.67,2019-05-01 02:00:00,3
25.9,2019-05-01 03:00:00,3
25.99,2019-05-01 04:00:00,3
25.92,2019-05-01 05:00:00,3
25.97,2019-05-01 06:00:00,3
25.51,2019-05-01 07:00:00,3
26.09,2019-05-01 08:00:00,3
27.81,2019-05-01 09:00:00,3
29.31,2019-05-01 10:00:00,3
30.06,2019-05-01 11:00:00,3
30.8,2019-05-01 12:00:00,3
34.13,2019-05-01 13:00:00,3
35.89,2019-05-01 14:00:00,3
35.52,2019-05-01 15:00:00,3
33.53,2019-05-01 16:00:00,3
31.31,2019-05-01 17:00:00,3
27.49,2019-05-01 18:00:00,3
26.43,2019-05-01 19:00:00,3
26.29,2019-05-01 20:00:00,3
25.75,2019-05-01 21:00:00,3
25.61,2019-05-01 22:00:00,3
25.55,2019-05-01 23:00:00,3
25.4,2019-05-02 00:00:00,4
26.06,2019-05-02 01:00:00,4
25.62,2019-05-02 02:00:00,4
25.51,2019-05-02 03:00:00,4
25.56,2019-05-02 04:00:00,4
25.48,2019-05-02 05:00:00,4
25.53,2019-05-02 06:00:00,4
25.62,2019-05-02 07:00:00,4
25.56,2019-05-02 08:00:00,4
27.18,2019-05-02 09:00:00,4
28.68,2019-05-02 10:00:00,4
29.96,2019-05-02 11:00:00,4
31.62,2019-05-02 12:00:00,4
37.73,2019-05-02 13:00:00,4
36.46,2019-05-02 14:00:00,4
35.22,2019-05-02 15:00:00,4
35.12,2019-05-02 16:00:00,4
33.56,2019-05-02 17:00:00,4
29.34,2019-05-02 18:00:00,4
27.61,2019-05-02 19:00:00,4
27.26,2019-05-02 20:00:00,4
27.0,2019-05-02 21:00:00,4
26.68,2019-05-02 22:00:00,4
26.27,2019-05-02 23:00:00,4
14.84,2019-05-20 00:00:00,1
13.77,2019-05-20 01:00:00,1
13.69,2019-05-20 02:00:00,1
13.51,2019-05-20 03:00:00,1
13.52,2019-05-20 04:00:00,1
13.83,2019-05-20 05:00:00,1
13.87,2019-05-20 06:00:00,1
13.88,2019-05-20 07:00:00,1
13.56,2019-05-20 08:00:00,1
15.92,2019-05-20 09:00:00,1
18.62,2019-05-20 10:00:00,1
23.36,2019-05-20 11:00:00,1
22.66,2019-05-20 12:00:00,1
22.57,2019-05-20 13:00:00,1
21.78,2019-05-20 14:00:00,1
22.05,2019-05-20 15:00:00,1
20.82,2019-05-20 16:00:00,1
19.21,2019-05-20 17:00:00,1
15.58,2019-05-20 18:00:00,1
15.44,2019-05-20 19:00:00,1
15.39,2019-05-20 20:00:00,1
14.53,2019-05-20 21:00:00,1
13.96,2019-05-20 22:00:00,1
13.83,2019-05-20 23:00:00,1
20.13,2019-06-24 00:00:00,1
16.59,2019-06-24 01:00:00,1
15.18,2019-06-24 02:00:00,1
15.09,2019-06-24 03:00:00,1
14.69,2019-06-24 04:00:00,1
13.67,2019-06-24 05:00:00,1
12.06,2019-06-24 06:00:00,1
11.85,2019-06-24 07:00:00,1
16.7,2019-06-24 08:00:00,1
23.38,2019-06-24 09:00:00,1
25.49,2019-06-24 10:00:00,1
27.06,2019-06-24 11:00:00,1
25.71,2019-06-24 12:00:00,1
26.11,2019-06-24 13:00:00,1
28.76,2019-06-24 14:00:00,1
29.03,2019-06-24 15:00:00,1
28.9,2019-06-24 16:00:00,1
25.65,2019-06-24 17:00:00,1
23.86,2019-06-24 18:00:00,1
24.22,2019-06-24 19:00:00,1
22.65,2019-06-24 20:00:00,1
21.74,2019-06-24 21:00:00,1
21.18,2019-06-24 22:00:00,1
21.44,2019-06-24 23:00:00,1
19.74,2019-06-25 00:00:00,2
16.33,2019-06-25 01:00:00,2
16.35,2019-06-25 02:00:00,2
15.48,2019-06-25 03:00:00,2
13.96,2019-06-25 04:00:00,2
14.42,2019-06-25 05:00:00,2
14.22,2019-06-25 06:00:00,2
18.09,2019-06-25 07:00:00,2
17.89,2019-06-25 08:00:00,2
26.71,2019-06-25 09:00:00,2
23.94,2019-06-25 10:00:00,2
21.01,2019-06-25 11:00:00,2
23.73,2019-06-25 12:00:00,2
27.61,2019-06-25 13:00:00,2
28.88,2019-06-25 14:00:00,2
27.79,2019-06-25 15:00:00,2
30.38,2019-06-25 16:00:00,2
31.2,2019-06-25 17:00:00,2
30.37,2019-06-25 18:00:00,2
23.98,2019-06-25 19:00:00,2
19.8,2019-06-25 20:00:00,2
19.07,2019-06-25 21:00:00,2
18.8,2019-06-25 22:00:00,2
15.62,2019-06-25 23:00:00,2
16.09,2019-06-26 00:00:00,3
13.86,2019-06-26 01:00:00,3
13.1,2019-06-26 02:00:00,3
12.11,2019-06-26 03:00:00,3
12.47,2019-06-26 04:00:00,3
11.86,2019-06-26 05:00:00,3
11.87,2019-06-26 06:00:00,3
12.1,2019-06-26 07:00:00,3
12.48,2019-06-26 08:00:00,3
20.78,2019-06-26 09:00:00,3
24.28,2019-06-26 10:00:00,3
27.27,2019-06-26 11:00:00,3
28.09,2019-06-26 12:00:00,3
23.49,2019-06-26 13:00:00,3
25.95,2019-06-26 14:00:00,3
26.46,2019-06-26 15:00:00,3
28.6,2019-06-26 16:00:00,3
24.6,2019-06-26 17:00:00,3
22.9,2019-06-26 18:00:00,3
20.82,2019-06-26 19:00:00,3
20.22,2019-06-26 20:00:00,3
18.7,2019-06-26 21:00:00,3
17.74,2019-06-26 22:00:00,3
17.27,2019-06-26 23:00:00,3
16.32,2019-06-27 00:00:00,4
17.89,2019-06-27 01:00:00,4
15.38,2019-06-27 02:00:00,4
13.26,2019-06-27 03:00:00,4
12.64,2019-06-27 04:00:00,4
11.95,2019-06-27 05:00:00,4
13.97,2019-06-27 06:00:00,4
14.44,2019-06-27 07:00:00,4
13.8,2019-06-27 08:00:00,4
20.42,2019-06-27 09:00:00,4
25.26,2019-06-27 10:00:00,4
24.62,2019-06-27 11:00:00,4
26.19,2019-06-27 12:00:00,4
27.22,2019-06-27 13:00:00,4
27.89,2019-06-27 14:00:00,4
29.76,2019-06-27 15:00:00,4
30.59,2019-06-27 16:00:00,4
26.01,2019-06-27 17:00:00,4
24.77,2019-06-27 18:00:00,4
23.89,2019-06-27 19:00:00,4
23.36,2019-06-27 20:00:00,4
18.7,2019-06-27 21:00:00,4
15.58,2019-06-27 22:00:00,4
17.0,2019-06-27 23:00:00,4
24.29,2019-07-29 00:00:00,1
23.31,2019-07-29 01:00:00,1
22.61,2019-07-29 02:00:00,1
23.4,2019-07-29 03:00:00,1
23.65,2019-07-29 04:00:00,1
20.71,2019-07-29 05:00:00,1
20.51,2019-07-29 06:00:00,1
22.5,2019-07-29 07:00:00,1
23.42,2019-07-29 08:00:00,1
24.1,2019-07-29 09:00:00,1
28.92,2019-07-29 10:00:00,1
31.96,2019-07-29 11:00:00,1
31.42,2019-07-29 12:00:00,1
31.53,2019-07-29 13:00:00,1
33.05,2019-07-29 14:00:00,1
34.56,2019-07-29 15:00:00,1
33.37,2019-07-29 16:00:00,1
30.05,2019-07-29 17:00:00,1
27.94,2019-07-29 18:00:00,1
27.19,2019-07-29 19:00:00,1
25.8,2019-07-29 20:00:00,1
23.76,2019-07-29 21:00:00,1
25.6,2019-07-29 22:00:00,1
25.05,2019-07-29 23:00:00,1
36.15,2019-11-22 00:00:00,5
36.06,2019-11-22 01:00:00,5
37.11,2019-11-22 02:00:00,5
35.38,2019-11-22 03:00:00,5
36.34,2019-11-22 04:00:00,5
36.63,2019-11-22 05:00:00,5
36.25,2019-11-22 06:00:00,5
36.73,2019-11-22 07:00:00,5
36.44,2019-11-22 08:00:00,5
35.13,2019-11-22 09:00:00,5
34.57,2019-11-22 10:00:00,5
23.38,2019-11-22 11:00:00,5
19.13,2019-11-22 12:00:00,5
22.94,2019-11-22 13:00:00,5
27.35,2019-11-22 14:00:00,5
51.1,2019-11-22 15:00:00,5
31.16,2019-11-22 16:00:00,5
32.45,2019-11-22 17:00:00,5
26.72,2019-11-22 18:00:00,5
24.78,2019-11-22 19:00:00,5
23.41,2019-11-22 20:00:00,5
23.15,2019-11-22 21:00:00,5
23.05,2019-11-22 22:00:00,5
23.12,2019-11-22 23:00:00,5
17.4,2019-12-23 00:00:00,1
12.91,2019-12-23 01:00:00,1
28.54,2019-12-23 02:00:00,1
28.91,2019-12-23 03:00:00,1
28.83,2019-12-23 04:00:00,1
28.66,2019-12-23 05:00:00,1
28.73,2019-12-23 06:00:00,1
28.56,2019-12-23 07:00:00,1
28.6,2019-12-23 08:00:00,1
31.92,2019-12-23 09:00:00,1
35.92,2019-12-23 10:00:00,1
36.26,2019-12-23 11:00:00,1
33.78,2019-12-23 12:00:00,1
38.45,2019-12-23 13:00:00,1
41.69,2019-12-23 14:00:00,1
36.66,2019-12-23 15:00:00,1
27.83,2019-12-23 16:00:00,1
26.72,2019-12-23 17:00:00,1
20.54,2019-12-23 18:00:00,1
20.03,2019-12-23 19:00:00,1
20.04,2019-12-23 20:00:00,1
20.11,2019-12-23 21:00:00,1
20.08,2019-12-23 22:00:00,1
20.16,2019-12-23 23:00:00,1
20.04,2019-12-24 00:00:00,2
20.18,2019-12-24 01:00:00,2
20.07,2019-12-24 02:00:00,2
20.13,2019-12-24 03:00:00,2
20.07,2019-12-24 04:00:00,2
20.09,2019-12-24 05:00:00,2
20.04,2019-12-24 06:00:00,2
20.06,2019-12-24 07:00:00,2
20.08,2019-12-24 08:00:00,2
20.03,2019-12-24 09:00:00,2
19.96,2019-12-24 10:00:00,2
20.07,2019-12-24 11:00:00,2
20.61,2019-12-24 12:00:00,2
