p,k,db,cp,sp,exemplars,labels
-0.0,3,0.0,0.0,31.832689261489772,[ 0  7 15],[ 0  0  0  0  0  0  0  7  0  0  0  0  0  0  0 15]
-1.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-2.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-3.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-4.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-5.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-6.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-7.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-8.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-9.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-10.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-11.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-12.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
