p,k,db,cp,sp,exemplars,labels
-25.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-26.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-27.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-28.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-29.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-30.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-31.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-32.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-33.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-34.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-35.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-36.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-37.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-38.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-39.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-40.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-41.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-42.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-43.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-44.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-45.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-46.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-47.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-48.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-49.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-50.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
-51.8,3,0.0,0.0,38.79083495428359,[0 1 2],[0 1 2]
