p,k,db,cp,sp,exemplars,labels
-14.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-15.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-16.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-17.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-18.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-19.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-20.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-21.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-22.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-23.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-24.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-25.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-26.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-27.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-28.4,3,0.0,0.0,29.497304712575502,[0 1 2],[0 1 2]
-29.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-30.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-31.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-32.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-33.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-34.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-35.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-36.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-37.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-38.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
-39.4,3,1.4688223910609668,9.58412882788595,29.497304712575502,[0 1 2],[0 2 1]
