0,1,time,week
18.92,0.11,2019-12-16 00:00:00,1
4.81,0.0,2019-12-16 01:00:00,1
0.0,0.0,2019-12-16 02:00:00,1
0.0,0.0,2019-12-16 03:00:00,1
0.0,0.0,2019-12-16 04:00:00,1
0.0,0.0,2019-12-16 05:00:00,1
0.0,0.0,2019-12-16 06:00:00,1
25.21,0.0,2019-12-16 07:00:00,1
32.54,0.0,2019-12-16 08:00:00,1
34.95,0.99,2019-12-16 09:00:00,1
36.01,4.51,2019-12-16 10:00:00,1
35.6,4.12,2019-12-16 11:00:00,1
2.25,11.73,2019-12-16 12:00:00,1
0.0,9.4,2019-12-16 13:00:00,1
0.0,11.48,2019-12-16 14:00:00,1
0.0,17.08,2019-12-16 15:00:00,1
0.0,10.67,2019-12-16 16:00:00,1
0.0,14.33,2019-12-16 17:00:00,1
0.0,10.85,2019-12-16 18:00:00,1
0.0,1.48,2019-12-16 19:00:00,1
0.0,0.0,2019-12-16 20:00:00,1
0.0,0.0,2019-12-16 21:00:00,1
0.0,0.07,2019-12-16 22:00:00,1
0.0,0.0,2019-12-16 23:00:00,1
0.0,0.0,2019-12-17 00:00:00,2
0.0,0.04,2019-12-17 01:00:00,2
0.0,0.0,2019-12-17 02:00:00,2
0.0,0.0,2019-12-17 03:00:00,2
0.0,0.0,2019-12-17 04:00:00,2
3.21,0.04,2019-12-17 05:00:00,2
27.82,0.0,2019-12-17 06:00:00,2
30.25,0.11,2019-12-17 07:00:00,2
32.47,1.02,2019-12-17 08:00:00,2
33.8,0.11,2019-12-17 09:00:00,2
34.64,1.51,2019-12-17 10:00:00,2
35.39,4.26,2019-12-17 11:00:00,2
17.31,5.81,2019-12-17 12:00:00,2
0.0,14.15,2019-12-17 13:00:00,2
0.0,19.68,2019-12-17 14:00:00,2
0.0,14.72,2019-12-17 15:00:00,2
0.0,20.85,2019-12-17 16:00:00,2
0.0,15.49,2019-12-17 17:00:00,2
0.0,8.7,2019-12-17 18:00:00,2
0.0,4.44,2019-12-17 19:00:00,2
0.0,0.0,2019-12-17 20:00:00,2
0.0,0.11,2019-12-17 21:00:00,2
0.0,0.0,2019-12-17 22:00:00,2
0.0,0.0,2019-12-17 23:00:00,2
0.0,0.07,2019-12-18 00:00:00,3
0.0,0.0,2019-12-18 01:00:00,3
0.0,0.0,2019-12-18 02:00:00,3
0.0,0.04,2019-12-18 03:00:00,3
0.0,0.0,2019-12-18 04:00:00,3
5.02,0.07,2019-12-18 05:00:00,3
28.95,0.28,2019-12-18 06:00:00,3
31.36,0.0,2019-12-18 07:00:00,3
33.17,1.34,2019-12-18 08:00:00,3
35.28,4.89,2019-12-18 09:00:00,3
35.96,5.14,2019-12-18 10:00:00,3
35.64,15.42,2019-12-18 11:00:00,3
13.08,13.91,2019-12-18 12:00:00,3
0.0,18.27,2019-12-18 13:00:00,3
0.0,23.45,2019-12-18 14:00:00,3
0.0,16.65,2019-12-18 15:00:00,3
0.0,18.06,2019-12-18 16:00:00,3
0.0,17.61,2019-12-18 17:00:00,3
0.0,9.33,2019-12-18 18:00:00,3
0.0,4.26,2019-12-18 19:00:00,3
0.0,0.0,2019-12-18 20:00:00,3
0.0,0.21,2019-12-18 21:00:00,3
0.0,0.0,2019-12-18 22:00:00,3
0.0,0.0,2019-12-18 23:00:00,3
