avg,cen
4.828888888888889,4.56
4.862222222222221,4.5
4.895555555555556,4.39
4.921666666666666,4.82
5.007777777777777,4.49
5.040555555555557,4.41
4.074444444444445,3.07
4.913333333333334,4.54
5.200555555555557,5.15
5.160555555555556,5.19
5.151666666666667,4.76
5.215,5.19
5.256111111111112,5.18
5.275,4.81
5.428888888888889,5.58
5.405555555555556,5.58
5.104444444444445,4.66
5.030000000000001,5.07
5.032777777777778,5.03
6.419444444444445,6.24
6.776666666666666,7.25
6.477222222222221,6.54
5.271666666666666,5.19
4.432222222222223,4.42
