0,1,time,week
150.37,142.96,2019-04-20 00:00:00,6
144.04,90.25,2019-04-20 01:00:00,6
169.78,81.87,2019-04-20 02:00:00,6
152.47,64.86,2019-04-20 03:00:00,6
144.56,50.11,2019-04-20 04:00:00,6
188.41,108.31,2019-04-20 05:00:00,6
172.45,17.99,2019-04-20 06:00:00,6
121.87,90.14,2019-04-20 07:00:00,6
131.72,149.75,2019-04-20 08:00:00,6
143.52,191.34,2019-04-20 09:00:00,6
158.2,221.73,2019-04-20 10:00:00,6
139.27,237.36,2019-04-20 11:00:00,6
137.53,249.23,2019-04-20 12:00:00,6
144.52,255.42,2019-04-20 13:00:00,6
140.54,264.58,2019-04-20 14:00:00,6
143.1,267.25,2019-04-20 15:00:00,6
138.45,269.79,2019-04-20 16:00:00,6
139.95,262.22,2019-04-20 17:00:00,6
147.44,247.89,2019-04-20 18:00:00,6
148.31,229.51,2019-04-20 19:00:00,6
157.42,211.87,2019-04-20 20:00:00,6
151.82,152.96,2019-04-20 21:00:00,6
122.7,155.25,2019-04-20 22:00:00,6
131.36,152.11,2019-04-20 23:00:00,6
163.61,203.91,2019-04-27 00:00:00,6
170.39,175.21,2019-04-27 01:00:00,6
138.64,39.58,2019-04-27 02:00:00,6
116.27,27.54,2019-04-27 03:00:00,6
115.26,19.75,2019-04-27 04:00:00,6
125.76,133.98,2019-04-27 05:00:00,6
182.85,20.11,2019-04-27 06:00:00,6
141.27,111.76,2019-04-27 07:00:00,6
156.08,177.25,2019-04-27 08:00:00,6
164.65,247.64,2019-04-27 09:00:00,6
175.06,281.44,2019-04-27 10:00:00,6
159.92,305.88,2019-04-27 11:00:00,6
157.36,323.27,2019-04-27 12:00:00,6
163.44,342.29,2019-04-27 13:00:00,6
159.57,348.7,2019-04-27 14:00:00,6
151.32,360.18,2019-04-27 15:00:00,6
154.04,355.63,2019-04-27 16:00:00,6
139.45,321.23,2019-04-27 17:00:00,6
137.28,290.04,2019-04-27 18:00:00,6
142.57,264.44,2019-04-27 19:00:00,6
144.21,238.87,2019-04-27 20:00:00,6
140.61,228.1,2019-04-27 21:00:00,6
140.83,114.19,2019-04-27 22:00:00,6
131.21,251.41,2019-04-27 23:00:00,6
178.56,73.35,2019-05-04 00:00:00,6
131.89,71.55,2019-05-04 01:00:00,6
151.01,52.32,2019-05-04 02:00:00,6
159.53,41.94,2019-05-04 03:00:00,6
154.42,23.13,2019-05-04 04:00:00,6
167.26,19.86,2019-05-04 05:00:00,6
153.79,12.68,2019-05-04 06:00:00,6
143.93,43.73,2019-05-04 07:00:00,6
143.34,108.49,2019-05-04 08:00:00,6
138.28,168.91,2019-05-04 09:00:00,6
143.96,206.13,2019-05-04 10:00:00,6
134.46,232.18,2019-05-04 11:00:00,6
133.93,252.22,2019-05-04 12:00:00,6
137.98,263.27,2019-05-04 13:00:00,6
133.32,274.51,2019-05-04 14:00:00,6
134.52,275.67,2019-05-04 15:00:00,6
133.02,273.91,2019-05-04 16:00:00,6
130.37,271.34,2019-05-04 17:00:00,6
128.59,265.21,2019-05-04 18:00:00,6
140.98,241.44,2019-05-04 19:00:00,6
148.66,229.3,2019-05-04 20:00:00,6
146.49,145.14,2019-05-04 21:00:00,6
111.55,37.18,2019-05-04 22:00:00,6
114.71,187.61,2019-05-04 23:00:00,6
153.05,46.97,2019-05-11 00:00:00,6
148.44,61.2,2019-05-11 01:00:00,6
150.89,50.49,2019-05-11 02:00:00,6
153.9,39.15,2019-05-11 03:00:00,6
163.99,26.51,2019-05-11 04:00:00,6
156.97,20.18,2019-05-11 05:00:00,6
149.21,19.01,2019-05-11 06:00:00,6
142.3,44.15,2019-05-11 07:00:00,6
143.72,64.08,2019-05-11 08:00:00,6
148.03,106.94,2019-05-11 09:00:00,6
136.37,124.37,2019-05-11 10:00:00,6
135.42,144.37,2019-05-11 11:00:00,6
136.99,158.52,2019-05-11 12:00:00,6
136.65,171.2,2019-05-11 13:00:00,6
138.99,186.44,2019-05-11 14:00:00,6
136.26,200.32,2019-05-11 15:00:00,6
133.89,195.56,2019-05-11 16:00:00,6
135.01,189.54,2019-05-11 17:00:00,6
138.86,156.34,2019-05-11 18:00:00,6
135.72,145.95,2019-05-11 19:00:00,6
144.58,145.74,2019-05-11 20:00:00,6
160.38,124.3,2019-05-11 21:00:00,6
144.29,139.37,2019-05-11 22:00:00,6
152.31,124.93,2019-05-11 23:00:00,6
127.29,39.79,2019-05-18 00:00:00,6
130.57,49.93,2019-05-18 01:00:00,6
144.79,30.39,2019-05-18 02:00:00,6
160.58,11.58,2019-05-18 03:00:00,6
177.21,1.02,2019-05-18 04:00:00,6
183.01,1.02,2019-05-18 05:00:00,6
187.82,1.55,2019-05-18 06:00:00,6
173.16,8.59,2019-05-18 07:00:00,6
129.64,20.0,2019-05-18 08:00:00,6
133.79,128.17,2019-05-18 09:00:00,6
147.89,153.35,2019-05-18 10:00:00,6
152.38,185.07,2019-05-18 11:00:00,6
151.94,200.39,2019-05-18 12:00:00,6
141.74,204.51,2019-05-18 13:00:00,6
147.91,217.61,2019-05-18 14:00:00,6
141.72,230.28,2019-05-18 15:00:00,6
136.63,230.63,2019-05-18 16:00:00,6
131.49,211.37,2019-05-18 17:00:00,6
132.81,183.2,2019-05-18 18:00:00,6
129.72,166.2,2019-05-18 19:00:00,6
137.81,160.99,2019-05-18 20:00:00,6
136.23,121.65,2019-05-18 21:00:00,6
