0,1,2,time,week
45.18,116.2,41.18,2019-10-05 00:00:00,6
39.65,72.04,47.06,2019-10-05 01:00:00,6
39.59,53.59,50.0,2019-10-05 02:00:00,6
39.56,50.7,47.06,2019-10-05 03:00:00,6
43.06,69.3,50.0,2019-10-05 04:00:00,6
42.03,88.56,52.94,2019-10-05 05:00:00,6
40.14,87.22,44.12,2019-10-05 06:00:00,6
46.62,78.31,47.06,2019-10-05 07:00:00,6
47.94,81.73,44.12,2019-10-05 08:00:00,6
53.49,110.6,41.18,2019-10-05 09:00:00,6
67.64,168.27,44.12,2019-10-05 10:00:00,6
90.04,212.25,55.88,2019-10-05 11:00:00,6
95.29,226.8,55.88,2019-10-05 12:00:00,6
94.74,230.21,52.94,2019-10-05 13:00:00,6
110.22,239.61,47.06,2019-10-05 14:00:00,6
97.27,258.91,55.88,2019-10-05 15:00:00,6
74.21,245.99,47.06,2019-10-05 16:00:00,6
84.38,194.96,47.06,2019-10-05 17:00:00,6
111.65,198.24,47.06,2019-10-05 18:00:00,6
96.33,161.83,50.0,2019-10-05 19:00:00,6
105.02,164.3,55.88,2019-10-05 20:00:00,6
57.72,147.04,52.94,2019-10-05 21:00:00,6
51.93,137.54,52.94,2019-10-05 22:00:00,6
48.79,126.23,52.94,2019-10-05 23:00:00,6
40.79,78.7,52.94,2019-10-12 00:00:00,6
39.34,42.75,52.94,2019-10-12 01:00:00,6
38.51,32.04,50.0,2019-10-12 02:00:00,6
39.42,33.03,50.0,2019-10-12 03:00:00,6
41.46,41.02,50.0,2019-10-12 04:00:00,6
44.51,64.01,52.94,2019-10-12 05:00:00,6
42.01,60.42,55.88,2019-10-12 06:00:00,6
34.8,45.53,55.88,2019-10-12 07:00:00,6
35.09,55.25,55.88,2019-10-12 08:00:00,6
37.35,93.7,52.94,2019-10-12 09:00:00,6
52.99,161.55,52.94,2019-10-12 10:00:00,6
74.23,168.7,58.82,2019-10-12 11:00:00,6
114.89,193.42,61.76,2019-10-12 12:00:00,6
118.09,187.54,58.82,2019-10-12 13:00:00,6
114.15,170.07,47.06,2019-10-12 14:00:00,6
113.19,167.78,47.06,2019-10-12 15:00:00,6
119.14,190.0,44.12,2019-10-12 16:00:00,6
117.19,186.8,50.0,2019-10-12 17:00:00,6
119.87,171.16,44.12,2019-10-12 18:00:00,6
120.34,148.98,38.24,2019-10-12 19:00:00,6
110.2,133.24,41.18,2019-10-12 20:00:00,6
47.51,120.77,50.0,2019-10-12 21:00:00,6
45.35,103.63,47.06,2019-10-12 22:00:00,6
43.29,93.66,47.06,2019-10-12 23:00:00,6
46.07,54.96,44.12,2019-10-19 00:00:00,6
39.52,19.96,44.12,2019-10-19 01:00:00,6
41.4,13.1,47.06,2019-10-19 02:00:00,6
41.58,10.14,38.24,2019-10-19 03:00:00,6
43.9,17.11,38.24,2019-10-19 04:00:00,6
46.48,38.03,38.24,2019-10-19 05:00:00,6
45.23,33.06,41.18,2019-10-19 06:00:00,6
35.23,22.85,44.12,2019-10-19 07:00:00,6
41.67,33.91,44.12,2019-10-19 08:00:00,6
52.15,62.85,41.18,2019-10-19 09:00:00,6
67.34,97.29,41.18,2019-10-19 10:00:00,6
69.62,152.92,44.12,2019-10-19 11:00:00,6
89.97,148.13,44.12,2019-10-19 12:00:00,6
89.81,174.93,44.12,2019-10-19 13:00:00,6
76.28,194.58,44.12,2019-10-19 14:00:00,6
100.67,200.07,44.12,2019-10-19 15:00:00,6
66.45,157.85,44.12,2019-10-19 16:00:00,6
68.37,149.15,41.18,2019-10-19 17:00:00,6
122.57,86.3,41.18,2019-10-19 18:00:00,6
121.75,94.47,41.18,2019-10-19 19:00:00,6
121.29,114.44,47.06,2019-10-19 20:00:00,6
59.74,90.07,41.18,2019-10-19 21:00:00,6
46.79,81.13,44.12,2019-10-19 22:00:00,6
45.27,65.39,44.12,2019-10-19 23:00:00,6
47.13,45.99,32.35,2019-10-26 00:00:00,6
42.5,11.02,41.18,2019-10-26 01:00:00,6
42.17,7.04,35.29,2019-10-26 02:00:00,6
42.6,6.69,32.35,2019-10-26 03:00:00,6
43.35,7.25,35.29,2019-10-26 04:00:00,6
44.5,5.21,32.35,2019-10-26 05:00:00,6
44.17,4.75,32.35,2019-10-26 06:00:00,6
35.11,4.4,32.35,2019-10-26 07:00:00,6
49.79,14.19,32.35,2019-10-26 08:00:00,6
58.85,54.86,32.35,2019-10-26 09:00:00,6
69.85,80.25,35.29,2019-10-26 10:00:00,6
80.14,101.8,35.29,2019-10-26 11:00:00,6
86.71,165.32,32.35,2019-10-26 12:00:00,6
97.36,178.98,38.24,2019-10-26 13:00:00,6
95.44,178.31,35.29,2019-10-26 14:00:00,6
85.75,183.06,35.29,2019-10-26 15:00:00,6
88.43,168.17,35.29,2019-10-26 16:00:00,6
89.04,156.62,35.29,2019-10-26 17:00:00,6
107.17,123.63,38.24,2019-10-26 18:00:00,6
92.29,111.23,38.24,2019-10-26 19:00:00,6
83.85,89.19,38.24,2019-10-26 20:00:00,6
75.45,70.53,41.18,2019-10-26 21:00:00,6
48.08,50.46,38.24,2019-10-26 22:00:00,6
