p,k,db,cp,sp,gyh_db,gyh_cp,gyh_sp,zb,exemplars,labels
-28.0,8,0.5326225504568987,4.2148532630081466,38.026143840768256,0.48983065716209917,0.377679930674909,0.27443665778998333,0.40794447569727266,[ 1 39 40 41 47 50 58 68],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 39 40 41  1 50 50 50 58 47
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58 68 68 68 68  1  1]"
-29.0,7,0.5823972107229689,5.208145051705129,39.41659765319109,0.5356063279954775,0.4666857276708619,0.20605742837802188,0.43598895300995966,[ 1 40 41 47 50 58 68],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 68 40 41  1 50 50 50 58 47
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58 68 68 68 68  1  1]"
-30.0,7,0.5823972107229689,5.208145051705129,39.41659765319109,0.5356063279954775,0.4666857276708619,0.20605742837802188,0.43598895300995966,[ 1 40 41 47 50 58 68],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 68 40 41  1 50 50 50 58 47
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58 68 68 68 68  1  1]"
-31.0,6,0.6371878368909082,6.328237468280069,41.16843810632147,0.5859949726353676,0.5670537357233161,0.11990605882693542,0.46473743495524666,[ 1 40 41 50 58 68],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 68 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58 68 68 68 68  1  1]"
-32.0,6,0.6063219629625966,5.465036530711072,41.16843810632147,0.5576089208296041,0.489704976486346,0.11990605882693542,0.4312072192431224,[ 1 40 41 50 58 68],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1 68 68 68  1  1]"
-33.0,6,0.6063219629625966,5.465036530711072,41.16843810632147,0.5576089208296041,0.489704976486346,0.11990605882693542,0.4312072192431224,[ 1 40 41 50 58 68],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1 68 68 68  1  1]"
-34.0,5,0.6373744912150494,6.162597725700293,43.606661497580454,0.5861666308015075,0.5522112720381411,0.0,0.43113613341028906,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-35.0,5,0.6373744912150494,6.162597725700293,43.606661497580454,0.5861666308015075,0.5522112720381411,0.0,0.43113613341028906,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-36.0,5,0.6373744912150494,6.162597725700293,43.606661497580454,0.5861666308015075,0.5522112720381411,0.0,0.43113613341028906,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-37.0,5,0.6373744912150494,6.162597725700293,43.606661497580454,0.5861666308015075,0.5522112720381411,0.0,0.43113613341028906,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-38.0,5,0.6373744912150494,6.162597725700293,43.606661497580454,0.5861666308015075,0.5522112720381411,0.0,0.43113613341028906,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-39.0,5,0.6063326884501679,5.914151224353581,43.606661497580454,0.5576187846114153,0.5299487514828987,0.0,0.41129658017643234,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58  1
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-40.0,5,0.6063326884501679,5.914151224353581,43.606661497580454,0.5576187846114153,0.5299487514828987,0.0,0.41129658017643234,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58  1
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-41.0,5,0.6063326884501679,5.914151224353581,43.606661497580454,0.5576187846114153,0.5299487514828987,0.0,0.41129658017643234,[ 1 40 41 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 41  1 50 50 50 58  1
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-42.0,4,0.7301966542321312,7.966874398876673,41.175583339530725,0.6715312873877931,0.7138869096752309,0.11955467315957087,0.544126039402597,[ 1 40 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 58  1 50 50 50 58  1
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-43.0,4,0.7527448178508525,8.18220375252298,41.175583339530725,0.6922678893091392,0.7331819053210268,0.11955467315957087,0.5593180892747189,[ 1 40 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 58  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-44.0,4,0.7527448178508525,8.18220375252298,41.175583339530725,0.6922678893091392,0.7331819053210268,0.11955467315957087,0.5593180892747189,[ 1 40 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 58  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-45.0,4,0.7527448178508525,8.18220375252298,41.175583339530725,0.6922678893091392,0.7331819053210268,0.11955467315957087,0.5593180892747189,[ 1 40 50 58],"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 40 58  1 50 50 50 58 58
 58  1 50 50  1  1 58 50 58 58 58  1 58  1  1  1 58  1  1  1  1  1  1]"
-46.0,3,0.8427907081602316,11.15985500070459,32.42741654786103,0.7750793241369606,1.0,0.549768822408691,0.774981867670653,[17 50 58],"[17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 58 17 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-47.0,3,0.8427907081602316,11.15985500070459,32.42741654786103,0.7750793241369606,1.0,0.549768822408691,0.774981867670653,[17 50 58],"[17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 58 17 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-48.0,3,0.8427907081602316,11.15985500070459,32.42741654786103,0.7750793241369606,1.0,0.549768822408691,0.774981867670653,[17 50 58],"[17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 58 17 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-49.0,3,0.8427907081602316,11.15985500070459,32.42741654786103,0.7750793241369606,1.0,0.549768822408691,0.774981867670653,[17 50 58],"[17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 58 17 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-50.0,4,1.0778491575071012,9.817064897614905,28.31486564674547,0.9912527374036573,0.8796767428425453,0.7520143475913954,0.9035491413103138,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-51.0,4,1.0564805962571842,9.678477545118692,28.31486564674547,0.9716009663874347,0.8672583599435325,0.7520143475913954,0.8906186600774493,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 17 17
 17 17 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-52.0,4,1.0778491575071012,9.817064897614905,28.31486564674547,0.9912527374036573,0.8796767428425453,0.7520143475913954,0.9035491413103138,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 17 58 17 17 17 17 17 17]"
-53.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-54.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-55.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-56.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-57.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-58.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-59.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
-60.0,4,1.0873605860905484,9.87830709740712,28.31486564674547,1.0,0.8851644664543976,0.7520143475913954,0.9092947035114483,[17 26 50 58],"[17 17 17 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 26 26 26 26 26 17
 17 26 26 26 26 26 26 17 17 17 17 17 17 17 17 17 17 58 26 50 50 50 58 58
 58 17 50 50 17 17 58 50 58 58 58 17 58 17 17 26 58 17 17 17 17 17 17]"
