p,k,db,cp,sp,exemplars,labels
-8.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-9.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-10.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-11.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-12.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-13.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-14.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-15.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-16.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-17.8,6,0.0,0.0,19.796797234884938,[0 1 2 3 4 5],[0 1 2 3 4 5]
-18.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-19.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-20.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-21.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-22.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-23.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-24.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-25.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-26.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-27.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-28.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-29.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
-30.8,6,1.529434217668741,6.0377319759634105,19.796797234884938,[0 1 2 3 4 5],[2 5 0 3 4 1]
