avg,cen
320.8866666666667,342.36
321.8891666666667,353.59
345.3533333333334,399.96
308.9783333333333,357.64
301.02666666666664,338.17
289.87916666666666,298.66
294.8,299.65
311.7366666666666,332.43
327.23833333333334,367.36
336.3616666666666,369.93
346.1758333333334,369.05
362.1558333333333,408.31
354.65916666666675,365.95
362.8233333333333,415.0
365.9858333333334,430.53
347.47333333333336,371.06
335.5883333333333,340.49
331.9558333333333,365.32
317.5933333333333,339.54
282.64916666666664,269.58
272.7291666666667,284.93
275.9133333333333,291.69
282.675,296.97
268.77666666666664,250.6
