p,k,db,cp,sp,exemplars,labels
-41.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-42.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-43.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-44.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-45.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-46.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-47.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-48.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-49.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
-50.9,3,0.0,0.0,47.55060750014176,[0 1 2],[0 1 2]
