0,1,2,time,week
36.51,2.25,76.47,2019-12-16 00:00:00,1
37.18,1.76,76.47,2019-12-16 01:00:00,1
39.5,1.69,79.41,2019-12-16 02:00:00,1
38.96,1.73,79.41,2019-12-16 03:00:00,1
38.75,1.51,85.29,2019-12-16 04:00:00,1
40.64,1.48,85.29,2019-12-16 05:00:00,1
39.11,1.48,85.29,2019-12-16 06:00:00,1
37.94,1.3,88.24,2019-12-16 07:00:00,1
31.63,1.37,88.24,2019-12-16 08:00:00,1
37.94,1.48,82.35,2019-12-16 09:00:00,1
38.59,1.44,76.47,2019-12-16 10:00:00,1
38.25,1.55,73.53,2019-12-16 11:00:00,1
60.83,1.58,70.59,2019-12-16 12:00:00,1
41.85,1.2,70.59,2019-12-16 13:00:00,1
75.19,2.32,67.65,2019-12-16 14:00:00,1
70.18,11.06,67.65,2019-12-16 15:00:00,1
61.42,8.63,67.65,2019-12-16 16:00:00,1
62.47,3.77,67.65,2019-12-16 17:00:00,1
41.85,4.01,70.59,2019-12-16 18:00:00,1
41.19,3.73,70.59,2019-12-16 19:00:00,1
39.75,3.38,73.53,2019-12-16 20:00:00,1
41.07,3.52,76.47,2019-12-16 21:00:00,1
39.67,3.7,76.47,2019-12-16 22:00:00,1
39.75,3.98,76.47,2019-12-16 23:00:00,1
40.64,3.84,79.41,2019-12-17 00:00:00,2
44.02,3.73,79.41,2019-12-17 01:00:00,2
46.74,3.38,82.35,2019-12-17 02:00:00,2
42.69,3.06,79.41,2019-12-17 03:00:00,2
40.03,3.2,82.35,2019-12-17 04:00:00,2
40.63,2.92,82.35,2019-12-17 05:00:00,2
41.31,3.03,82.35,2019-12-17 06:00:00,2
42.58,2.54,82.35,2019-12-17 07:00:00,2
37.63,2.04,79.41,2019-12-17 08:00:00,2
39.15,2.57,76.47,2019-12-17 09:00:00,2
40.93,2.5,73.53,2019-12-17 10:00:00,2
39.16,2.5,70.59,2019-12-17 11:00:00,2
56.77,2.5,67.65,2019-12-17 12:00:00,2
45.81,5.81,67.65,2019-12-17 13:00:00,2
76.9,21.06,64.71,2019-12-17 14:00:00,2
49.26,19.86,64.71,2019-12-17 15:00:00,2
58.78,19.23,64.71,2019-12-17 16:00:00,2
44.41,34.23,67.65,2019-12-17 17:00:00,2
49.77,21.94,70.59,2019-12-17 18:00:00,2
45.99,1.8,70.59,2019-12-17 19:00:00,2
42.49,1.62,70.59,2019-12-17 20:00:00,2
42.49,1.34,70.59,2019-12-17 21:00:00,2
42.53,1.58,73.53,2019-12-17 22:00:00,2
42.77,1.58,73.53,2019-12-17 23:00:00,2
40.48,1.37,73.53,2019-12-18 00:00:00,3
40.43,1.34,73.53,2019-12-18 01:00:00,3
40.32,1.2,73.53,2019-12-18 02:00:00,3
41.1,1.2,70.59,2019-12-18 03:00:00,3
42.07,1.3,73.53,2019-12-18 04:00:00,3
