0,time,week
214.89,2019-08-17 00:00:00,6
214.89,2019-08-17 01:00:00,6
214.89,2019-08-17 02:00:00,6
214.89,2019-08-17 03:00:00,6
214.89,2019-08-17 04:00:00,6
214.89,2019-08-17 05:00:00,6
214.89,2019-08-17 06:00:00,6
214.89,2019-08-17 07:00:00,6
214.89,2019-08-17 08:00:00,6
214.89,2019-08-17 09:00:00,6
214.89,2019-08-17 10:00:00,6
214.89,2019-08-17 11:00:00,6
214.89,2019-08-17 12:00:00,6
214.89,2019-08-17 13:00:00,6
214.89,2019-08-17 14:00:00,6
214.89,2019-08-17 15:00:00,6
214.89,2019-08-17 16:00:00,6
214.89,2019-08-17 17:00:00,6
214.89,2019-08-17 18:00:00,6
214.89,2019-08-17 19:00:00,6
214.89,2019-08-17 20:00:00,6
214.89,2019-08-17 21:00:00,6
214.89,2019-08-17 22:00:00,6
214.89,2019-08-17 23:00:00,6
214.89,2019-08-18 00:00:00,7
214.89,2019-08-18 01:00:00,7
214.89,2019-08-18 02:00:00,7
214.89,2019-08-18 03:00:00,7
214.89,2019-08-18 04:00:00,7
214.89,2019-08-18 05:00:00,7
214.89,2019-08-18 06:00:00,7
214.89,2019-08-18 07:00:00,7
214.89,2019-08-18 08:00:00,7
214.89,2019-08-18 09:00:00,7
214.89,2019-08-18 10:00:00,7
214.89,2019-08-18 11:00:00,7
214.89,2019-08-18 12:00:00,7
214.89,2019-08-18 13:00:00,7
214.89,2019-08-18 14:00:00,7
214.89,2019-08-18 15:00:00,7
214.89,2019-08-18 16:00:00,7
214.89,2019-08-18 17:00:00,7
214.89,2019-08-18 18:00:00,7
214.89,2019-08-18 19:00:00,7
214.89,2019-08-18 20:00:00,7
214.89,2019-08-18 21:00:00,7
214.89,2019-08-18 22:00:00,7
214.89,2019-08-18 23:00:00,7
261.69,2019-09-21 00:00:00,6
241.16,2019-09-21 01:00:00,6
228.1,2019-09-21 02:00:00,6
219.54,2019-09-21 03:00:00,6
216.94,2019-09-21 04:00:00,6
200.95,2019-09-21 05:00:00,6
197.61,2019-09-21 06:00:00,6
194.86,2019-09-21 07:00:00,6
216.23,2019-09-21 08:00:00,6
263.24,2019-09-21 09:00:00,6
270.81,2019-09-21 10:00:00,6
300.07,2019-09-21 11:00:00,6
331.83,2019-09-21 12:00:00,6
335.92,2019-09-21 13:00:00,6
349.68,2019-09-21 14:00:00,6
326.23,2019-09-21 15:00:00,6
344.51,2019-09-21 16:00:00,6
342.78,2019-09-21 17:00:00,6
331.76,2019-09-21 18:00:00,6
320.14,2019-09-21 19:00:00,6
312.61,2019-09-21 20:00:00,6
279.82,2019-09-21 21:00:00,6
274.79,2019-09-21 22:00:00,6
259.65,2019-09-21 23:00:00,6
287.39,2019-10-05 00:00:00,6
271.83,2019-10-05 01:00:00,6
262.78,2019-10-05 02:00:00,6
246.87,2019-10-05 03:00:00,6
228.38,2019-10-05 04:00:00,6
220.28,2019-10-05 05:00:00,6
217.22,2019-10-05 06:00:00,6
208.31,2019-10-05 07:00:00,6
242.61,2019-10-05 08:00:00,6
274.19,2019-10-05 09:00:00,6
314.58,2019-10-05 10:00:00,6
333.49,2019-10-05 11:00:00,6
306.2,2019-10-05 12:00:00,6
310.88,2019-10-05 13:00:00,6
314.19,2019-10-05 14:00:00,6
325.77,2019-10-05 15:00:00,6
307.46,2019-10-05 16:00:00,6
326.8,2019-10-05 17:00:00,6
291.73,2019-10-05 18:00:00,6
283.94,2019-10-05 19:00:00,6
250.77,2019-10-05 20:00:00,6
250.56,2019-10-05 21:00:00,6
262.32,2019-10-05 22:00:00,6
252.11,2019-10-05 23:00:00,6
189.23,2019-10-12 00:00:00,6
191.37,2019-10-12 01:00:00,6
180.7,2019-10-12 02:00:00,6
168.06,2019-10-12 03:00:00,6
165.99,2019-10-12 04:00:00,6
158.03,2019-10-12 05:00:00,6
156.83,2019-10-12 06:00:00,6
169.58,2019-10-12 07:00:00,6
189.93,2019-10-12 08:00:00,6
216.34,2019-10-12 09:00:00,6
253.13,2019-10-12 10:00:00,6
275.53,2019-10-12 11:00:00,6
297.46,2019-10-12 12:00:00,6
309.4,2019-10-12 13:00:00,6
303.8,2019-10-12 14:00:00,6
298.94,2019-10-12 15:00:00,6
316.51,2019-10-12 16:00:00,6
301.09,2019-10-12 17:00:00,6
291.65,2019-10-12 18:00:00,6
272.01,2019-10-12 19:00:00,6
262.32,2019-10-12 20:00:00,6
241.44,2019-10-12 21:00:00,6
227.92,2019-10-12 22:00:00,6
214.93,2019-10-12 23:00:00,6
201.8,2019-10-19 00:00:00,6
179.12,2019-10-19 01:00:00,6
171.76,2019-10-19 02:00:00,6
164.72,2019-10-19 03:00:00,6
154.01,2019-10-19 04:00:00,6
148.49,2019-10-19 05:00:00,6
129.93,2019-10-19 06:00:00,6
128.7,2019-10-19 07:00:00,6
141.94,2019-10-19 08:00:00,6
193.94,2019-10-19 09:00:00,6
213.06,2019-10-19 10:00:00,6
