0,time,week
312.96,2019-08-20 00:00:00,2
322.18,2019-08-20 01:00:00,2
283.7,2019-08-20 02:00:00,2
289.08,2019-08-20 03:00:00,2
293.35,2019-08-20 04:00:00,2
280.81,2019-08-20 05:00:00,2
271.13,2019-08-20 06:00:00,2
274.61,2019-08-20 07:00:00,2
325.42,2019-08-20 08:00:00,2
355.6,2019-08-20 09:00:00,2
373.91,2019-08-20 10:00:00,2
387.22,2019-08-20 11:00:00,2
440.46,2019-08-20 12:00:00,2
445.85,2019-08-20 13:00:00,2
470.99,2019-08-20 14:00:00,2
456.69,2019-08-20 15:00:00,2
459.19,2019-08-20 16:00:00,2
445.81,2019-08-20 17:00:00,2
423.7,2019-08-20 18:00:00,2
404.72,2019-08-20 19:00:00,2
373.77,2019-08-20 20:00:00,2
351.65,2019-08-20 21:00:00,2
347.75,2019-08-20 22:00:00,2
355.07,2019-08-20 23:00:00,2
448.45,2019-09-09 00:00:00,1
438.1,2019-09-09 01:00:00,1
433.73,2019-09-09 02:00:00,1
383.56,2019-09-09 03:00:00,1
364.75,2019-09-09 04:00:00,1
371.73,2019-09-09 05:00:00,1
382.43,2019-09-09 06:00:00,1
391.44,2019-09-09 07:00:00,1
461.16,2019-09-09 08:00:00,1
511.97,2019-09-09 09:00:00,1
508.45,2019-09-09 10:00:00,1
467.78,2019-09-09 11:00:00,1
464.37,2019-09-09 12:00:00,1
470.63,2019-09-09 13:00:00,1
444.72,2019-09-09 14:00:00,1
442.64,2019-09-09 15:00:00,1
434.37,2019-09-09 16:00:00,1
429.61,2019-09-09 17:00:00,1
446.09,2019-09-09 18:00:00,1
438.7,2019-09-09 19:00:00,1
438.17,2019-09-09 20:00:00,1
438.17,2019-09-09 21:00:00,1
438.17,2019-09-09 22:00:00,1
438.17,2019-09-09 23:00:00,1
438.17,2019-09-10 00:00:00,2
438.17,2019-09-10 01:00:00,2
438.17,2019-09-10 02:00:00,2
438.17,2019-09-10 03:00:00,2
438.17,2019-09-10 04:00:00,2
438.17,2019-09-10 05:00:00,2
438.17,2019-09-10 06:00:00,2
438.17,2019-09-10 07:00:00,2
438.17,2019-09-10 08:00:00,2
438.17,2019-09-10 09:00:00,2
438.17,2019-09-10 10:00:00,2
438.17,2019-09-10 11:00:00,2
438.17,2019-09-10 12:00:00,2
438.17,2019-09-10 13:00:00,2
438.17,2019-09-10 14:00:00,2
438.17,2019-09-10 15:00:00,2
438.17,2019-09-10 16:00:00,2
438.17,2019-09-10 17:00:00,2
438.17,2019-09-10 18:00:00,2
438.17,2019-09-10 19:00:00,2
438.17,2019-09-10 20:00:00,2
438.17,2019-09-10 21:00:00,2
438.17,2019-09-10 22:00:00,2
438.17,2019-09-10 23:00:00,2
438.17,2019-09-11 00:00:00,3
438.17,2019-09-11 01:00:00,3
438.17,2019-09-11 02:00:00,3
438.17,2019-09-11 03:00:00,3
438.17,2019-09-11 04:00:00,3
438.17,2019-09-11 05:00:00,3
438.17,2019-09-11 06:00:00,3
438.17,2019-09-11 07:00:00,3
438.17,2019-09-11 08:00:00,3
438.17,2019-09-11 09:00:00,3
438.17,2019-09-11 10:00:00,3
438.17,2019-09-11 11:00:00,3
438.17,2019-09-11 12:00:00,3
438.17,2019-09-11 13:00:00,3
438.17,2019-09-11 14:00:00,3
438.17,2019-09-11 15:00:00,3
438.17,2019-09-11 16:00:00,3
438.17,2019-09-11 17:00:00,3
438.17,2019-09-11 18:00:00,3
438.17,2019-09-11 19:00:00,3
438.17,2019-09-11 20:00:00,3
438.17,2019-09-11 21:00:00,3
438.17,2019-09-11 22:00:00,3
438.17,2019-09-11 23:00:00,3
438.17,2019-09-12 00:00:00,4
438.17,2019-09-12 01:00:00,4
438.17,2019-09-12 02:00:00,4
438.17,2019-09-12 03:00:00,4
438.17,2019-09-12 04:00:00,4
438.17,2019-09-12 05:00:00,4
438.17,2019-09-12 06:00:00,4
438.17,2019-09-12 07:00:00,4
438.17,2019-09-12 08:00:00,4
438.17,2019-09-12 09:00:00,4
438.17,2019-09-12 10:00:00,4
438.17,2019-09-12 11:00:00,4
438.17,2019-09-12 12:00:00,4
438.17,2019-09-12 13:00:00,4
438.17,2019-09-12 14:00:00,4
438.17,2019-09-12 15:00:00,4
438.17,2019-09-12 16:00:00,4
438.17,2019-09-12 17:00:00,4
438.17,2019-09-12 18:00:00,4
438.17,2019-09-12 19:00:00,4
438.17,2019-09-12 20:00:00,4
438.17,2019-09-12 21:00:00,4
438.17,2019-09-12 22:00:00,4
438.17,2019-09-12 23:00:00,4
438.17,2019-09-13 00:00:00,5
438.17,2019-09-13 01:00:00,5
438.17,2019-09-13 02:00:00,5
438.17,2019-09-13 03:00:00,5
438.17,2019-09-13 04:00:00,5
438.17,2019-09-13 05:00:00,5
438.17,2019-09-13 06:00:00,5
438.17,2019-09-13 07:00:00,5
438.17,2019-09-13 08:00:00,5
438.17,2019-09-13 09:00:00,5
438.17,2019-09-13 10:00:00,5
438.17,2019-09-13 11:00:00,5
438.17,2019-09-13 12:00:00,5
438.17,2019-09-13 13:00:00,5
438.17,2019-09-13 14:00:00,5
438.17,2019-09-13 15:00:00,5
438.17,2019-09-13 16:00:00,5
438.17,2019-09-13 17:00:00,5
438.17,2019-09-13 18:00:00,5
438.17,2019-09-13 19:00:00,5
438.17,2019-09-13 20:00:00,5
438.17,2019-09-13 21:00:00,5
438.17,2019-09-13 22:00:00,5
438.17,2019-09-13 23:00:00,5
438.17,2019-09-16 00:00:00,1
438.17,2019-09-16 01:00:00,1
438.17,2019-09-16 02:00:00,1
438.17,2019-09-16 03:00:00,1
438.17,2019-09-16 04:00:00,1
438.17,2019-09-16 05:00:00,1
438.17,2019-09-16 06:00:00,1
438.17,2019-09-16 07:00:00,1
438.17,2019-09-16 08:00:00,1
438.17,2019-09-16 09:00:00,1
438.17,2019-09-16 10:00:00,1
456.58,2019-09-16 11:00:00,1
495.18,2019-09-16 12:00:00,1
488.27,2019-09-16 13:00:00,1
493.98,2019-09-16 14:00:00,1
494.86,2019-09-16 15:00:00,1
491.62,2019-09-16 16:00:00,1
496.87,2019-09-16 17:00:00,1
488.24,2019-09-16 18:00:00,1
405.6,2019-09-16 19:00:00,1
394.44,2019-09-16 20:00:00,1
408.87,2019-09-16 21:00:00,1
406.76,2019-09-16 22:00:00,1
385.77,2019-09-16 23:00:00,1
379.75,2019-09-17 00:00:00,2
372.71,2019-09-17 01:00:00,2
370.99,2019-09-17 02:00:00,2
359.01,2019-09-17 03:00:00,2
364.12,2019-09-17 04:00:00,2
374.93,2019-09-17 05:00:00,2
365.25,2019-09-17 06:00:00,2
361.73,2019-09-17 07:00:00,2
385.32,2019-09-17 08:00:00,2
394.08,2019-09-17 09:00:00,2
409.93,2019-09-17 10:00:00,2
440.42,2019-09-17 11:00:00,2
464.08,2019-09-17 12:00:00,2
474.65,2019-09-17 13:00:00,2
468.66,2019-09-17 14:00:00,2
454.79,2019-09-17 15:00:00,2
464.05,2019-09-17 16:00:00,2
454.96,2019-09-17 17:00:00,2
452.08,2019-09-17 18:00:00,2
423.42,2019-09-17 19:00:00,2
415.53,2019-09-17 20:00:00,2
410.14,2019-09-17 21:00:00,2
396.73,2019-09-17 22:00:00,2
396.65,2019-09-17 23:00:00,2
390.88,2019-09-18 00:00:00,3
384.65,2019-09-18 01:00:00,3
385.42,2019-09-18 02:00:00,3
370.53,2019-09-18 03:00:00,3
358.56,2019-09-18 04:00:00,3
354.54,2019-09-18 05:00:00,3
354.19,2019-09-18 06:00:00,3
336.41,2019-09-18 07:00:00,3
372.39,2019-09-18 08:00:00,3
404.61,2019-09-18 09:00:00,3
433.03,2019-09-18 10:00:00,3
398.59,2019-09-18 11:00:00,3
347.92,2019-09-18 12:00:00,3
372.5,2019-09-18 13:00:00,3
361.37,2019-09-18 14:00:00,3
377.01,2019-09-18 15:00:00,3
355.74,2019-09-18 16:00:00,3
356.97,2019-09-18 17:00:00,3
350.7,2019-09-18 18:00:00,3
348.24,2019-09-18 19:00:00,3
374.79,2019-09-18 20:00:00,3
399.51,2019-09-18 21:00:00,3
381.55,2019-09-18 22:00:00,3
314.68,2019-09-18 23:00:00,3
301.83,2019-09-19 00:00:00,4
306.87,2019-09-19 01:00:00,4
315.74,2019-09-19 02:00:00,4
