p,k,db,cp,sp,gyh_db,gyh_cp,gyh_sp,zb,exemplars,labels
-13.6,6,0.5875616430332942,1.5744964172818936,16.11387757946741,0.2159859480636571,0.14212670908950006,0.20454358794100372,0.19466054828945448,[ 3  6 10 17 21 30],"[ 6  6  6  3  6  6  6 10 10 10 10 10 10 10  6 10 10 17  6  6  6 21  6 10
 10 10 10 10 10 10 30 10  6  6  6  6]"
-14.6,5,0.6264063359742489,1.9424388420745202,17.060665576106494,0.26801436234020953,0.21713437423138945,0.08410931820237633,0.20931810427854622,[ 3  6 10 17 21],"[ 6  6  6  3  6  6  6 10 10 10 10 10 10 10  6 10 10 17  6  6  6 21  6 10
 10 10 10 10 10 10 10 10  6  6  6  6]"
-15.6,4,0.6216569260108811,2.5294638356456707,17.721886780439217,0.26165302310864724,0.3368035702272597,0.0,0.21502740411113855,[ 2  3 10 21],"[ 2  2  2  3  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10 10  2  2  2]"
-16.6,4,0.6200666614213082,2.5339998321549078,17.721886780439217,0.25952302957255735,0.33772826519126503,0.0,0.21419358108409492,[ 2  3 10 21],"[ 2  2  2  3  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10  2  2  2  2]"
-17.6,4,0.6200666614213082,2.5339998321549078,17.721886780439217,0.25952302957255735,0.33772826519126503,0.0,0.21419358108409492,[ 2  3 10 21],"[ 2  2  2  3  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10  2  2  2  2]"
-18.6,4,0.6200666614213082,2.5339998321549078,17.721886780439217,0.25952302957255735,0.33772826519126503,0.0,0.21419358108409492,[ 2  3 10 21],"[ 2  2  2  3  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10  2  2  2  2]"
-19.6,3,0.745556540941848,3.5406731409422165,17.16579583396896,0.4276036332507398,0.5429457377220636,0.07073643443320639,0.36722235966418737,[ 2 10 21],"[ 2  2  2 10  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10  2  2  2  2]"
-20.6,3,0.7436511746158252,3.525224681508442,17.16579583396896,0.425051593807164,0.5397964600250985,0.07073643443320639,0.36515902051815824,[ 2 10 21],"[ 2  2  2 10  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10 10  2  2  2]"
-21.6,3,0.7436511746158252,3.525224681508442,17.16579583396896,0.425051593807164,0.5397964600250985,0.07073643443320639,0.36515902051815824,[ 2 10 21],"[ 2  2  2 10  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10 10  2  2  2]"
-22.6,3,0.7436511746158252,3.525224681508442,17.16579583396896,0.425051593807164,0.5397964600250985,0.07073643443320639,0.36515902051815824,[ 2 10 21],"[ 2  2  2 10  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10 10  2  2  2]"
-23.6,3,0.7436511746158252,3.525224681508442,17.16579583396896,0.425051593807164,0.5397964600250985,0.07073643443320639,0.36515902051815824,[ 2 10 21],"[ 2  2  2 10  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10 10  2  2  2]"
-24.6,3,0.745556540941848,3.5406731409422165,17.16579583396896,0.4276036332507398,0.5429457377220636,0.07073643443320639,0.36722235966418737,[ 2 10 21],"[ 2  2  2 10  2  2  2 10 10 10 10 10 10 10  2 10 10 10  2  2  2 21  2 10
  2 10 10 10 10 10 10 10  2  2  2  2]"
-25.6,3,0.814612188476834,3.547674776173119,17.5649057619418,0.5200964698795969,0.544373070574863,0.019968455866228182,0.40113361655007124,[ 2 11 21],"[ 2  2  2 11  2  2  2 11 11 11 11 11 11 11 11 11 11 11  2  2  2 21  2 11
  2 11 11 11 11 11 11 11 11  2  2  2]"
-26.6,2,1.1729107360689042,5.782706047928835,9.860436723957351,1.0,1.0,1.0,1.0,[ 2 11],"[ 2  2  2 11  2  2  2 11 11 11 11 11 11 11 11  2 11 11  2  2  2 11  2 11
  2 11 11 11 11 11 11 11 11  2  2  2]"
