0,time,week
27.54,2019-01-05 00:00:00,6
26.07,2019-01-05 01:00:00,6
25.66,2019-01-05 02:00:00,6
26.12,2019-01-05 03:00:00,6
22.04,2019-01-05 04:00:00,6
22.4,2019-01-05 05:00:00,6
21.22,2019-01-05 06:00:00,6
23.38,2019-01-05 07:00:00,6
22.31,2019-01-05 08:00:00,6
10.02,2019-01-05 09:00:00,6
11.83,2019-01-05 10:00:00,6
9.67,2019-01-05 11:00:00,6
8.52,2019-01-05 12:00:00,6
10.16,2019-01-05 13:00:00,6
9.94,2019-01-05 14:00:00,6
9.44,2019-01-05 15:00:00,6
7.94,2019-01-05 16:00:00,6
9.07,2019-01-05 17:00:00,6
12.69,2019-01-05 18:00:00,6
12.68,2019-01-05 19:00:00,6
13.11,2019-01-05 20:00:00,6
12.46,2019-01-05 21:00:00,6
16.76,2019-01-05 22:00:00,6
18.74,2019-01-05 23:00:00,6
25.61,2019-01-12 00:00:00,6
25.98,2019-01-12 01:00:00,6
27.06,2019-01-12 02:00:00,6
27.31,2019-01-12 03:00:00,6
25.95,2019-01-12 04:00:00,6
24.97,2019-01-12 05:00:00,6
25.12,2019-01-12 06:00:00,6
22.67,2019-01-12 07:00:00,6
14.58,2019-01-12 08:00:00,6
13.65,2019-01-12 09:00:00,6
12.82,2019-01-12 10:00:00,6
13.22,2019-01-12 11:00:00,6
11.35,2019-01-12 12:00:00,6
10.13,2019-01-12 13:00:00,6
8.44,2019-01-12 14:00:00,6
10.72,2019-01-12 15:00:00,6
10.98,2019-01-12 16:00:00,6
8.64,2019-01-12 17:00:00,6
9.13,2019-01-12 18:00:00,6
14.53,2019-01-12 19:00:00,6
11.07,2019-01-12 20:00:00,6
18.6,2019-01-12 21:00:00,6
21.09,2019-01-12 22:00:00,6
21.99,2019-01-12 23:00:00,6
25.04,2019-01-19 00:00:00,6
27.59,2019-01-19 01:00:00,6
25.02,2019-01-19 02:00:00,6
23.24,2019-01-19 03:00:00,6
23.41,2019-01-19 04:00:00,6
25.64,2019-01-19 05:00:00,6
25.43,2019-01-19 06:00:00,6
22.73,2019-01-19 07:00:00,6
30.63,2019-01-19 08:00:00,6
34.43,2019-01-19 09:00:00,6
40.43,2019-01-19 10:00:00,6
39.53,2019-01-19 11:00:00,6
41.3,2019-01-19 12:00:00,6
19.05,2019-01-19 13:00:00,6
11.1,2019-01-19 14:00:00,6
12.08,2019-01-19 15:00:00,6
10.96,2019-01-19 16:00:00,6
9.24,2019-01-19 17:00:00,6
10.25,2019-01-19 18:00:00,6
12.35,2019-01-19 19:00:00,6
12.03,2019-01-19 20:00:00,6
20.42,2019-01-19 21:00:00,6
24.9,2019-01-19 22:00:00,6
22.89,2019-01-19 23:00:00,6
23.47,2019-01-26 00:00:00,6
28.75,2019-01-26 01:00:00,6
28.77,2019-01-26 02:00:00,6
27.86,2019-01-26 03:00:00,6
28.02,2019-01-26 04:00:00,6
27.25,2019-01-26 05:00:00,6
27.23,2019-01-26 06:00:00,6
26.29,2019-01-26 07:00:00,6
17.31,2019-01-26 08:00:00,6
13.38,2019-01-26 09:00:00,6
13.34,2019-01-26 10:00:00,6
16.84,2019-01-26 11:00:00,6
19.77,2019-01-26 12:00:00,6
13.86,2019-01-26 13:00:00,6
10.78,2019-01-26 14:00:00,6
11.95,2019-01-26 15:00:00,6
10.74,2019-01-26 16:00:00,6
11.63,2019-01-26 17:00:00,6
11.58,2019-01-26 18:00:00,6
16.37,2019-01-26 19:00:00,6
18.41,2019-01-26 20:00:00,6
18.76,2019-01-26 21:00:00,6
