p,k,db,cp,sp,gyh_db,gyh_cp,gyh_sp,zb,exemplars,labels
-4.0,10,0.07711923205742907,0.11032112846821888,16.994770634437213,0.03421191673016831,0.07730622368916344,0.34603960011555296,0.12294241431626325,[  7  33  62  63  71  72  93 121 127 128],"[121 121 121 121 121 121 121   7 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121  33 121 121
   7 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121  62  63 121 121 121 121 121 121 121  71
  72 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121  93 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 127 128 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121]"
-5.0,10,0.4933780813270133,0.29846563048974206,16.92222325537855,0.21887419499043045,0.20914625434432627,0.34889171819135967,0.2489465906291367,[  7  33  36  63  71  72  93 121 127 128],"[121 121 121 121 121 121 121  36 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121  33 121 121
   7 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121 121  63 121 121 121 121 121 121 121  71
  72 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121  93 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 127 128 121 121 121 121 121 121 121 121 121 121 121 121 121 121 121
 121 121 121 121 121 121 121 121]"
-6.0,10,0.4944919979536076,0.3073251378420181,16.93121445157076,0.21936835477206595,0.21535444915397367,0.3485382394921197,0.2506573495475563,[  7  33  36  63  71  72  93 125 127 128],"[125 125 125 125 125 125 125  36 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125  33 125 125
   7 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125  63 125 125 125 125 125 125 125  71
  72 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125  93 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 127 128 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125]"
-7.0,8,0.08199833721678537,0.15518817471812776,19.021489598826154,0.036376403265839824,0.10874627476393738,0.2663614385069867,0.11196512995065093,[ 33  36  63  71  72  93 125 128],"[125 125 125 125 125 125 125  36 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125  33 125 125
  36 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125  63 125 125 125 125 125 125 125  71
  72 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125  93 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 128 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125]"
-8.0,8,0.08199833721678537,0.15518817471812776,19.021489598826154,0.036376403265839824,0.10874627476393738,0.2663614385069867,0.11196512995065093,[ 33  36  63  71  72  93 125 128],"[125 125 125 125 125 125 125  36 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125  33 125 125
  36 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125  63 125 125 125 125 125 125 125  71
  72 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125  93 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 128 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
 125 125 125 125 125 125 125 125]"
-10.0,8,0.12366922533204638,0.22304454657318676,19.02691335890083,0.054862595571409274,0.15629582337894654,0.26614820951996404,0.13304230601043227,[ 33  36  63  71  72  93 109 128],"[109 109 109 109 109 109 109  36 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109  33 109 109
 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109 109  63 109 109 109 109 109 109 109  71
  72 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109  93 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 128 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109]"
-11.0,7,0.10454321288672419,0.1816063264616898,20.547295638801344,0.046377843743586944,0.12725848159592612,0.2063761014313432,0.1065975676286108,[ 33  63  71  72  93 108 128],"[108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108
 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108  33 108 108
 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108
 108 108 108 108 108 108 108 108 108  63 108 108 108 108 108 108 108  71
  72 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108
 108 108 108  93 108 108 108 108 108 108 108 108 108 108 108 108 108 108
 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108
 108 108 128 108 108 108 108 108 108 108 108 108 108 108 108 108 108 108
 108 108 108 108 108 108 108 108]"
-12.0,7,0.05094174913852163,0.08811291641055838,20.6590100087431,0.0225989656940358,0.06174408221269675,0.2019841774504562,0.07723154776280614,[ 33  63  71  72  93 109 128],"[109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109  33 109 109
 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109 109  63 109 109 109 109 109 109 109  71
  72 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109  93 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 128 109 109 109 109 109 109 109 109 109 109 109 109 109 109 109
 109 109 109 109 109 109 109 109]"
-13.0,7,0.11237479687055082,0.1980299126087194,20.687463874717782,0.04985211977009706,0.13876711500177707,0.20086554592267414,0.10983422511616134,[ 33  63  71  72  93 126 128],"[126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126  33 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126  63 126 126 126 126 126 126 126  71
  72 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126  93 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 128 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126]"
-14.0,5,0.11631552703924322,0.3030360005991011,22.772660639458227,0.05160032094885062,0.2123488870487058,0.11888839579680971,0.10860948118580419,[ 63  71  72 126 128],"[126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126  63 126 126 126 126 126 126 126  71
  72 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 128 126 126 126 126 126 126 126 126 126 126 126 126 126 126 126
 126 126 126 126 126 126 126 126]"
