avg,cen
116.22333333333334,115.88
118.76333333333332,119.44
118.16000000000001,121.12
121.16666666666667,123.76
127.02,128.46
127.60333333333335,128.36
123.47333333333334,121.33
123.77,125.49
122.24000000000001,123.83
116.05666666666666,119.3
113.75999999999999,115.25
117.38333333333333,113.08
120.81666666666666,122.12
118.83999999999999,120.71
123.08333333333333,124.71
131.6966666666667,138.48
138.58333333333334,143.75
140.32333333333335,142.4
146.09,141.82
143.04333333333332,142.06
139.05666666666667,140.02
136.91333333333333,134.07
128.91666666666666,125.37
121.06333333333333,121.45
