0,time,week
53.7,2019-01-01 00:00:00,2
54.05,2019-01-01 01:00:00,2
54.85,2019-01-01 02:00:00,2
55.87,2019-01-01 03:00:00,2
56.53,2019-01-01 04:00:00,2
59.78,2019-01-01 05:00:00,2
63.2,2019-01-01 06:00:00,2
63.06,2019-01-01 07:00:00,2
60.97,2019-01-01 08:00:00,2
64.56,2019-01-01 09:00:00,2
57.12,2019-01-01 10:00:00,2
52.52,2019-01-01 11:00:00,2
56.15,2019-01-01 12:00:00,2
51.1,2019-01-01 13:00:00,2
57.22,2019-01-01 14:00:00,2
56.5,2019-01-01 15:00:00,2
63.78,2019-01-01 16:00:00,2
66.94,2019-01-01 17:00:00,2
67.3,2019-01-01 18:00:00,2
68.85,2019-01-01 19:00:00,2
71.08,2019-01-01 20:00:00,2
65.46,2019-01-01 21:00:00,2
59.61,2019-01-01 22:00:00,2
53.48,2019-01-01 23:00:00,2
52.5,2019-01-02 00:00:00,3
52.0,2019-01-02 01:00:00,3
55.51,2019-01-02 02:00:00,3
55.1,2019-01-02 03:00:00,3
56.98,2019-01-02 04:00:00,3
57.21,2019-01-02 05:00:00,3
61.03,2019-01-02 06:00:00,3
63.56,2019-01-02 07:00:00,3
65.73,2019-01-02 08:00:00,3
60.16,2019-01-02 09:00:00,3
52.8,2019-01-02 10:00:00,3
56.44,2019-01-02 11:00:00,3
64.48,2019-01-02 12:00:00,3
52.68,2019-01-02 13:00:00,3
57.37,2019-01-02 14:00:00,3
63.21,2019-01-02 15:00:00,3
68.78,2019-01-02 16:00:00,3
69.63,2019-01-02 17:00:00,3
71.23,2019-01-02 18:00:00,3
75.65,2019-01-02 19:00:00,3
75.16,2019-01-02 20:00:00,3
75.05,2019-01-02 21:00:00,3
63.91,2019-01-02 22:00:00,3
57.35,2019-01-02 23:00:00,3
59.81,2019-01-03 00:00:00,4
59.65,2019-01-03 01:00:00,4
57.5,2019-01-03 02:00:00,4
58.68,2019-01-03 03:00:00,4
59.43,2019-01-03 04:00:00,4
63.28,2019-01-03 05:00:00,4
65.96,2019-01-03 06:00:00,4
65.41,2019-01-03 07:00:00,4
68.21,2019-01-03 08:00:00,4
63.33,2019-01-03 09:00:00,4
58.13,2019-01-03 10:00:00,4
60.91,2019-01-03 11:00:00,4
55.45,2019-01-03 12:00:00,4
60.25,2019-01-03 13:00:00,4
57.68,2019-01-03 14:00:00,4
61.49,2019-01-03 15:00:00,4
74.89,2019-01-03 16:00:00,4
81.54,2019-01-03 17:00:00,4
74.88,2019-01-03 18:00:00,4
72.48,2019-01-03 19:00:00,4
72.2,2019-01-03 20:00:00,4
72.01,2019-01-03 21:00:00,4
64.53,2019-01-03 22:00:00,4
58.58,2019-01-03 23:00:00,4
