campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Downtown,309,Beus Center for Law and Society,2019,1,1,0,227.6,163.62676056338032,94.11764705882355,227.6,163.62676056338032,94.11764705882355
Downtown,309,Beus Center for Law and Society,2019,1,1,1,227.18,154.2957746478873,97.05882352941177,227.18,154.2957746478873,97.05882352941177
Downtown,309,Beus Center for Law and Society,2019,1,1,2,227.05,149.8943661971831,100.0,227.05,149.8943661971831,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,3,227.23,163.66197183098592,100.0,227.23,163.66197183098592,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,4,226.23,235.17605633802825,97.05882352941177,226.23,235.17605633802825,97.05882352941177
Downtown,309,Beus Center for Law and Society,2019,1,1,5,228.77,162.57042253521132,102.94117647058823,228.77,162.57042253521132,102.94117647058823
Downtown,309,Beus Center for Law and Society,2019,1,1,6,232.82,149.8591549295775,102.94117647058823,232.82,149.8591549295775,102.94117647058823
Downtown,309,Beus Center for Law and Society,2019,1,1,7,240.4,157.85211267605638,114.7058823529412,240.4,157.85211267605638,114.7058823529412
Downtown,309,Beus Center for Law and Society,2019,1,1,8,245.93,212.39436619718316,120.58823529411764,245.93,212.39436619718316,120.58823529411764
Downtown,309,Beus Center for Law and Society,2019,1,1,9,246.28,168.2394366197183,123.52941176470587,246.28,168.2394366197183,123.52941176470587
Downtown,309,Beus Center for Law and Society,2019,1,1,10,244.98,182.11267605633805,114.7058823529412,244.98,182.11267605633805,114.7058823529412
Downtown,309,Beus Center for Law and Society,2019,1,1,11,249.53,183.0281690140845,108.82352941176471,249.53,183.0281690140845,108.82352941176471
Downtown,309,Beus Center for Law and Society,2019,1,1,12,246.3,198.4154929577465,100.0,246.3,198.4154929577465,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,13,244.0,204.08450704225356,88.23529411764706,244.0,204.08450704225356,88.23529411764706
Downtown,309,Beus Center for Law and Society,2019,1,1,14,246.32,131.69014084507043,91.1764705882353,246.32,131.69014084507043,91.1764705882353
Downtown,309,Beus Center for Law and Society,2019,1,1,15,244.77,174.78873239436618,82.3529411764706,244.77,174.78873239436618,82.3529411764706
Downtown,309,Beus Center for Law and Society,2019,1,1,16,246.05,177.3943661971831,82.3529411764706,246.05,177.3943661971831,82.3529411764706
Downtown,309,Beus Center for Law and Society,2019,1,1,17,242.13,181.65492957746483,94.11764705882355,242.13,181.65492957746483,94.11764705882355
Downtown,309,Beus Center for Law and Society,2019,1,1,18,239.7,157.5,100.0,239.7,157.5,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,19,246.03,134.2957746478873,100.0,246.03,134.2957746478873,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,20,253.27,102.35915492957749,100.0,253.27,102.35915492957749,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,21,255.05,152.64084507042256,105.88235294117649,255.05,152.64084507042256,105.88235294117649
Downtown,309,Beus Center for Law and Society,2019,1,1,22,241.57,185.0,100.0,241.57,185.0,100.0
Downtown,309,Beus Center for Law and Society,2019,1,1,23,234.03,202.92253521126761,105.88235294117649,234.03,202.92253521126761,105.88235294117649
Downtown,309,Beus Center for Law and Society,2019,1,2,0,234.1,149.19014084507043,114.7058823529412,234.1,149.19014084507043,114.7058823529412
Downtown,309,Beus Center for Law and Society,2019,1,2,1,231.98,136.51408450704227,114.7058823529412,231.98,136.51408450704227,114.7058823529412
Downtown,309,Beus Center for Law and Society,2019,1,2,2,230.68,134.92957746478874,108.82352941176471,230.68,134.92957746478874,108.82352941176471
Downtown,309,Beus Center for Law and Society,2019,1,2,3,231.35,125.56338028169014,117.64705882352942,231.35,125.56338028169014,117.64705882352942
Downtown,309,Beus Center for Law and Society,2019,1,2,4,233.15,113.48591549295773,120.58823529411764,233.15,113.48591549295773,120.58823529411764
Downtown,309,Beus Center for Law and Society,2019,1,2,5,234.63,115.63380281690144,123.52941176470587,234.63,115.63380281690144,123.52941176470587
Downtown,309,Beus Center for Law and Society,2019,1,2,6,243.88,116.0211267605634,123.52941176470587,243.88,116.0211267605634,123.52941176470587
Downtown,309,Beus Center for Law and Society,2019,1,2,7,262.62,118.8380281690141,129.41176470588235,262.62,118.8380281690141,129.41176470588235
Downtown,309,Beus Center for Law and Society,2019,1,2,8,290.95,115.56338028169016,135.29411764705884,290.95,115.56338028169016,135.29411764705884
Downtown,309,Beus Center for Law and Society,2019,1,2,9,298.35,127.00704225352112,129.41176470588235,298.35,127.00704225352112,129.41176470588235
Downtown,309,Beus Center for Law and Society,2019,1,2,10,298.7,144.43661971830988,117.64705882352942,298.7,144.43661971830988,117.64705882352942
Downtown,309,Beus Center for Law and Society,2019,1,2,11,300.7,160.35211267605638,100.0,300.7,160.35211267605638,100.0
Downtown,309,Beus Center for Law and Society,2019,1,2,12,298.43,185.31690140845075,94.11764705882355,298.43,185.31690140845075,94.11764705882355
Downtown,309,Beus Center for Law and Society,2019,1,2,13,303.72,249.89436619718307,82.3529411764706,303.72,249.89436619718307,82.3529411764706
