campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
Downtown,304,Post Office,2019,1,1,0,55.93,28.76760563380282,55.93,28.76760563380282
Downtown,304,Post Office,2019,1,1,1,56.17,27.570422535211268,56.17,27.570422535211268
Downtown,304,Post Office,2019,1,1,2,55.96,27.288732394366196,55.96,27.288732394366196
Downtown,304,Post Office,2019,1,1,3,56.9,28.45070422535212,56.9,28.45070422535212
Downtown,304,Post Office,2019,1,1,4,61.03,26.161971830985923,61.03,26.161971830985923
Downtown,304,Post Office,2019,1,1,5,69.49,27.46478873239437,69.49,27.46478873239437
Downtown,304,Post Office,2019,1,1,6,71.79,36.197183098591545,71.79,36.197183098591545
Downtown,304,Post Office,2019,1,1,7,75.27,29.823943661971835,75.27,29.823943661971835
Downtown,304,Post Office,2019,1,1,8,73.83,29.260563380281692,73.83,29.260563380281692
Downtown,304,Post Office,2019,1,1,9,73.22,29.40140845070423,73.22,29.40140845070423
Downtown,304,Post Office,2019,1,1,10,73.99,30.42253521126761,73.99,30.42253521126761
Downtown,304,Post Office,2019,1,1,11,72.39,34.43661971830986,72.39,34.43661971830986
Downtown,304,Post Office,2019,1,1,12,72.81,37.35915492957745,72.81,37.35915492957745
Downtown,304,Post Office,2019,1,1,13,72.16,26.056338028169023,72.16,26.056338028169023
Downtown,304,Post Office,2019,1,1,14,71.75,18.943661971830988,71.75,18.943661971830988
Downtown,304,Post Office,2019,1,1,15,71.22,15.140845070422534,71.22,15.140845070422534
Downtown,304,Post Office,2019,1,1,16,70.66,17.992957746478876,70.66,17.992957746478876
Downtown,304,Post Office,2019,1,1,17,71.86,16.584507042253524,71.86,16.584507042253524
Downtown,304,Post Office,2019,1,1,18,72.34,15.73943661971831,72.34,15.73943661971831
Downtown,304,Post Office,2019,1,1,19,64.72,13.169014084507046,64.72,13.169014084507046
Downtown,304,Post Office,2019,1,1,20,64.04,12.323943661971832,64.04,12.323943661971832
Downtown,304,Post Office,2019,1,1,21,63.08,11.971830985915494,63.08,11.971830985915494
Downtown,304,Post Office,2019,1,1,22,57.39,14.859154929577466,57.39,14.859154929577466
Downtown,304,Post Office,2019,1,1,23,56.63,12.781690140845072,56.63,12.781690140845072
Downtown,304,Post Office,2019,1,2,0,55.7,12.711267605633806,55.7,12.711267605633806
Downtown,304,Post Office,2019,1,2,1,55.42,10.352112676056338,55.42,10.352112676056338
Downtown,304,Post Office,2019,1,2,2,54.81,10.211267605633806,54.81,10.211267605633806
Downtown,304,Post Office,2019,1,2,3,55.58,10.17605633802817,55.58,10.17605633802817
