campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Downtown,152D,Mercado D,2019,1,1,0,16.02,16.02
Downtown,152D,Mercado D,2019,1,1,1,17.77,17.77
Downtown,152D,Mercado D,2019,1,1,2,16.61,16.61
Downtown,152D,Mercado D,2019,1,1,3,16.37,16.37
Downtown,152D,Mercado D,2019,1,1,4,16.69,16.69
Downtown,152D,Mercado D,2019,1,1,5,16.83,16.83
Downtown,152D,Mercado D,2019,1,1,6,19.2,19.2
Downtown,152D,Mercado D,2019,1,1,7,17.87,17.87
Downtown,152D,Mercado D,2019,1,1,8,18.97,18.97
Downtown,152D,Mercado D,2019,1,1,9,17.19,17.19
Downtown,152D,Mercado D,2019,1,1,10,16.69,16.69
Downtown,152D,Mercado D,2019,1,1,11,15.27,15.27
Downtown,152D,Mercado D,2019,1,1,12,12.0,12.0
Downtown,152D,Mercado D,2019,1,1,13,11.42,11.42
Downtown,152D,Mercado D,2019,1,1,14,11.05,11.05
Downtown,152D,Mercado D,2019,1,1,15,9.99,9.99
Downtown,152D,Mercado D,2019,1,1,16,10.31,10.31
Downtown,152D,Mercado D,2019,1,1,17,12.17,12.17
Downtown,152D,Mercado D,2019,1,1,18,12.57,12.57
Downtown,152D,Mercado D,2019,1,1,19,13.51,13.51
Downtown,152D,Mercado D,2019,1,1,20,14.51,14.51
Downtown,152D,Mercado D,2019,1,1,21,14.6,14.6
Downtown,152D,Mercado D,2019,1,1,22,16.1,16.1
Downtown,152D,Mercado D,2019,1,1,23,17.39,17.39
Downtown,152D,Mercado D,2019,1,2,0,17.01,17.01
Downtown,152D,Mercado D,2019,1,2,1,18.27,18.27
Downtown,152D,Mercado D,2019,1,2,2,18.28,18.28
Downtown,152D,Mercado D,2019,1,2,3,19.03,19.03
Downtown,152D,Mercado D,2019,1,2,4,20.23,20.23
Downtown,152D,Mercado D,2019,1,2,5,19.95,19.95
Downtown,152D,Mercado D,2019,1,2,6,20.82,20.82
Downtown,152D,Mercado D,2019,1,2,7,21.48,21.48
Downtown,152D,Mercado D,2019,1,2,8,22.01,22.01
Downtown,152D,Mercado D,2019,1,2,9,21.12,21.12
Downtown,152D,Mercado D,2019,1,2,10,17.02,17.02
Downtown,152D,Mercado D,2019,1,2,11,15.6,15.6
Downtown,152D,Mercado D,2019,1,2,12,15.06,15.06
Downtown,152D,Mercado D,2019,1,2,13,14.96,14.96
Downtown,152D,Mercado D,2019,1,2,14,15.98,15.98
Downtown,152D,Mercado D,2019,1,2,15,13.69,13.69
Downtown,152D,Mercado D,2019,1,2,16,13.34,13.34
Downtown,152D,Mercado D,2019,1,2,17,12.77,12.77
Downtown,152D,Mercado D,2019,1,2,18,12.54,12.54
Downtown,152D,Mercado D,2019,1,2,19,13.35,13.35
Downtown,152D,Mercado D,2019,1,2,20,14.09,14.09
Downtown,152D,Mercado D,2019,1,2,21,15.44,15.44
Downtown,152D,Mercado D,2019,1,2,22,15.64,15.64
Downtown,152D,Mercado D,2019,1,2,23,16.91,16.91
Downtown,152D,Mercado D,2019,1,3,0,17.82,17.82
Downtown,152D,Mercado D,2019,1,3,1,18.43,18.43
Downtown,152D,Mercado D,2019,1,3,2,19.74,19.74
Downtown,152D,Mercado D,2019,1,3,3,20.1,20.1
Downtown,152D,Mercado D,2019,1,3,4,21.01,21.01
Downtown,152D,Mercado D,2019,1,3,5,22.02,22.02
Downtown,152D,Mercado D,2019,1,3,6,22.39,22.39
Downtown,152D,Mercado D,2019,1,3,7,22.21,22.21
Downtown,152D,Mercado D,2019,1,3,8,22.46,22.46
Downtown,152D,Mercado D,2019,1,3,9,19.67,19.67
Downtown,152D,Mercado D,2019,1,3,10,18.4,18.4
Downtown,152D,Mercado D,2019,1,3,11,16.02,16.02
Downtown,152D,Mercado D,2019,1,3,12,15.35,15.35
Downtown,152D,Mercado D,2019,1,3,13,14.83,14.83
Downtown,152D,Mercado D,2019,1,3,14,13.49,13.49
Downtown,152D,Mercado D,2019,1,3,15,13.18,13.18
Downtown,152D,Mercado D,2019,1,3,16,12.66,12.66
Downtown,152D,Mercado D,2019,1,3,17,11.65,11.65
Downtown,152D,Mercado D,2019,1,3,18,11.86,11.86
Downtown,152D,Mercado D,2019,1,3,19,12.95,12.95
Downtown,152D,Mercado D,2019,1,3,20,12.61,12.61
Downtown,152D,Mercado D,2019,1,3,21,14.16,14.16
Downtown,152D,Mercado D,2019,1,3,22,15.29,15.29
Downtown,152D,Mercado D,2019,1,3,23,16.16,16.16
Downtown,152D,Mercado D,2019,1,4,0,17.1,17.1
Downtown,152D,Mercado D,2019,1,4,1,17.29,17.29
Downtown,152D,Mercado D,2019,1,4,2,17.55,17.55
Downtown,152D,Mercado D,2019,1,4,3,17.79,17.79
Downtown,152D,Mercado D,2019,1,4,4,17.77,17.77
Downtown,152D,Mercado D,2019,1,4,5,18.18,18.18
Downtown,152D,Mercado D,2019,1,4,6,18.72,18.72
Downtown,152D,Mercado D,2019,1,4,7,19.24,19.24
Downtown,152D,Mercado D,2019,1,4,8,18.27,18.27
Downtown,152D,Mercado D,2019,1,4,9,14.45,14.45
Downtown,152D,Mercado D,2019,1,4,10,12.28,12.28
Downtown,152D,Mercado D,2019,1,4,11,13.66,13.66
Downtown,152D,Mercado D,2019,1,4,12,13.73,13.73
Downtown,152D,Mercado D,2019,1,4,13,9.72,9.72
Downtown,152D,Mercado D,2019,1,4,14,10.2,10.2
Downtown,152D,Mercado D,2019,1,4,15,12.15,12.15
Downtown,152D,Mercado D,2019,1,4,16,11.77,11.77
Downtown,152D,Mercado D,2019,1,4,17,9.33,9.33
Downtown,152D,Mercado D,2019,1,4,18,8.12,8.12
