campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Downtown,307,Nursing and Health Innovation II,2019,1,1,0,94.63,94.63
Downtown,307,Nursing and Health Innovation II,2019,1,1,1,99.21,99.21
Downtown,307,Nursing and Health Innovation II,2019,1,1,2,111.33,111.33
Downtown,307,Nursing and Health Innovation II,2019,1,1,3,117.52,117.52
Downtown,307,Nursing and Health Innovation II,2019,1,1,4,133.67,133.67
Downtown,307,Nursing and Health Innovation II,2019,1,1,5,275.79,275.79
Downtown,307,Nursing and Health Innovation II,2019,1,1,6,397.1,397.1
Downtown,307,Nursing and Health Innovation II,2019,1,1,7,393.28,393.28
Downtown,307,Nursing and Health Innovation II,2019,1,1,8,359.85,359.85
Downtown,307,Nursing and Health Innovation II,2019,1,1,9,338.64,338.64
Downtown,307,Nursing and Health Innovation II,2019,1,1,10,310.47,310.47
Downtown,307,Nursing and Health Innovation II,2019,1,1,11,277.52,277.52
Downtown,307,Nursing and Health Innovation II,2019,1,1,12,240.68,240.68
Downtown,307,Nursing and Health Innovation II,2019,1,1,13,206.96,206.96
Downtown,307,Nursing and Health Innovation II,2019,1,1,14,197.64,197.64
Downtown,307,Nursing and Health Innovation II,2019,1,1,15,177.64,177.64
Downtown,307,Nursing and Health Innovation II,2019,1,1,16,180.51,180.51
Downtown,307,Nursing and Health Innovation II,2019,1,1,17,228.99,228.99
Downtown,307,Nursing and Health Innovation II,2019,1,1,18,152.32,152.32
Downtown,307,Nursing and Health Innovation II,2019,1,1,19,106.92,106.92
Downtown,307,Nursing and Health Innovation II,2019,1,1,20,98.64,98.64
Downtown,307,Nursing and Health Innovation II,2019,1,1,21,71.09,71.09
Downtown,307,Nursing and Health Innovation II,2019,1,1,22,74.42,74.42
Downtown,307,Nursing and Health Innovation II,2019,1,1,23,82.63,82.63
Downtown,307,Nursing and Health Innovation II,2019,1,2,0,97.59,97.59
Downtown,307,Nursing and Health Innovation II,2019,1,2,1,118.06,118.06
Downtown,307,Nursing and Health Innovation II,2019,1,2,2,127.44,127.44
Downtown,307,Nursing and Health Innovation II,2019,1,2,3,140.77,140.77
Downtown,307,Nursing and Health Innovation II,2019,1,2,4,156.05,156.05
Downtown,307,Nursing and Health Innovation II,2019,1,2,5,302.54,302.54
Downtown,307,Nursing and Health Innovation II,2019,1,2,6,410.85,410.85
Downtown,307,Nursing and Health Innovation II,2019,1,2,7,430.41,430.41
Downtown,307,Nursing and Health Innovation II,2019,1,2,8,414.19,414.19
Downtown,307,Nursing and Health Innovation II,2019,1,2,9,376.59,376.59
Downtown,307,Nursing and Health Innovation II,2019,1,2,10,326.83,326.83
Downtown,307,Nursing and Health Innovation II,2019,1,2,11,270.14,270.14
Downtown,307,Nursing and Health Innovation II,2019,1,2,12,249.2,249.2
Downtown,307,Nursing and Health Innovation II,2019,1,2,13,239.75,239.75
Downtown,307,Nursing and Health Innovation II,2019,1,2,14,231.4,231.4
Downtown,307,Nursing and Health Innovation II,2019,1,2,15,213.53,213.53
Downtown,307,Nursing and Health Innovation II,2019,1,2,16,197.84,197.84
Downtown,307,Nursing and Health Innovation II,2019,1,2,17,210.47,210.47
Downtown,307,Nursing and Health Innovation II,2019,1,2,18,138.95,138.95
Downtown,307,Nursing and Health Innovation II,2019,1,2,19,107.32,107.32
Downtown,307,Nursing and Health Innovation II,2019,1,2,20,99.47,99.47
Downtown,307,Nursing and Health Innovation II,2019,1,2,21,68.81,68.81
Downtown,307,Nursing and Health Innovation II,2019,1,2,22,73.29,73.29
Downtown,307,Nursing and Health Innovation II,2019,1,2,23,83.26,83.26
Downtown,307,Nursing and Health Innovation II,2019,1,3,0,89.76,89.76
Downtown,307,Nursing and Health Innovation II,2019,1,3,1,117.24,117.24
Downtown,307,Nursing and Health Innovation II,2019,1,3,2,128.35,128.35
Downtown,307,Nursing and Health Innovation II,2019,1,3,3,133.97,133.97
Downtown,307,Nursing and Health Innovation II,2019,1,3,4,144.72,144.72
Downtown,307,Nursing and Health Innovation II,2019,1,3,5,294.84,294.84
Downtown,307,Nursing and Health Innovation II,2019,1,3,6,403.53,403.53
Downtown,307,Nursing and Health Innovation II,2019,1,3,7,414.38,414.38
Downtown,307,Nursing and Health Innovation II,2019,1,3,8,400.78,400.78
Downtown,307,Nursing and Health Innovation II,2019,1,3,9,356.87,356.87
Downtown,307,Nursing and Health Innovation II,2019,1,3,10,295.12,295.12
Downtown,307,Nursing and Health Innovation II,2019,1,3,11,237.87,237.87
Downtown,307,Nursing and Health Innovation II,2019,1,3,12,213.22,213.22
Downtown,307,Nursing and Health Innovation II,2019,1,3,13,220.79,220.79
Downtown,307,Nursing and Health Innovation II,2019,1,3,14,217.74,217.74
Downtown,307,Nursing and Health Innovation II,2019,1,3,15,197.79,197.79
Downtown,307,Nursing and Health Innovation II,2019,1,3,16,191.76,191.76
Downtown,307,Nursing and Health Innovation II,2019,1,3,17,197.92,197.92
Downtown,307,Nursing and Health Innovation II,2019,1,3,18,138.66,138.66
Downtown,307,Nursing and Health Innovation II,2019,1,3,19,104.79,104.79
Downtown,307,Nursing and Health Innovation II,2019,1,3,20,95.48,95.48
Downtown,307,Nursing and Health Innovation II,2019,1,3,21,67.29,67.29
Downtown,307,Nursing and Health Innovation II,2019,1,3,22,67.62,67.62
Downtown,307,Nursing and Health Innovation II,2019,1,3,23,68.42,68.42
Downtown,307,Nursing and Health Innovation II,2019,1,4,0,78.15,78.15
Downtown,307,Nursing and Health Innovation II,2019,1,4,1,86.77,86.77
Downtown,307,Nursing and Health Innovation II,2019,1,4,2,102.7,102.7
Downtown,307,Nursing and Health Innovation II,2019,1,4,3,111.03,111.03
Downtown,307,Nursing and Health Innovation II,2019,1,4,4,128.51,128.51
Downtown,307,Nursing and Health Innovation II,2019,1,4,5,270.33,270.33
Downtown,307,Nursing and Health Innovation II,2019,1,4,6,389.59,389.59
Downtown,307,Nursing and Health Innovation II,2019,1,4,7,384.93,384.93
Downtown,307,Nursing and Health Innovation II,2019,1,4,8,355.8,355.8
Downtown,307,Nursing and Health Innovation II,2019,1,4,9,327.36,327.36
Downtown,307,Nursing and Health Innovation II,2019,1,4,10,251.2,251.2
Downtown,307,Nursing and Health Innovation II,2019,1,4,11,189.49,189.49
Downtown,307,Nursing and Health Innovation II,2019,1,4,12,184.03,184.03
Downtown,307,Nursing and Health Innovation II,2019,1,4,13,206.24,206.24
Downtown,307,Nursing and Health Innovation II,2019,1,4,14,194.84,194.84
Downtown,307,Nursing and Health Innovation II,2019,1,4,15,179.64,179.64
Downtown,307,Nursing and Health Innovation II,2019,1,4,16,174.54,174.54
Downtown,307,Nursing and Health Innovation II,2019,1,4,17,172.08,172.08
Downtown,307,Nursing and Health Innovation II,2019,1,4,18,126.89,126.89
Downtown,307,Nursing and Health Innovation II,2019,1,4,19,120.04,120.04
Downtown,307,Nursing and Health Innovation II,2019,1,4,20,110.68,110.68
Downtown,307,Nursing and Health Innovation II,2019,1,4,21,79.14,79.14
Downtown,307,Nursing and Health Innovation II,2019,1,4,22,82.89,82.89
Downtown,307,Nursing and Health Innovation II,2019,1,4,23,75.51,75.51
Downtown,307,Nursing and Health Innovation II,2019,1,5,0,74.13,74.13
Downtown,307,Nursing and Health Innovation II,2019,1,5,1,71.14,71.14
Downtown,307,Nursing and Health Innovation II,2019,1,5,2,75.1,75.1
Downtown,307,Nursing and Health Innovation II,2019,1,5,3,77.67,77.67
Downtown,307,Nursing and Health Innovation II,2019,1,5,4,81.58,81.58
Downtown,307,Nursing and Health Innovation II,2019,1,5,5,74.94,74.94
Downtown,307,Nursing and Health Innovation II,2019,1,5,6,80.33,80.33
Downtown,307,Nursing and Health Innovation II,2019,1,5,7,80.29,80.29
Downtown,307,Nursing and Health Innovation II,2019,1,5,8,80.21,80.21
Downtown,307,Nursing and Health Innovation II,2019,1,5,9,77.92,77.92
Downtown,307,Nursing and Health Innovation II,2019,1,5,10,73.37,73.37
Downtown,307,Nursing and Health Innovation II,2019,1,5,11,70.2,70.2
Downtown,307,Nursing and Health Innovation II,2019,1,5,12,73.85,73.85
Downtown,307,Nursing and Health Innovation II,2019,1,5,13,74.68,74.68
Downtown,307,Nursing and Health Innovation II,2019,1,5,14,75.0,75.0
Downtown,307,Nursing and Health Innovation II,2019,1,5,15,73.59,73.59
Downtown,307,Nursing and Health Innovation II,2019,1,5,16,73.31,73.31
Downtown,307,Nursing and Health Innovation II,2019,1,5,17,76.02,76.02
Downtown,307,Nursing and Health Innovation II,2019,1,5,18,79.92,79.92
Downtown,307,Nursing and Health Innovation II,2019,1,5,19,79.92,79.92
Downtown,307,Nursing and Health Innovation II,2019,1,5,20,75.71,75.71
Downtown,307,Nursing and Health Innovation II,2019,1,5,21,78.3,78.3
Downtown,307,Nursing and Health Innovation II,2019,1,5,22,85.25,85.25
Downtown,307,Nursing and Health Innovation II,2019,1,5,23,82.14,82.14
Downtown,307,Nursing and Health Innovation II,2019,1,6,0,76.49,76.49
Downtown,307,Nursing and Health Innovation II,2019,1,6,1,73.34,73.34
Downtown,307,Nursing and Health Innovation II,2019,1,6,2,72.81,72.81
Downtown,307,Nursing and Health Innovation II,2019,1,6,3,74.82,74.82
Downtown,307,Nursing and Health Innovation II,2019,1,6,4,76.14,76.14
Downtown,307,Nursing and Health Innovation II,2019,1,6,5,85.53,85.53
Downtown,307,Nursing and Health Innovation II,2019,1,6,6,82.03,82.03
Downtown,307,Nursing and Health Innovation II,2019,1,6,7,79.81,79.81
Downtown,307,Nursing and Health Innovation II,2019,1,6,8,84.04,84.04
Downtown,307,Nursing and Health Innovation II,2019,1,6,9,80.31,80.31
Downtown,307,Nursing and Health Innovation II,2019,1,6,10,72.79,72.79
Downtown,307,Nursing and Health Innovation II,2019,1,6,11,77.41,77.41
Downtown,307,Nursing and Health Innovation II,2019,1,6,12,75.37,75.37
Downtown,307,Nursing and Health Innovation II,2019,1,6,13,77.4,77.4
Downtown,307,Nursing and Health Innovation II,2019,1,6,14,75.49,75.49
Downtown,307,Nursing and Health Innovation II,2019,1,6,15,76.59,76.59
Downtown,307,Nursing and Health Innovation II,2019,1,6,16,82.37,82.37
Downtown,307,Nursing and Health Innovation II,2019,1,6,17,79.33,79.33
Downtown,307,Nursing and Health Innovation II,2019,1,6,18,83.68,83.68
Downtown,307,Nursing and Health Innovation II,2019,1,6,19,89.46,89.46
Downtown,307,Nursing and Health Innovation II,2019,1,6,20,89.21,89.21
Downtown,307,Nursing and Health Innovation II,2019,1,6,21,100.31,100.31
Downtown,307,Nursing and Health Innovation II,2019,1,6,22,98.3,98.3
Downtown,307,Nursing and Health Innovation II,2019,1,6,23,103.38,103.38
Downtown,307,Nursing and Health Innovation II,2019,1,7,0,99.38,99.38
Downtown,307,Nursing and Health Innovation II,2019,1,7,1,108.2,108.2
Downtown,307,Nursing and Health Innovation II,2019,1,7,2,117.25,117.25
Downtown,307,Nursing and Health Innovation II,2019,1,7,3,126.04,126.04
Downtown,307,Nursing and Health Innovation II,2019,1,7,4,138.73,138.73
Downtown,307,Nursing and Health Innovation II,2019,1,7,5,293.02,293.02
Downtown,307,Nursing and Health Innovation II,2019,1,7,6,414.1,414.1
Downtown,307,Nursing and Health Innovation II,2019,1,7,7,419.81,419.81
Downtown,307,Nursing and Health Innovation II,2019,1,7,8,397.89,397.89
Downtown,307,Nursing and Health Innovation II,2019,1,7,9,357.48,357.48
Downtown,307,Nursing and Health Innovation II,2019,1,7,10,294.83,294.83
Downtown,307,Nursing and Health Innovation II,2019,1,7,11,252.45,252.45
Downtown,307,Nursing and Health Innovation II,2019,1,7,12,238.07,238.07
Downtown,307,Nursing and Health Innovation II,2019,1,7,13,232.01,232.01
Downtown,307,Nursing and Health Innovation II,2019,1,7,14,214.31,214.31
Downtown,307,Nursing and Health Innovation II,2019,1,7,15,192.35,192.35
Downtown,307,Nursing and Health Innovation II,2019,1,7,16,185.77,185.77
Downtown,307,Nursing and Health Innovation II,2019,1,7,17,182.24,182.24
Downtown,307,Nursing and Health Innovation II,2019,1,7,18,139.7,139.7
Downtown,307,Nursing and Health Innovation II,2019,1,7,19,121.62,121.62
Downtown,307,Nursing and Health Innovation II,2019,1,7,20,108.13,108.13
Downtown,307,Nursing and Health Innovation II,2019,1,7,21,80.29,80.29
Downtown,307,Nursing and Health Innovation II,2019,1,7,22,84.95,84.95
Downtown,307,Nursing and Health Innovation II,2019,1,7,23,84.85,84.85
Downtown,307,Nursing and Health Innovation II,2019,1,8,0,83.04,83.04
Downtown,307,Nursing and Health Innovation II,2019,1,8,1,84.72,84.72
Downtown,307,Nursing and Health Innovation II,2019,1,8,2,80.56,80.56
Downtown,307,Nursing and Health Innovation II,2019,1,8,3,93.79,93.79
Downtown,307,Nursing and Health Innovation II,2019,1,8,4,96.73,96.73
Downtown,307,Nursing and Health Innovation II,2019,1,8,5,243.58,243.58
Downtown,307,Nursing and Health Innovation II,2019,1,8,6,371.14,371.14
Downtown,307,Nursing and Health Innovation II,2019,1,8,7,354.33,354.33
Downtown,307,Nursing and Health Innovation II,2019,1,8,8,323.6,323.6
Downtown,307,Nursing and Health Innovation II,2019,1,8,9,290.39,290.39
Downtown,307,Nursing and Health Innovation II,2019,1,8,10,243.19,243.19
Downtown,307,Nursing and Health Innovation II,2019,1,8,11,205.37,205.37
Downtown,307,Nursing and Health Innovation II,2019,1,8,12,192.07,192.07
Downtown,307,Nursing and Health Innovation II,2019,1,8,13,191.1,191.1
Downtown,307,Nursing and Health Innovation II,2019,1,8,14,181.52,181.52
Downtown,307,Nursing and Health Innovation II,2019,1,8,15,167.52,167.52
Downtown,307,Nursing and Health Innovation II,2019,1,8,16,158.01,158.01
Downtown,307,Nursing and Health Innovation II,2019,1,8,17,153.6,153.6
Downtown,307,Nursing and Health Innovation II,2019,1,8,18,121.6,121.6
Downtown,307,Nursing and Health Innovation II,2019,1,8,19,103.12,103.12
Downtown,307,Nursing and Health Innovation II,2019,1,8,20,94.27,94.27
Downtown,307,Nursing and Health Innovation II,2019,1,8,21,83.02,83.02
Downtown,307,Nursing and Health Innovation II,2019,1,8,22,77.54,77.54
Downtown,307,Nursing and Health Innovation II,2019,1,8,23,72.67,72.67
Downtown,307,Nursing and Health Innovation II,2019,1,9,0,76.79,76.79
Downtown,307,Nursing and Health Innovation II,2019,1,9,1,81.16,81.16
Downtown,307,Nursing and Health Innovation II,2019,1,9,2,81.04,81.04
Downtown,307,Nursing and Health Innovation II,2019,1,9,3,80.33,80.33
Downtown,307,Nursing and Health Innovation II,2019,1,9,4,85.08,85.08
Downtown,307,Nursing and Health Innovation II,2019,1,9,5,190.39,190.39
Downtown,307,Nursing and Health Innovation II,2019,1,9,6,299.38,299.38
Downtown,307,Nursing and Health Innovation II,2019,1,9,7,277.43,277.43
Downtown,307,Nursing and Health Innovation II,2019,1,9,8,251.96,251.96
Downtown,307,Nursing and Health Innovation II,2019,1,9,9,236.73,236.73
Downtown,307,Nursing and Health Innovation II,2019,1,9,10,208.95,208.95
Downtown,307,Nursing and Health Innovation II,2019,1,9,11,187.23,187.23
Downtown,307,Nursing and Health Innovation II,2019,1,9,12,176.46,176.46
Downtown,307,Nursing and Health Innovation II,2019,1,9,13,171.71,171.71
Downtown,307,Nursing and Health Innovation II,2019,1,9,14,161.27,161.27
Downtown,307,Nursing and Health Innovation II,2019,1,9,15,158.66,158.66
Downtown,307,Nursing and Health Innovation II,2019,1,9,16,151.24,151.24
Downtown,307,Nursing and Health Innovation II,2019,1,9,17,143.15,143.15
Downtown,307,Nursing and Health Innovation II,2019,1,9,18,116.35,116.35
Downtown,307,Nursing and Health Innovation II,2019,1,9,19,98.96,98.96
Downtown,307,Nursing and Health Innovation II,2019,1,9,20,97.55,97.55
Downtown,307,Nursing and Health Innovation II,2019,1,9,21,86.17,86.17
Downtown,307,Nursing and Health Innovation II,2019,1,9,22,84.17,84.17
Downtown,307,Nursing and Health Innovation II,2019,1,9,23,80.25,80.25
Downtown,307,Nursing and Health Innovation II,2019,1,10,0,82.68,82.68
Downtown,307,Nursing and Health Innovation II,2019,1,10,1,85.34,85.34
Downtown,307,Nursing and Health Innovation II,2019,1,10,2,84.73,84.73
Downtown,307,Nursing and Health Innovation II,2019,1,10,3,83.7,83.7
Downtown,307,Nursing and Health Innovation II,2019,1,10,4,88.32,88.32
Downtown,307,Nursing and Health Innovation II,2019,1,10,5,169.85,169.85
Downtown,307,Nursing and Health Innovation II,2019,1,10,6,240.16,240.16
Downtown,307,Nursing and Health Innovation II,2019,1,10,7,233.95,233.95
Downtown,307,Nursing and Health Innovation II,2019,1,10,8,223.7,223.7
Downtown,307,Nursing and Health Innovation II,2019,1,10,9,213.38,213.38
Downtown,307,Nursing and Health Innovation II,2019,1,10,10,152.59,152.59
Downtown,307,Nursing and Health Innovation II,2019,1,10,11,180.91,180.91
Downtown,307,Nursing and Health Innovation II,2019,1,10,12,161.85,161.85
Downtown,307,Nursing and Health Innovation II,2019,1,10,13,159.22,159.22
Downtown,307,Nursing and Health Innovation II,2019,1,10,14,156.62,156.62
Downtown,307,Nursing and Health Innovation II,2019,1,10,15,157.69,157.69
Downtown,307,Nursing and Health Innovation II,2019,1,10,16,152.82,152.82
Downtown,307,Nursing and Health Innovation II,2019,1,10,17,141.67,141.67
Downtown,307,Nursing and Health Innovation II,2019,1,10,18,111.01,111.01
Downtown,307,Nursing and Health Innovation II,2019,1,10,19,100.76,100.76
Downtown,307,Nursing and Health Innovation II,2019,1,10,20,97.12,97.12
Downtown,307,Nursing and Health Innovation II,2019,1,10,21,84.85,84.85
