campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Polytechnic,812,Student Union,2019,1,1,0,76.26,76.26
Polytechnic,812,Student Union,2019,1,1,1,77.44,77.44
Polytechnic,812,Student Union,2019,1,1,2,76.63,76.63
Polytechnic,812,Student Union,2019,1,1,3,75.47,75.47
Polytechnic,812,Student Union,2019,1,1,4,77.0,77.0
Polytechnic,812,Student Union,2019,1,1,5,75.35,75.35
Polytechnic,812,Student Union,2019,1,1,6,124.57,124.57
Polytechnic,812,Student Union,2019,1,1,7,142.09,142.09
Polytechnic,812,Student Union,2019,1,1,8,142.56,142.56
Polytechnic,812,Student Union,2019,1,1,9,132.74,132.74
Polytechnic,812,Student Union,2019,1,1,10,143.04,143.04
Polytechnic,812,Student Union,2019,1,1,11,132.24,132.24
Polytechnic,812,Student Union,2019,1,1,12,132.34,132.34
Polytechnic,812,Student Union,2019,1,1,13,129.63,129.63
Polytechnic,812,Student Union,2019,1,1,14,119.02,119.02
Polytechnic,812,Student Union,2019,1,1,15,118.0,118.0
Polytechnic,812,Student Union,2019,1,1,16,111.59,111.59
Polytechnic,812,Student Union,2019,1,1,17,109.46,109.46
Polytechnic,812,Student Union,2019,1,1,18,118.28,118.28
Polytechnic,812,Student Union,2019,1,1,19,119.46,119.46
Polytechnic,812,Student Union,2019,1,1,20,134.3,134.3
Polytechnic,812,Student Union,2019,1,1,21,132.65,132.65
Polytechnic,812,Student Union,2019,1,1,22,94.76,94.76
Polytechnic,812,Student Union,2019,1,1,23,75.68,75.68
Polytechnic,812,Student Union,2019,1,2,0,77.8,77.8
Polytechnic,812,Student Union,2019,1,2,1,76.68,76.68
Polytechnic,812,Student Union,2019,1,2,2,77.25,77.25
Polytechnic,812,Student Union,2019,1,2,3,77.49,77.49
Polytechnic,812,Student Union,2019,1,2,4,78.0,78.0
Polytechnic,812,Student Union,2019,1,2,5,79.86,79.86
Polytechnic,812,Student Union,2019,1,2,6,138.41,138.41
Polytechnic,812,Student Union,2019,1,2,7,164.83,164.83
Polytechnic,812,Student Union,2019,1,2,8,168.57,168.57
Polytechnic,812,Student Union,2019,1,2,9,165.4,165.4
Polytechnic,812,Student Union,2019,1,2,10,168.48,168.48
Polytechnic,812,Student Union,2019,1,2,11,160.99,160.99
Polytechnic,812,Student Union,2019,1,2,12,158.54,158.54
Polytechnic,812,Student Union,2019,1,2,13,153.34,153.34
Polytechnic,812,Student Union,2019,1,2,14,147.78,147.78
