campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,27,Lyceum Theater,2019,1,1,0,9.05,5.669014084507044,2.9411764705882355,9.05,5.669014084507044,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,1,9.13,5.985915492957747,2.9411764705882355,9.13,5.985915492957747,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,2,9.19,5.774647887323943,2.9411764705882355,9.19,5.774647887323943,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,3,9.1,4.788732394366198,2.9411764705882355,9.1,4.788732394366198,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,4,9.01,4.471830985915493,2.9411764705882355,9.01,4.471830985915493,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,5,9.12,4.330985915492958,2.9411764705882355,9.12,4.330985915492958,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,6,8.95,4.401408450704227,2.9411764705882355,8.95,4.401408450704227,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,7,8.99,4.366197183098592,2.9411764705882355,8.99,4.366197183098592,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,8,8.54,4.401408450704227,2.9411764705882355,8.54,4.401408450704227,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,9,8.31,4.71830985915493,2.9411764705882355,8.31,4.71830985915493,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,10,8.45,5.492957746478874,2.9411764705882355,8.45,5.492957746478874,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,11,8.43,6.126760563380282,2.9411764705882355,8.43,6.126760563380282,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,12,8.41,6.971830985915494,2.9411764705882355,8.41,6.971830985915494,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,13,8.61,7.640845070422536,2.9411764705882355,8.61,7.640845070422536,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,14,8.44,7.922535211267606,2.9411764705882355,8.44,7.922535211267606,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,15,8.46,8.309859154929578,2.9411764705882355,8.46,8.309859154929578,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,16,8.49,8.943661971830986,2.9411764705882355,8.49,8.943661971830986,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,17,8.66,8.732394366197184,2.9411764705882355,8.66,8.732394366197184,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,18,9.11,10.352112676056338,2.9411764705882355,9.11,10.352112676056338,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,19,9.01,16.02112676056338,2.9411764705882355,9.01,16.02112676056338,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,20,9.03,7.67605633802817,2.9411764705882355,9.03,7.67605633802817,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,21,8.84,7.781690140845071,2.9411764705882355,8.84,7.781690140845071,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,22,9.02,6.232394366197183,2.9411764705882355,9.02,6.232394366197183,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,1,23,9.15,5.704225352112679,2.9411764705882355,9.15,5.704225352112679,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,2,0,9.07,5.598591549295776,2.9411764705882355,9.07,5.598591549295776,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,2,1,8.91,4.823943661971832,2.9411764705882355,8.91,4.823943661971832,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,2,2,8.83,4.43661971830986,2.9411764705882355,8.83,4.43661971830986,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,2,3,9.05,4.119718309859155,2.9411764705882355,9.05,4.119718309859155,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,2,4,9.03,4.577464788732395,2.9411764705882355,9.03,4.577464788732395,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,2,5,13.33,3.908450704225353,0.0,13.33,3.908450704225353,0.0
Tempe,27,Lyceum Theater,2019,1,2,6,14.77,2.0774647887323945,0.0,14.77,2.0774647887323945,0.0
Tempe,27,Lyceum Theater,2019,1,2,7,14.66,1.3028169014084507,0.0,14.66,1.3028169014084507,0.0
Tempe,27,Lyceum Theater,2019,1,2,8,14.35,0.7394366197183099,0.0,14.35,0.7394366197183099,0.0
Tempe,27,Lyceum Theater,2019,1,2,9,14.74,0.9154929577464791,0.0,14.74,0.9154929577464791,0.0
Tempe,27,Lyceum Theater,2019,1,2,10,16.71,1.3380281690140847,0.0,16.71,1.3380281690140847,0.0
Tempe,27,Lyceum Theater,2019,1,2,11,16.61,3.380281690140845,0.0,16.61,3.380281690140845,0.0
Tempe,27,Lyceum Theater,2019,1,2,12,14.5,3.9436619718309855,0.0,14.5,3.9436619718309855,0.0
Tempe,27,Lyceum Theater,2019,1,2,13,14.64,4.612676056338028,0.0,14.64,4.612676056338028,0.0
Tempe,27,Lyceum Theater,2019,1,2,14,14.36,4.859154929577465,0.0,14.36,4.859154929577465,0.0
Tempe,27,Lyceum Theater,2019,1,2,15,14.13,5.563380281690142,0.0,14.13,5.563380281690142,0.0
Tempe,27,Lyceum Theater,2019,1,2,16,14.22,6.478873239436622,0.0,14.22,6.478873239436622,0.0
Tempe,27,Lyceum Theater,2019,1,2,17,14.4,6.197183098591549,0.0,14.4,6.197183098591549,0.0
Tempe,27,Lyceum Theater,2019,1,2,18,14.24,5.950704225352112,0.0,14.24,5.950704225352112,0.0
Tempe,27,Lyceum Theater,2019,1,2,19,14.69,5.492957746478874,0.0,14.69,5.492957746478874,0.0
Tempe,27,Lyceum Theater,2019,1,2,20,14.66,5.387323943661971,0.0,14.66,5.387323943661971,0.0
Tempe,27,Lyceum Theater,2019,1,2,21,14.8,5.105633802816903,0.0,14.8,5.105633802816903,0.0
Tempe,27,Lyceum Theater,2019,1,2,22,14.82,4.753521126760563,0.0,14.82,4.753521126760563,0.0
Tempe,27,Lyceum Theater,2019,1,2,23,10.7,4.471830985915493,2.9411764705882355,10.7,4.471830985915493,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,3,0,9.13,2.746478873239437,2.9411764705882355,9.13,2.746478873239437,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,3,1,9.11,2.6408450704225355,2.9411764705882355,9.11,2.6408450704225355,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,3,2,9.09,2.6408450704225355,2.9411764705882355,9.09,2.6408450704225355,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,3,3,9.13,3.2394366197183104,2.9411764705882355,9.13,3.2394366197183104,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,3,4,9.12,3.1338028169014085,2.9411764705882355,9.12,3.1338028169014085,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,3,5,13.34,1.8309859154929582,0.0,13.34,1.8309859154929582,0.0
Tempe,27,Lyceum Theater,2019,1,3,6,14.94,0.8098591549295776,0.0,14.94,0.8098591549295776,0.0
Tempe,27,Lyceum Theater,2019,1,3,7,14.7,1.0563380281690142,0.0,14.7,1.0563380281690142,0.0
Tempe,27,Lyceum Theater,2019,1,3,8,14.32,1.9718309859154928,0.0,14.32,1.9718309859154928,0.0
Tempe,27,Lyceum Theater,2019,1,3,9,14.31,2.4295774647887325,0.0,14.31,2.4295774647887325,0.0
Tempe,27,Lyceum Theater,2019,1,3,10,13.95,2.1478873239436616,0.0,13.95,2.1478873239436616,0.0
Tempe,27,Lyceum Theater,2019,1,3,11,14.19,3.3450704225352115,0.0,14.19,3.3450704225352115,0.0
Tempe,27,Lyceum Theater,2019,1,3,12,14.22,5.422535211267606,0.0,14.22,5.422535211267606,0.0
Tempe,27,Lyceum Theater,2019,1,3,13,14.07,7.183098591549298,0.0,14.07,7.183098591549298,0.0
Tempe,27,Lyceum Theater,2019,1,3,14,14.08,8.13380281690141,0.0,14.08,8.13380281690141,0.0
Tempe,27,Lyceum Theater,2019,1,3,15,14.14,8.838028169014084,0.0,14.14,8.838028169014084,0.0
Tempe,27,Lyceum Theater,2019,1,3,16,13.37,9.43661971830986,0.0,13.37,9.43661971830986,0.0
Tempe,27,Lyceum Theater,2019,1,3,17,13.89,9.190140845070422,0.0,13.89,9.190140845070422,0.0
Tempe,27,Lyceum Theater,2019,1,3,18,14.56,8.450704225352114,0.0,14.56,8.450704225352114,0.0
Tempe,27,Lyceum Theater,2019,1,3,19,14.59,7.746478873239437,0.0,14.59,7.746478873239437,0.0
Tempe,27,Lyceum Theater,2019,1,3,20,14.77,7.323943661971833,0.0,14.77,7.323943661971833,0.0
Tempe,27,Lyceum Theater,2019,1,3,21,14.39,7.359154929577465,0.0,14.39,7.359154929577465,0.0
Tempe,27,Lyceum Theater,2019,1,3,22,14.69,7.5,0.0,14.69,7.5,0.0
Tempe,27,Lyceum Theater,2019,1,3,23,10.69,6.93661971830986,2.9411764705882355,10.69,6.93661971830986,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,4,0,9.09,4.507042253521127,2.9411764705882355,9.09,4.507042253521127,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,4,1,9.23,3.5211267605633805,2.9411764705882355,9.23,3.5211267605633805,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,4,2,9.13,3.908450704225353,2.9411764705882355,9.13,3.908450704225353,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,4,3,8.92,3.7676056338028174,2.9411764705882355,8.92,3.7676056338028174,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,4,4,9.2,3.8028169014084514,2.9411764705882355,9.2,3.8028169014084514,2.9411764705882355
Tempe,27,Lyceum Theater,2019,1,4,5,13.15,3.6619718309859164,0.0,13.15,3.6619718309859164,0.0
Tempe,27,Lyceum Theater,2019,1,4,6,14.78,2.8521126760563384,0.0,14.78,2.8521126760563384,0.0
Tempe,27,Lyceum Theater,2019,1,4,7,14.58,2.1478873239436616,0.0,14.58,2.1478873239436616,0.0
Tempe,27,Lyceum Theater,2019,1,4,8,14.16,0.9859154929577466,0.0,14.16,0.9859154929577466,0.0
Tempe,27,Lyceum Theater,2019,1,4,9,14.31,2.1126760563380285,0.0,14.31,2.1126760563380285,0.0
Tempe,27,Lyceum Theater,2019,1,4,10,14.13,5.63380281690141,0.0,14.13,5.63380281690141,0.0
