campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,51G,PV West,2019,1,1,0,66.24,20.07042253521127,35.29411764705883,66.24,20.07042253521127,35.29411764705883
Tempe,51G,PV West,2019,1,1,1,65.94,20.95070422535212,35.29411764705883,65.94,20.95070422535212,35.29411764705883
Tempe,51G,PV West,2019,1,1,2,66.24,22.394366197183103,38.23529411764706,66.24,22.394366197183103,38.23529411764706
Tempe,51G,PV West,2019,1,1,3,66.95,17.95774647887324,35.29411764705883,66.95,17.95774647887324,35.29411764705883
Tempe,51G,PV West,2019,1,1,4,69.61,17.85211267605634,32.35294117647059,69.61,17.85211267605634,32.35294117647059
Tempe,51G,PV West,2019,1,1,5,71.09,20.0,32.35294117647059,71.09,20.0,32.35294117647059
Tempe,51G,PV West,2019,1,1,6,71.19,19.43661971830986,32.35294117647059,71.19,19.43661971830986,32.35294117647059
Tempe,51G,PV West,2019,1,1,7,71.23,18.028169014084508,32.35294117647059,71.23,18.028169014084508,32.35294117647059
Tempe,51G,PV West,2019,1,1,8,70.37,17.605633802816907,32.35294117647059,70.37,17.605633802816907,32.35294117647059
Tempe,51G,PV West,2019,1,1,9,72.49,15.422535211267604,32.35294117647059,72.49,15.422535211267604,32.35294117647059
Tempe,51G,PV West,2019,1,1,10,72.96,15.880281690140846,32.35294117647059,72.96,15.880281690140846,32.35294117647059
Tempe,51G,PV West,2019,1,1,11,72.44,15.246478873239438,38.23529411764706,72.44,15.246478873239438,38.23529411764706
Tempe,51G,PV West,2019,1,1,12,69.88,19.11971830985916,29.411764705882355,69.88,19.11971830985916,29.411764705882355
Tempe,51G,PV West,2019,1,1,13,67.38,23.69718309859155,29.411764705882355,67.38,23.69718309859155,29.411764705882355
Tempe,51G,PV West,2019,1,1,14,65.59,21.72535211267606,23.529411764705888,65.59,21.72535211267606,23.529411764705888
Tempe,51G,PV West,2019,1,1,15,67.15,22.74647887323944,17.647058823529417,67.15,22.74647887323944,17.647058823529417
Tempe,51G,PV West,2019,1,1,16,68.08,25.739436619718308,23.529411764705888,68.08,25.739436619718308,23.529411764705888
Tempe,51G,PV West,2019,1,1,17,67.91,25.28169014084507,29.411764705882355,67.91,25.28169014084507,29.411764705882355
Tempe,51G,PV West,2019,1,1,18,70.53,23.978873239436627,32.35294117647059,70.53,23.978873239436627,32.35294117647059
Tempe,51G,PV West,2019,1,1,19,70.75,22.112676056338028,29.411764705882355,70.75,22.112676056338028,29.411764705882355
Tempe,51G,PV West,2019,1,1,20,70.01,19.049295774647888,29.411764705882355,70.01,19.049295774647888,29.411764705882355
Tempe,51G,PV West,2019,1,1,21,68.01,18.52112676056338,29.411764705882355,68.01,18.52112676056338,29.411764705882355
Tempe,51G,PV West,2019,1,1,22,66.71,11.408450704225357,32.35294117647059,66.71,11.408450704225357,32.35294117647059
Tempe,51G,PV West,2019,1,1,23,66.77,10.985915492957748,29.411764705882355,66.77,10.985915492957748,29.411764705882355
Tempe,51G,PV West,2019,1,2,0,66.89,17.605633802816907,32.35294117647059,66.89,17.605633802816907,32.35294117647059
