campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,57B,Phys Sci A_B_C,2019,1,1,0,273.42,175.24647887323945,191.17647058823533,273.42,175.24647887323945,191.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,1,271.6,174.08450704225353,188.2352941176471,271.6,174.08450704225353,188.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,1,2,273.24,159.19014084507043,191.17647058823533,273.24,159.19014084507043,191.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,3,272.96,149.2605633802817,191.17647058823533,272.96,149.2605633802817,191.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,4,293.09,151.443661971831,217.64705882352942,293.09,151.443661971831,217.64705882352942
Tempe,57B,Phys Sci A_B_C,2019,1,1,5,304.28,159.0492957746479,241.17647058823533,304.28,159.0492957746479,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,6,307.98,154.89436619718313,241.17647058823533,307.98,154.89436619718313,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,7,305.71,129.75352112676055,241.17647058823533,305.71,129.75352112676055,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,8,307.63,128.34507042253523,241.17647058823533,307.63,128.34507042253523,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,1,9,307.41,136.443661971831,235.29411764705884,307.41,136.443661971831,235.29411764705884
Tempe,57B,Phys Sci A_B_C,2019,1,1,10,305.87,152.50000000000003,232.3529411764706,305.87,152.50000000000003,232.3529411764706
Tempe,57B,Phys Sci A_B_C,2019,1,1,11,309.34,163.45070422535213,229.4117647058824,309.34,163.45070422535213,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,1,12,304.6,179.8943661971831,226.47058823529412,304.6,179.8943661971831,226.47058823529412
Tempe,57B,Phys Sci A_B_C,2019,1,1,13,310.09,197.50000000000003,229.4117647058824,310.09,197.50000000000003,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,1,14,307.7,207.42957746478874,220.58823529411762,307.7,207.42957746478874,220.58823529411762
Tempe,57B,Phys Sci A_B_C,2019,1,1,15,308.02,208.76760563380284,211.76470588235298,308.02,208.76760563380284,211.76470588235298
Tempe,57B,Phys Sci A_B_C,2019,1,1,16,308.85,217.0422535211268,214.70588235294116,308.85,217.0422535211268,214.70588235294116
Tempe,57B,Phys Sci A_B_C,2019,1,1,17,308.11,206.5492957746479,223.52941176470588,308.11,206.5492957746479,223.52941176470588
Tempe,57B,Phys Sci A_B_C,2019,1,1,18,307.15,190.1760563380282,229.4117647058824,307.15,190.1760563380282,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,1,19,304.45,208.23943661971836,232.3529411764706,304.45,208.23943661971836,232.3529411764706
Tempe,57B,Phys Sci A_B_C,2019,1,1,20,302.58,202.21830985915489,235.29411764705884,302.58,202.21830985915489,235.29411764705884
Tempe,57B,Phys Sci A_B_C,2019,1,1,21,299.59,200.45774647887325,235.29411764705884,299.59,200.45774647887325,235.29411764705884
Tempe,57B,Phys Sci A_B_C,2019,1,1,22,275.3,175.45774647887325,208.82352941176467,275.3,175.45774647887325,208.82352941176467
Tempe,57B,Phys Sci A_B_C,2019,1,1,23,270.27,153.2394366197183,188.2352941176471,270.27,153.2394366197183,188.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,2,0,269.82,157.28873239436618,194.11764705882354,269.82,157.28873239436618,194.11764705882354
Tempe,57B,Phys Sci A_B_C,2019,1,2,1,271.29,135.14084507042256,197.05882352941182,271.29,135.14084507042256,197.05882352941182
Tempe,57B,Phys Sci A_B_C,2019,1,2,2,270.56,127.2887323943662,197.05882352941182,270.56,127.2887323943662,197.05882352941182
Tempe,57B,Phys Sci A_B_C,2019,1,2,3,267.99,122.32394366197184,200.00000000000003,267.99,122.32394366197184,200.00000000000003
Tempe,57B,Phys Sci A_B_C,2019,1,2,4,288.28,115.56338028169016,226.47058823529412,288.28,115.56338028169016,226.47058823529412
Tempe,57B,Phys Sci A_B_C,2019,1,2,5,301.53,114.33098591549296,250.0,301.53,114.33098591549296,250.0
Tempe,57B,Phys Sci A_B_C,2019,1,2,6,304.36,123.45070422535211,252.94117647058826,304.36,123.45070422535211,252.94117647058826
Tempe,57B,Phys Sci A_B_C,2019,1,2,7,309.18,82.57042253521128,229.4117647058824,309.18,82.57042253521128,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,2,8,318.4,87.95774647887325,226.47058823529412,318.4,87.95774647887325,226.47058823529412
Tempe,57B,Phys Sci A_B_C,2019,1,2,9,326.28,99.75352112676056,244.11764705882354,326.28,99.75352112676056,244.11764705882354
Tempe,57B,Phys Sci A_B_C,2019,1,2,10,334.55,137.32394366197184,241.17647058823533,334.55,137.32394366197184,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,2,11,341.12,168.62676056338032,238.2352941176471,341.12,168.62676056338032,238.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,2,12,342.91,166.6901408450705,238.2352941176471,342.91,166.6901408450705,238.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,2,13,342.84,181.4084507042254,250.0,342.84,181.4084507042254,250.0
Tempe,57B,Phys Sci A_B_C,2019,1,2,14,341.36,191.4788732394366,241.17647058823533,341.36,191.4788732394366,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,2,15,339.12,209.71830985915489,214.70588235294116,339.12,209.71830985915489,214.70588235294116
Tempe,57B,Phys Sci A_B_C,2019,1,2,16,333.26,218.80281690140848,238.2352941176471,333.26,218.80281690140848,238.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,2,17,323.46,184.29577464788738,214.70588235294116,323.46,184.29577464788738,214.70588235294116
Tempe,57B,Phys Sci A_B_C,2019,1,2,18,321.92,187.60563380281693,229.4117647058824,321.92,187.60563380281693,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,2,19,314.33,187.99295774647888,241.17647058823533,314.33,187.99295774647888,241.17647058823533
Tempe,57B,Phys Sci A_B_C,2019,1,2,20,313.6,184.19014084507046,250.0,313.6,184.19014084507046,250.0
Tempe,57B,Phys Sci A_B_C,2019,1,2,21,307.53,175.84507042253526,261.764705882353,307.53,175.84507042253526,261.764705882353
Tempe,57B,Phys Sci A_B_C,2019,1,2,22,288.86,158.55633802816905,220.58823529411762,288.86,158.55633802816905,220.58823529411762
Tempe,57B,Phys Sci A_B_C,2019,1,2,23,278.95,150.03521126760563,211.76470588235298,278.95,150.03521126760563,211.76470588235298
Tempe,57B,Phys Sci A_B_C,2019,1,3,0,276.72,145.14084507042256,217.64705882352942,276.72,145.14084507042256,217.64705882352942
Tempe,57B,Phys Sci A_B_C,2019,1,3,1,280.58,144.6830985915493,220.58823529411762,280.58,144.6830985915493,220.58823529411762
Tempe,57B,Phys Sci A_B_C,2019,1,3,2,282.05,146.58450704225353,223.52941176470588,282.05,146.58450704225353,223.52941176470588
Tempe,57B,Phys Sci A_B_C,2019,1,3,3,277.66,133.09859154929578,223.52941176470588,277.66,133.09859154929578,223.52941176470588
Tempe,57B,Phys Sci A_B_C,2019,1,3,4,291.8,102.8169014084507,244.11764705882354,291.8,102.8169014084507,244.11764705882354
Tempe,57B,Phys Sci A_B_C,2019,1,3,5,296.02,97.2887323943662,264.70588235294116,296.02,97.2887323943662,264.70588235294116
Tempe,57B,Phys Sci A_B_C,2019,1,3,6,298.99,139.5774647887324,273.5294117647059,298.99,139.5774647887324,273.5294117647059
Tempe,57B,Phys Sci A_B_C,2019,1,3,7,295.2,116.09154929577466,273.5294117647059,295.2,116.09154929577466,273.5294117647059
Tempe,57B,Phys Sci A_B_C,2019,1,3,8,326.97,172.14788732394368,294.11764705882354,326.97,172.14788732394368,294.11764705882354
Tempe,57B,Phys Sci A_B_C,2019,1,3,9,344.22,159.92957746478874,258.8235294117647,344.22,159.92957746478874,258.8235294117647
Tempe,57B,Phys Sci A_B_C,2019,1,3,10,348.41,180.0704225352113,267.64705882352945,348.41,180.0704225352113,267.64705882352945
Tempe,57B,Phys Sci A_B_C,2019,1,3,11,350.46,192.4647887323944,255.8823529411765,350.46,192.4647887323944,255.8823529411765
Tempe,57B,Phys Sci A_B_C,2019,1,3,12,351.58,204.5422535211268,229.4117647058824,351.58,204.5422535211268,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,3,13,354.39,219.9647887323944,223.52941176470588,354.39,219.9647887323944,223.52941176470588
Tempe,57B,Phys Sci A_B_C,2019,1,3,14,354.38,236.76056338028167,205.88235294117646,354.38,236.76056338028167,205.88235294117646
Tempe,57B,Phys Sci A_B_C,2019,1,3,15,351.6,252.88732394366198,208.82352941176467,351.6,252.88732394366198,208.82352941176467
Tempe,57B,Phys Sci A_B_C,2019,1,3,16,348.07,243.80281690140842,229.4117647058824,348.07,243.80281690140842,229.4117647058824
Tempe,57B,Phys Sci A_B_C,2019,1,3,17,338.06,239.50704225352112,188.2352941176471,338.06,239.50704225352112,188.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,3,18,330.74,246.93661971830986,217.64705882352942,330.74,246.93661971830986,217.64705882352942
Tempe,57B,Phys Sci A_B_C,2019,1,3,19,331.3,218.83802816901408,235.29411764705884,331.3,218.83802816901408,235.29411764705884
Tempe,57B,Phys Sci A_B_C,2019,1,3,20,329.34,208.4154929577465,250.0,329.34,208.4154929577465,250.0
Tempe,57B,Phys Sci A_B_C,2019,1,3,21,319.31,192.64084507042256,232.3529411764706,319.31,192.64084507042256,232.3529411764706
Tempe,57B,Phys Sci A_B_C,2019,1,3,22,301.46,184.64788732394368,220.58823529411762,301.46,184.64788732394368,220.58823529411762
Tempe,57B,Phys Sci A_B_C,2019,1,3,23,290.97,174.50704225352115,194.11764705882354,290.97,174.50704225352115,194.11764705882354
Tempe,57B,Phys Sci A_B_C,2019,1,4,0,291.78,170.45774647887325,202.94117647058826,291.78,170.45774647887325,202.94117647058826
Tempe,57B,Phys Sci A_B_C,2019,1,4,1,292.8,166.6549295774648,211.76470588235298,292.8,166.6549295774648,211.76470588235298
Tempe,57B,Phys Sci A_B_C,2019,1,4,2,292.52,156.83098591549296,217.64705882352942,292.52,156.83098591549296,217.64705882352942
Tempe,57B,Phys Sci A_B_C,2019,1,4,3,292.4,151.443661971831,214.70588235294116,292.4,151.443661971831,214.70588235294116
Tempe,57B,Phys Sci A_B_C,2019,1,4,4,311.4,158.34507042253526,238.2352941176471,311.4,158.34507042253526,238.2352941176471
Tempe,57B,Phys Sci A_B_C,2019,1,4,5,322.83,161.30281690140848,267.64705882352945,322.83,161.30281690140848,267.64705882352945
Tempe,57B,Phys Sci A_B_C,2019,1,4,6,323.9,160.8802816901409,297.0588235294117,323.9,160.8802816901409,297.0588235294117
