campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,57F,Phys Sci F,2019,1,1,0,284.2,172.81690140845075,47.058823529411775,284.2,172.81690140845075,47.058823529411775
Tempe,57F,Phys Sci F,2019,1,1,1,283.8,155.07042253521126,50.00000000000001,283.8,155.07042253521126,50.00000000000001
Tempe,57F,Phys Sci F,2019,1,1,2,283.57,128.87323943661974,55.88235294117647,283.57,128.87323943661974,55.88235294117647
Tempe,57F,Phys Sci F,2019,1,1,3,283.81,119.29577464788734,55.88235294117647,283.81,119.29577464788734,55.88235294117647
Tempe,57F,Phys Sci F,2019,1,1,4,283.25,120.91549295774652,50.00000000000001,283.25,120.91549295774652,50.00000000000001
Tempe,57F,Phys Sci F,2019,1,1,5,294.49,119.54225352112678,79.41176470588236,294.49,119.54225352112678,79.41176470588236
Tempe,57F,Phys Sci F,2019,1,1,6,298.22,132.46478873239434,117.64705882352942,298.22,132.46478873239434,117.64705882352942
Tempe,57F,Phys Sci F,2019,1,1,7,298.43,118.94366197183099,102.94117647058823,298.43,118.94366197183099,102.94117647058823
Tempe,57F,Phys Sci F,2019,1,1,8,296.83,93.38028169014083,100.0,296.83,93.38028169014083,100.0
Tempe,57F,Phys Sci F,2019,1,1,9,299.2,112.39436619718313,97.05882352941177,299.2,112.39436619718313,97.05882352941177
Tempe,57F,Phys Sci F,2019,1,1,10,297.08,134.1549295774648,97.05882352941177,297.08,134.1549295774648,97.05882352941177
Tempe,57F,Phys Sci F,2019,1,1,11,297.95,147.53521126760563,88.23529411764706,297.95,147.53521126760563,88.23529411764706
Tempe,57F,Phys Sci F,2019,1,1,12,297.85,167.25352112676055,85.29411764705883,297.85,167.25352112676055,85.29411764705883
Tempe,57F,Phys Sci F,2019,1,1,13,298.19,172.00704225352115,76.47058823529412,298.19,172.00704225352115,76.47058823529412
Tempe,57F,Phys Sci F,2019,1,1,14,299.53,188.9084507042254,73.52941176470588,299.53,188.9084507042254,73.52941176470588
Tempe,57F,Phys Sci F,2019,1,1,15,301.13,192.28873239436618,79.41176470588236,301.13,192.28873239436618,79.41176470588236
Tempe,57F,Phys Sci F,2019,1,1,16,301.8,209.92957746478874,70.58823529411767,301.8,209.92957746478874,70.58823529411767
Tempe,57F,Phys Sci F,2019,1,1,17,300.12,200.9154929577465,76.47058823529412,300.12,200.9154929577465,76.47058823529412
Tempe,57F,Phys Sci F,2019,1,1,18,299.21,168.80281690140845,76.47058823529412,299.21,168.80281690140845,76.47058823529412
Tempe,57F,Phys Sci F,2019,1,1,19,299.32,175.14084507042256,73.52941176470588,299.32,175.14084507042256,73.52941176470588
Tempe,57F,Phys Sci F,2019,1,1,20,299.02,187.4647887323944,79.41176470588236,299.02,187.4647887323944,79.41176470588236
