campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,6A,Farmer Education,2019,1,1,0,25.11,12.11267606,0,25.11,12.11267606,0
Tempe,6A,Farmer Education,2019,1,1,1,25.1,10.56338028,0,25.1,10.56338028,0
Tempe,6A,Farmer Education,2019,1,1,2,24.93,9.11971831,0,24.93,9.11971831,0
Tempe,6A,Farmer Education,2019,1,1,3,25.11,9.683098592,0,25.11,9.683098592,0
Tempe,6A,Farmer Education,2019,1,1,4,24.9,10.45774648,0,24.9,10.45774648,0
Tempe,6A,Farmer Education,2019,1,1,5,39.6,11.12676056,0,39.6,11.12676056,0
Tempe,6A,Farmer Education,2019,1,1,6,44.61,14.43661972,0,44.61,14.43661972,0
Tempe,6A,Farmer Education,2019,1,1,7,43.65,14.33098592,0,43.65,14.33098592,0
Tempe,6A,Farmer Education,2019,1,1,8,43.04,13.97887324,0,43.04,13.97887324,0
Tempe,6A,Farmer Education,2019,1,1,9,46.78,16.90140845,0,46.78,16.90140845,0
Tempe,6A,Farmer Education,2019,1,1,10,69.51,17.25352113,0,69.51,17.25352113,0
Tempe,6A,Farmer Education,2019,1,1,11,79.35,17.92253521,0,79.35,17.92253521,0
Tempe,6A,Farmer Education,2019,1,1,12,91.36,17.78169014,0,91.36,17.78169014,0
Tempe,6A,Farmer Education,2019,1,1,13,82.26,17.81690141,0,82.26,17.81690141,0
Tempe,6A,Farmer Education,2019,1,1,14,80.32,18.45070423,0,80.32,18.45070423,0
Tempe,6A,Farmer Education,2019,1,1,15,77.65,18.23943662,0,77.65,18.23943662,0
Tempe,6A,Farmer Education,2019,1,1,16,51.21,18.55633803,0,51.21,18.55633803,0
Tempe,6A,Farmer Education,2019,1,1,17,43.14,18.8028169,0,43.14,18.8028169,0
Tempe,6A,Farmer Education,2019,1,1,18,42.95,17.14788732,0,42.95,17.14788732,0
Tempe,6A,Farmer Education,2019,1,1,19,42.71,20.42253521,0,42.71,20.42253521,0
Tempe,6A,Farmer Education,2019,1,1,20,42.49,21.76056338,0,42.49,21.76056338,0
Tempe,6A,Farmer Education,2019,1,1,21,42.03,23.02816901,0,42.03,23.02816901,0
Tempe,6A,Farmer Education,2019,1,1,22,30.88,14.75352113,0,30.88,14.75352113,0
Tempe,6A,Farmer Education,2019,1,1,23,24.63,11.12676056,0,24.63,11.12676056,0
Tempe,6A,Farmer Education,2019,1,2,0,24.59,12.32394366,0,24.59,12.32394366,0
Tempe,6A,Farmer Education,2019,1,2,1,24.54,11.83098592,0,24.54,11.83098592,0
Tempe,6A,Farmer Education,2019,1,2,2,24.31,11.90140845,0,24.31,11.90140845,0
Tempe,6A,Farmer Education,2019,1,2,3,24.38,12.3943662,0,24.38,12.3943662,0
Tempe,6A,Farmer Education,2019,1,2,4,24.37,12.42957746,0,24.37,12.42957746,0
Tempe,6A,Farmer Education,2019,1,2,5,51.73,26.37323944,0,51.73,26.37323944,0
Tempe,6A,Farmer Education,2019,1,2,6,87.34,33.66197183,0,87.34,33.66197183,0
Tempe,6A,Farmer Education,2019,1,2,7,85.22,29.22535211,0,85.22,29.22535211,0
Tempe,6A,Farmer Education,2019,1,2,8,93.81,29.68309859,0,93.81,29.68309859,0
Tempe,6A,Farmer Education,2019,1,2,9,121.48,29.47183099,0,121.48,29.47183099,0
Tempe,6A,Farmer Education,2019,1,2,10,136.77,37.11267606,0,136.77,37.11267606,0
Tempe,6A,Farmer Education,2019,1,2,11,150.35,33.5915493,0,150.35,33.5915493,0
Tempe,6A,Farmer Education,2019,1,2,12,124.01,42.14788732,0,124.01,42.14788732,0
Tempe,6A,Farmer Education,2019,1,2,13,146.58,37.99295775,0,146.58,37.99295775,0
Tempe,6A,Farmer Education,2019,1,2,14,139.99,44.26056338,0,139.99,44.26056338,0
Tempe,6A,Farmer Education,2019,1,2,15,126.15,41.54929577,0,126.15,41.54929577,0
Tempe,6A,Farmer Education,2019,1,2,16,95.6,46.26760563,0,95.6,46.26760563,0
Tempe,6A,Farmer Education,2019,1,2,17,82.74,42.00704225,0,82.74,42.00704225,0
Tempe,6A,Farmer Education,2019,1,2,18,72.03,39.82394366,0,72.03,39.82394366,0
Tempe,6A,Farmer Education,2019,1,2,19,68.54,33.52112676,0,68.54,33.52112676,0
Tempe,6A,Farmer Education,2019,1,2,20,64.02,35.07042254,0,64.02,35.07042254,0
Tempe,6A,Farmer Education,2019,1,2,21,56.54,33.23943662,0,56.54,33.23943662,0
Tempe,6A,Farmer Education,2019,1,2,22,38.11,22.5,0,38.11,22.5,0
Tempe,6A,Farmer Education,2019,1,2,23,26.44,10.28169014,0,26.44,10.28169014,0
Tempe,6A,Farmer Education,2019,1,3,0,24.75,11.37323944,0,24.75,11.37323944,0
Tempe,6A,Farmer Education,2019,1,3,1,25.83,11.54929577,0,25.83,11.54929577,0
Tempe,6A,Farmer Education,2019,1,3,2,26.93,11.47887324,0,26.93,11.47887324,0
Tempe,6A,Farmer Education,2019,1,3,3,26.81,11.51408451,0,26.81,11.51408451,0
Tempe,6A,Farmer Education,2019,1,3,4,25.33,12.25352113,0,25.33,12.25352113,0
Tempe,6A,Farmer Education,2019,1,3,5,51.5,26.86619718,0,51.5,26.86619718,0
Tempe,6A,Farmer Education,2019,1,3,6,85.96,38.16901408,0,85.96,38.16901408,0
Tempe,6A,Farmer Education,2019,1,3,7,82.31,37.14788732,0,82.31,37.14788732,0
Tempe,6A,Farmer Education,2019,1,3,8,93.49,32.67605634,0,93.49,32.67605634,0
Tempe,6A,Farmer Education,2019,1,3,9,115.85,32.46478873,0,115.85,32.46478873,0
Tempe,6A,Farmer Education,2019,1,3,10,139.16,35.45774648,0,139.16,35.45774648,0
Tempe,6A,Farmer Education,2019,1,3,11,147.88,39.47183099,0,147.88,39.47183099,0
Tempe,6A,Farmer Education,2019,1,3,12,150.89,40.49295775,0,150.89,40.49295775,0
Tempe,6A,Farmer Education,2019,1,3,13,146.49,45.42253521,0,146.49,45.42253521,0
Tempe,6A,Farmer Education,2019,1,3,14,142.01,45.24647887,0,142.01,45.24647887,0
Tempe,6A,Farmer Education,2019,1,3,15,126.62,56.86619718,0,126.62,56.86619718,0
Tempe,6A,Farmer Education,2019,1,3,16,100.65,50.70422535,0,100.65,50.70422535,0
Tempe,6A,Farmer Education,2019,1,3,17,81.31,51.16197183,0,81.31,51.16197183,0
Tempe,6A,Farmer Education,2019,1,3,18,70.91,37.74647887,0,70.91,37.74647887,0
Tempe,6A,Farmer Education,2019,1,3,19,64.5,32.57042254,0,64.5,32.57042254,0
Tempe,6A,Farmer Education,2019,1,3,20,62,34.04929577,0,62,34.04929577,0
Tempe,6A,Farmer Education,2019,1,3,21,54.26,34.11971831,0,54.26,34.11971831,0
