campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,6C,Education Lecture Hall,2019,1,1,0,4.75,1.4084507042253522,0.0,4.75,1.4084507042253522,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,1,4.75,3.2394366197183104,0.0,4.75,3.2394366197183104,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,2,4.69,2.8873239436619715,0.0,4.69,2.8873239436619715,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,3,4.72,2.3239436619718314,0.0,4.72,2.3239436619718314,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,4,4.75,0.28169014084507044,0.0,4.75,0.28169014084507044,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,5,4.87,0.17605633802816906,0.0,4.87,0.17605633802816906,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,6,4.67,0.07042253521126761,0.0,4.67,0.07042253521126761,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,7,4.68,0.07042253521126761,0.0,4.68,0.07042253521126761,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,8,4.65,0.07042253521126761,0.0,4.65,0.07042253521126761,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,9,4.59,0.07042253521126761,0.0,4.59,0.07042253521126761,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,10,4.76,0.10563380281690142,0.0,4.76,0.10563380281690142,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,11,4.65,0.07042253521126761,0.0,4.65,0.07042253521126761,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,12,4.67,0.07042253521126761,0.0,4.67,0.07042253521126761,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,13,4.63,0.10563380281690142,0.0,4.63,0.10563380281690142,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,14,4.79,0.24647887323943665,0.0,4.79,0.24647887323943665,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,15,4.71,0.31690140845070425,0.0,4.71,0.31690140845070425,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,16,4.67,0.28169014084507044,0.0,4.67,0.28169014084507044,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,17,4.71,0.14084507042253522,0.0,4.71,0.14084507042253522,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,18,4.75,0.17605633802816906,0.0,4.75,0.17605633802816906,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,19,4.58,0.10563380281690142,0.0,4.58,0.10563380281690142,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,20,4.8,0.10563380281690142,0.0,4.8,0.10563380281690142,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,21,4.5600000000000005,0.035211267605633804,0.0,4.5600000000000005,0.035211267605633804,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,22,4.69,0.0,0.0,4.69,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,1,23,4.63,0.0,0.0,4.63,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,0,4.61,0.0,0.0,4.61,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,1,4.6,0.0,0.0,4.6,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,2,4.53,0.0,0.0,4.53,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,3,4.62,0.0,0.0,4.62,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,4,4.54,0.0,0.0,4.54,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,5,4.53,0.0,0.0,4.53,0.0,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,6,15.05,0.0,5.882352941176472,15.05,0.0,5.882352941176472
Tempe,6C,Education Lecture Hall,2019,1,2,7,17.72,0.0,8.823529411764708,17.72,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,8,18.55,0.0,8.823529411764708,18.55,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,9,18.27,0.0,8.823529411764708,18.27,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,10,17.82,0.0,8.823529411764708,17.82,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,11,17.78,0.0,8.823529411764708,17.78,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,12,19.17,0.0,8.823529411764708,19.17,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,13,19.39,0.0,8.823529411764708,19.39,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,14,18.53,0.0,8.823529411764708,18.53,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,15,18.47,0.0,8.823529411764708,18.47,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,16,18.75,0.0,8.823529411764708,18.75,0.0,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,17,18.09,1.3380281690140847,8.823529411764708,18.09,1.3380281690140847,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,18,17.14,2.007042253521127,8.823529411764708,17.14,2.007042253521127,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,19,17.02,1.7957746478873242,8.823529411764708,17.02,1.7957746478873242,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,20,17.33,1.4788732394366195,8.823529411764708,17.33,1.4788732394366195,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,2,21,11.46,2.4295774647887325,5.882352941176472,11.46,2.4295774647887325,5.882352941176472
Tempe,6C,Education Lecture Hall,2019,1,2,22,4.91,1.9366197183098597,0.0,4.91,1.9366197183098597,0.0
Tempe,6C,Education Lecture Hall,2019,1,2,23,4.79,0.6338028169014085,0.0,4.79,0.6338028169014085,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,0,4.77,0.9859154929577466,0.0,4.77,0.9859154929577466,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,1,4.72,1.7605633802816902,0.0,4.72,1.7605633802816902,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,2,4.68,1.6901408450704227,0.0,4.68,1.6901408450704227,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,3,4.68,1.3732394366197185,0.0,4.68,1.3732394366197185,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,4,4.68,0.9507042253521129,0.0,4.68,0.9507042253521129,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,5,4.66,0.6690140845070424,0.0,4.66,0.6690140845070424,0.0
Tempe,6C,Education Lecture Hall,2019,1,3,6,14.85,0.7394366197183099,5.882352941176472,14.85,0.7394366197183099,5.882352941176472
Tempe,6C,Education Lecture Hall,2019,1,3,7,18.44,0.6338028169014085,8.823529411764708,18.44,0.6338028169014085,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,3,8,19.58,0.9859154929577466,8.823529411764708,19.58,0.9859154929577466,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,3,9,19.85,1.9366197183098597,8.823529411764708,19.85,1.9366197183098597,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,3,10,19.1,1.2676056338028172,8.823529411764708,19.1,1.2676056338028172,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,3,11,18.49,0.14084507042253522,8.823529411764708,18.49,0.14084507042253522,8.823529411764708
Tempe,6C,Education Lecture Hall,2019,1,3,12,19.77,0.14084507042253522,8.823529411764708,19.77,0.14084507042253522,8.823529411764708
