campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
Tempe,14A,Hayden Hall E and W,2019,1,1,0,69.63,28.97887323943663,69.63,28.97887323943663
Tempe,14A,Hayden Hall E and W,2019,1,1,1,67.83,28.83802816901409,67.83,28.83802816901409
Tempe,14A,Hayden Hall E and W,2019,1,1,2,67.73,25.352112676056343,67.73,25.352112676056343
Tempe,14A,Hayden Hall E and W,2019,1,1,3,69.66,24.40140845070423,69.66,24.40140845070423
Tempe,14A,Hayden Hall E and W,2019,1,1,4,68.43,24.36619718309859,68.43,24.36619718309859
Tempe,14A,Hayden Hall E and W,2019,1,1,5,66.86,25.52816901408451,66.86,25.52816901408451
Tempe,14A,Hayden Hall E and W,2019,1,1,6,67.38,25.563380281690144,67.38,25.563380281690144
Tempe,14A,Hayden Hall E and W,2019,1,1,7,66.66,25.809859154929576,66.66,25.809859154929576
Tempe,14A,Hayden Hall E and W,2019,1,1,8,63.13,20.24647887323944,63.13,20.24647887323944
Tempe,14A,Hayden Hall E and W,2019,1,1,9,61.68,20.70422535211268,61.68,20.70422535211268
Tempe,14A,Hayden Hall E and W,2019,1,1,10,62.11,20.633802816901408,62.11,20.633802816901408
Tempe,14A,Hayden Hall E and W,2019,1,1,11,66.42,22.570422535211268,66.42,22.570422535211268
Tempe,14A,Hayden Hall E and W,2019,1,1,12,64.96,23.943661971830988,64.96,23.943661971830988
Tempe,14A,Hayden Hall E and W,2019,1,1,13,71.06,24.753521126760567,71.06,24.753521126760567
Tempe,14A,Hayden Hall E and W,2019,1,1,14,66.55,25.95070422535212,66.55,25.95070422535212
Tempe,14A,Hayden Hall E and W,2019,1,1,15,64.24,26.02112676056338,64.24,26.02112676056338
Tempe,14A,Hayden Hall E and W,2019,1,1,16,65.7,27.253521126760567,65.7,27.253521126760567
Tempe,14A,Hayden Hall E and W,2019,1,1,17,69.81,24.084507042253524,69.81,24.084507042253524
Tempe,14A,Hayden Hall E and W,2019,1,1,18,69.87,22.95774647887324,69.87,22.95774647887324
Tempe,14A,Hayden Hall E and W,2019,1,1,19,72.19,21.619718309859167,72.19,21.619718309859167
Tempe,14A,Hayden Hall E and W,2019,1,1,20,75.12,25.70422535211268,75.12,25.70422535211268
Tempe,14A,Hayden Hall E and W,2019,1,1,21,72.53,26.37323943661972,72.53,26.37323943661972
Tempe,14A,Hayden Hall E and W,2019,1,1,22,71.68,28.69718309859155,71.68,28.69718309859155
Tempe,14A,Hayden Hall E and W,2019,1,1,23,71.24,27.60563380281691,71.24,27.60563380281691
Tempe,14A,Hayden Hall E and W,2019,1,2,0,71.21,28.098591549295783,71.21,28.098591549295783
Tempe,14A,Hayden Hall E and W,2019,1,2,1,71.29,27.676056338028175,71.29,27.676056338028175
Tempe,14A,Hayden Hall E and W,2019,1,2,2,69.86,27.21830985915493,69.86,27.21830985915493
Tempe,14A,Hayden Hall E and W,2019,1,2,3,68.44,26.86619718309859,68.44,26.86619718309859
Tempe,14A,Hayden Hall E and W,2019,1,2,4,68.35,26.90140845070423,68.35,26.90140845070423
Tempe,14A,Hayden Hall E and W,2019,1,2,5,68.52,26.971830985915496,68.52,26.971830985915496
Tempe,14A,Hayden Hall E and W,2019,1,2,6,70.28,25.211267605633804,70.28,25.211267605633804
Tempe,14A,Hayden Hall E and W,2019,1,2,7,70.09,23.52112676056338,70.09,23.52112676056338
Tempe,14A,Hayden Hall E and W,2019,1,2,8,65.54,19.54225352112676,65.54,19.54225352112676
Tempe,14A,Hayden Hall E and W,2019,1,2,9,65.88,23.556338028169016,65.88,23.556338028169016
Tempe,14A,Hayden Hall E and W,2019,1,2,10,68.73,22.676056338028175,68.73,22.676056338028175
Tempe,14A,Hayden Hall E and W,2019,1,2,11,65.46,29.014084507042256,65.46,29.014084507042256
Tempe,14A,Hayden Hall E and W,2019,1,2,12,71.44,31.443661971830988,71.44,31.443661971830988
Tempe,14A,Hayden Hall E and W,2019,1,2,13,70.13,29.11971830985917,70.13,29.11971830985917
Tempe,14A,Hayden Hall E and W,2019,1,2,14,70.08,27.711267605633807,70.08,27.711267605633807
Tempe,14A,Hayden Hall E and W,2019,1,2,15,71.34,27.07746478873239,71.34,27.07746478873239
Tempe,14A,Hayden Hall E and W,2019,1,2,16,69.08,22.183098591549296,69.08,22.183098591549296
Tempe,14A,Hayden Hall E and W,2019,1,2,17,72.64,30.24647887323944,72.64,30.24647887323944
Tempe,14A,Hayden Hall E and W,2019,1,2,18,72.59,29.33098591549296,72.59,29.33098591549296
Tempe,14A,Hayden Hall E and W,2019,1,2,19,77.99,28.098591549295783,77.99,28.098591549295783
Tempe,14A,Hayden Hall E and W,2019,1,2,20,77.4,29.36619718309859,77.4,29.36619718309859
Tempe,14A,Hayden Hall E and W,2019,1,2,21,74.06,28.556338028169016,74.06,28.556338028169016
Tempe,14A,Hayden Hall E and W,2019,1,2,22,73.23,27.394366197183103,73.23,27.394366197183103
Tempe,14A,Hayden Hall E and W,2019,1,2,23,72.46,26.549295774647888,72.46,26.549295774647888
Tempe,14A,Hayden Hall E and W,2019,1,3,0,72.8,27.359154929577464,72.8,27.359154929577464
Tempe,14A,Hayden Hall E and W,2019,1,3,1,82.72,28.76760563380282,82.72,28.76760563380282
Tempe,14A,Hayden Hall E and W,2019,1,3,2,70.82,29.683098591549296,70.82,29.683098591549296
Tempe,14A,Hayden Hall E and W,2019,1,3,3,70.61,28.34507042253521,70.61,28.34507042253521
Tempe,14A,Hayden Hall E and W,2019,1,3,4,71.21,33.767605633802816,71.21,33.767605633802816
Tempe,14A,Hayden Hall E and W,2019,1,3,5,70.63,38.34507042253522,70.63,38.34507042253522
Tempe,14A,Hayden Hall E and W,2019,1,3,6,71.7,47.11267605633803,71.7,47.11267605633803
Tempe,14A,Hayden Hall E and W,2019,1,3,7,70.97,50.42253521126761,70.97,50.42253521126761
Tempe,14A,Hayden Hall E and W,2019,1,3,8,68.94,45.457746478873254,68.94,45.457746478873254
Tempe,14A,Hayden Hall E and W,2019,1,3,9,69.22,28.45070422535212,69.22,28.45070422535212
Tempe,14A,Hayden Hall E and W,2019,1,3,10,68.63,25.88028169014085,68.63,25.88028169014085
Tempe,14A,Hayden Hall E and W,2019,1,3,11,73.56,27.429577464788732,73.56,27.429577464788732
Tempe,14A,Hayden Hall E and W,2019,1,3,12,67.1,25.88028169014085,67.1,25.88028169014085
Tempe,14A,Hayden Hall E and W,2019,1,3,13,66.75,25.66901408450705,66.75,25.66901408450705
Tempe,14A,Hayden Hall E and W,2019,1,3,14,67.13,37.14788732394367,67.13,37.14788732394367
Tempe,14A,Hayden Hall E and W,2019,1,3,15,71.57,38.556338028169016,71.57,38.556338028169016
Tempe,14A,Hayden Hall E and W,2019,1,3,16,70.4,35.528169014084504,70.4,35.528169014084504
Tempe,14A,Hayden Hall E and W,2019,1,3,17,76.03,38.41549295774648,76.03,38.41549295774648
Tempe,14A,Hayden Hall E and W,2019,1,3,18,73.56,24.788732394366196,73.56,24.788732394366196
Tempe,14A,Hayden Hall E and W,2019,1,3,19,77.67,27.570422535211268,77.67,27.570422535211268
Tempe,14A,Hayden Hall E and W,2019,1,3,20,75.08,28.415492957746487,75.08,28.415492957746487
Tempe,14A,Hayden Hall E and W,2019,1,3,21,75.85,26.65492957746479,75.85,26.65492957746479
Tempe,14A,Hayden Hall E and W,2019,1,3,22,79.87,26.161971830985927,79.87,26.161971830985927
Tempe,14A,Hayden Hall E and W,2019,1,3,23,76.51,27.253521126760567,76.51,27.253521126760567
Tempe,14A,Hayden Hall E and W,2019,1,4,0,81.13,28.309859154929576,81.13,28.309859154929576
Tempe,14A,Hayden Hall E and W,2019,1,4,1,77.13,32.1830985915493,77.13,32.1830985915493
Tempe,14A,Hayden Hall E and W,2019,1,4,2,71.6,32.07746478873239,71.6,32.07746478873239
Tempe,14A,Hayden Hall E and W,2019,1,4,3,72.36,31.795774647887324,72.36,31.795774647887324
Tempe,14A,Hayden Hall E and W,2019,1,4,4,69.98,28.661971830985927,69.98,28.661971830985927
Tempe,14A,Hayden Hall E and W,2019,1,4,5,69.93,29.647887323943664,69.93,29.647887323943664
Tempe,14A,Hayden Hall E and W,2019,1,4,6,71.08,28.02816901408451,71.08,28.02816901408451
Tempe,14A,Hayden Hall E and W,2019,1,4,7,71.31,28.661971830985927,71.31,28.661971830985927
Tempe,14A,Hayden Hall E and W,2019,1,4,8,67.63,28.45070422535212,67.63,28.45070422535212
Tempe,14A,Hayden Hall E and W,2019,1,4,9,68.87,28.34507042253521,68.87,28.34507042253521
Tempe,14A,Hayden Hall E and W,2019,1,4,10,69.74,31.760563380281692,69.74,31.760563380281692
Tempe,14A,Hayden Hall E and W,2019,1,4,11,65.59,42.11267605633803,65.59,42.11267605633803
Tempe,14A,Hayden Hall E and W,2019,1,4,12,66.09,36.93661971830986,66.09,36.93661971830986
Tempe,14A,Hayden Hall E and W,2019,1,4,13,69.71,37.6056338028169,69.71,37.6056338028169
Tempe,14A,Hayden Hall E and W,2019,1,4,14,18.26,9.471830985915494,18.26,9.471830985915494
Tempe,14A,Hayden Hall E and W,2019,1,4,15,0.0,0.0,0.0,0.0
Tempe,14A,Hayden Hall E and W,2019,1,4,16,0.0,0.0,0.0,0.0
Tempe,14A,Hayden Hall E and W,2019,1,4,17,0.0,0.0,0.0,0.0
Tempe,14A,Hayden Hall E and W,2019,1,4,18,0.0,0.0,0.0,0.0
Tempe,14A,Hayden Hall E and W,2019,1,4,19,0.0,0.0,0.0,0.0
