campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
Tempe,162D,Tooker House Dining,2019,1,1,0,60.5,3.69718309859155,60.5,3.69718309859155
Tempe,162D,Tooker House Dining,2019,1,1,1,59.22,6.408450704225353,59.22,6.408450704225353
Tempe,162D,Tooker House Dining,2019,1,1,2,58.05,2.9577464788732395,58.05,2.9577464788732395
Tempe,162D,Tooker House Dining,2019,1,1,3,58.24,3.87323943661972,58.24,3.87323943661972
Tempe,162D,Tooker House Dining,2019,1,1,4,58.98,1.4436619718309858,58.98,1.4436619718309858
Tempe,162D,Tooker House Dining,2019,1,1,5,59.82,2.8521126760563384,59.82,2.8521126760563384
Tempe,162D,Tooker House Dining,2019,1,1,6,58.1,2.0422535211267605,58.1,2.0422535211267605
Tempe,162D,Tooker House Dining,2019,1,1,7,58.93,2.992957746478873,58.93,2.992957746478873
Tempe,162D,Tooker House Dining,2019,1,1,8,57.61,1.6549295774647887,57.61,1.6549295774647887
Tempe,162D,Tooker House Dining,2019,1,1,9,58.51,1.6197183098591552,58.51,1.6197183098591552
Tempe,162D,Tooker House Dining,2019,1,1,10,58.22,3.5915492957746484,58.22,3.5915492957746484
Tempe,162D,Tooker House Dining,2019,1,1,11,58.15,2.676056338028169,58.15,2.676056338028169
Tempe,162D,Tooker House Dining,2019,1,1,12,60.8,4.366197183098592,60.8,4.366197183098592
Tempe,162D,Tooker House Dining,2019,1,1,13,59.78,2.8521126760563384,59.78,2.8521126760563384
Tempe,162D,Tooker House Dining,2019,1,1,14,59.71,1.7253521126760565,59.71,1.7253521126760565
Tempe,162D,Tooker House Dining,2019,1,1,15,61.14,1.7957746478873242,61.14,1.7957746478873242
Tempe,162D,Tooker House Dining,2019,1,1,16,58.47,1.6901408450704227,58.47,1.6901408450704227
Tempe,162D,Tooker House Dining,2019,1,1,17,58.84,2.5,58.84,2.5
Tempe,162D,Tooker House Dining,2019,1,1,18,60.85,1.2323943661971832,60.85,1.2323943661971832
Tempe,162D,Tooker House Dining,2019,1,1,19,60.02,2.007042253521127,60.02,2.007042253521127
Tempe,162D,Tooker House Dining,2019,1,1,20,59.4,1.2323943661971832,59.4,1.2323943661971832
Tempe,162D,Tooker House Dining,2019,1,1,21,58.92,2.570422535211268,58.92,2.570422535211268
Tempe,162D,Tooker House Dining,2019,1,1,22,59.97,2.183098591549296,59.97,2.183098591549296
Tempe,162D,Tooker House Dining,2019,1,1,23,58.27,3.063380281690141,58.27,3.063380281690141
Tempe,162D,Tooker House Dining,2019,1,2,0,60.41,2.676056338028169,60.41,2.676056338028169
Tempe,162D,Tooker House Dining,2019,1,2,1,58.38,2.0422535211267605,58.38,2.0422535211267605
Tempe,162D,Tooker House Dining,2019,1,2,2,58.71,1.9718309859154928,58.71,1.9718309859154928
Tempe,162D,Tooker House Dining,2019,1,2,3,58.62,1.7253521126760565,58.62,1.7253521126760565
Tempe,162D,Tooker House Dining,2019,1,2,4,84.63,2.2535211267605635,84.63,2.2535211267605635
Tempe,162D,Tooker House Dining,2019,1,2,5,64.35,3.3098591549295766,64.35,3.3098591549295766
Tempe,162D,Tooker House Dining,2019,1,2,6,62.56,0.24647887323943665,62.56,0.24647887323943665
Tempe,162D,Tooker House Dining,2019,1,2,7,65.59,0.8802816901408451,65.59,0.8802816901408451
Tempe,162D,Tooker House Dining,2019,1,2,8,64.8,0.7394366197183099,64.8,0.7394366197183099
Tempe,162D,Tooker House Dining,2019,1,2,9,76.24,0.8098591549295776,76.24,0.8098591549295776
Tempe,162D,Tooker House Dining,2019,1,2,10,70.51,1.7957746478873242,70.51,1.7957746478873242
Tempe,162D,Tooker House Dining,2019,1,2,11,64.0,3.0985915492957745,64.0,3.0985915492957745
Tempe,162D,Tooker House Dining,2019,1,2,12,67.18,1.7957746478873242,67.18,1.7957746478873242
Tempe,162D,Tooker House Dining,2019,1,2,13,64.73,1.4436619718309858,64.73,1.4436619718309858
Tempe,162D,Tooker House Dining,2019,1,2,14,63.45,1.3028169014084507,63.45,1.3028169014084507
Tempe,162D,Tooker House Dining,2019,1,2,15,62.69,0.4929577464788733,62.69,0.4929577464788733
Tempe,162D,Tooker House Dining,2019,1,2,16,60.47,1.4436619718309858,60.47,1.4436619718309858
Tempe,162D,Tooker House Dining,2019,1,2,17,59.54,0.4225352112676057,59.54,0.4225352112676057
Tempe,162D,Tooker House Dining,2019,1,2,18,62.89,1.4084507042253522,62.89,1.4084507042253522
Tempe,162D,Tooker House Dining,2019,1,2,19,61.51,0.7042253521126761,61.51,0.7042253521126761
Tempe,162D,Tooker House Dining,2019,1,2,20,60.22,0.0,60.22,0.0
Tempe,162D,Tooker House Dining,2019,1,2,21,61.34,1.7957746478873242,61.34,1.7957746478873242
Tempe,162D,Tooker House Dining,2019,1,2,22,61.15,1.1267605633802815,61.15,1.1267605633802815
Tempe,162D,Tooker House Dining,2019,1,2,23,59.66,1.1619718309859155,59.66,1.1619718309859155
Tempe,162D,Tooker House Dining,2019,1,3,0,61.57,0.9507042253521129,61.57,0.9507042253521129
Tempe,162D,Tooker House Dining,2019,1,3,1,58.77,0.5633802816901409,58.77,0.5633802816901409
Tempe,162D,Tooker House Dining,2019,1,3,2,60.13,1.8309859154929584,60.13,1.8309859154929584
Tempe,162D,Tooker House Dining,2019,1,3,3,59.25,0.6338028169014085,59.25,0.6338028169014085
Tempe,162D,Tooker House Dining,2019,1,3,4,62.22,0.9507042253521129,62.22,0.9507042253521129
Tempe,162D,Tooker House Dining,2019,1,3,5,64.21,0.9859154929577466,64.21,0.9859154929577466
Tempe,162D,Tooker House Dining,2019,1,3,6,61.85,0.8450704225352114,61.85,0.8450704225352114
Tempe,162D,Tooker House Dining,2019,1,3,7,61.73,0.8802816901408451,61.73,0.8802816901408451
Tempe,162D,Tooker House Dining,2019,1,3,8,62.31,2.359154929577465,62.31,2.359154929577465
Tempe,162D,Tooker House Dining,2019,1,3,9,73.86,0.28169014084507044,73.86,0.28169014084507044
Tempe,162D,Tooker House Dining,2019,1,3,10,76.79,0.0,76.79,0.0
Tempe,162D,Tooker House Dining,2019,1,3,11,63.98,1.0563380281690142,63.98,1.0563380281690142
Tempe,162D,Tooker House Dining,2019,1,3,12,65.98,1.3732394366197185,65.98,1.3732394366197185
Tempe,162D,Tooker House Dining,2019,1,3,13,90.77,2.183098591549296,90.77,2.183098591549296
Tempe,162D,Tooker House Dining,2019,1,3,14,83.66,2.5352112676056344,83.66,2.5352112676056344
Tempe,162D,Tooker House Dining,2019,1,3,15,76.68,15.457746478873243,76.68,15.457746478873243
Tempe,162D,Tooker House Dining,2019,1,3,16,62.51,7.957746478873237,62.51,7.957746478873237
Tempe,162D,Tooker House Dining,2019,1,3,17,60.15,11.26760563380282,60.15,11.26760563380282
Tempe,162D,Tooker House Dining,2019,1,3,18,62.46,11.37323943661972,62.46,11.37323943661972
Tempe,162D,Tooker House Dining,2019,1,3,19,59.68,4.190140845070424,59.68,4.190140845070424
Tempe,162D,Tooker House Dining,2019,1,3,20,60.16,3.908450704225353,60.16,3.908450704225353
Tempe,162D,Tooker House Dining,2019,1,3,21,58.7,1.7253521126760565,58.7,1.7253521126760565
Tempe,162D,Tooker House Dining,2019,1,3,22,58.93,2.8873239436619715,58.93,2.8873239436619715
Tempe,162D,Tooker House Dining,2019,1,3,23,58.56,2.605633802816901,58.56,2.605633802816901
Tempe,162D,Tooker House Dining,2019,1,4,0,60.74,1.4084507042253522,60.74,1.4084507042253522
Tempe,162D,Tooker House Dining,2019,1,4,1,59.48,3.274647887323944,59.48,3.274647887323944
Tempe,162D,Tooker House Dining,2019,1,4,2,59.62,3.1338028169014085,59.62,3.1338028169014085
Tempe,162D,Tooker House Dining,2019,1,4,3,61.76,2.1478873239436616,61.76,2.1478873239436616
Tempe,162D,Tooker House Dining,2019,1,4,4,59.6,1.1619718309859155,59.6,1.1619718309859155
Tempe,162D,Tooker House Dining,2019,1,4,5,65.52,1.9014084507042257,65.52,1.9014084507042257
Tempe,162D,Tooker House Dining,2019,1,4,6,62.87,2.9225352112676064,62.87,2.9225352112676064
Tempe,162D,Tooker House Dining,2019,1,4,7,62.31,2.359154929577465,62.31,2.359154929577465
Tempe,162D,Tooker House Dining,2019,1,4,8,65.16,3.485915492957747,65.16,3.485915492957747
Tempe,162D,Tooker House Dining,2019,1,4,9,66.44,4.225352112676057,66.44,4.225352112676057
Tempe,162D,Tooker House Dining,2019,1,4,10,66.76,3.3098591549295766,66.76,3.3098591549295766
