campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
Tempe,178,College Avenue Commons,2019,1,1,0,183.49,7.253521126760564,183.49,7.253521126760564
Tempe,178,College Avenue Commons,2019,1,1,1,208.06,9.119718309859156,208.06,9.119718309859156
Tempe,178,College Avenue Commons,2019,1,1,2,211.18,8.41549295774648,211.18,8.41549295774648
Tempe,178,College Avenue Commons,2019,1,1,3,216.68,6.584507042253523,216.68,6.584507042253523
Tempe,178,College Avenue Commons,2019,1,1,4,212.95,5.880281690140845,212.95,5.880281690140845
Tempe,178,College Avenue Commons,2019,1,1,5,216.22,5.563380281690142,216.22,5.563380281690142
Tempe,178,College Avenue Commons,2019,1,1,6,223.98,6.232394366197183,223.98,6.232394366197183
Tempe,178,College Avenue Commons,2019,1,1,7,264.12,5.63380281690141,264.12,5.63380281690141
Tempe,178,College Avenue Commons,2019,1,1,8,276.41,4.119718309859155,276.41,4.119718309859155
Tempe,178,College Avenue Commons,2019,1,1,9,279.84,4.154929577464789,279.84,4.154929577464789
Tempe,178,College Avenue Commons,2019,1,1,10,271.72,5.281690140845071,271.72,5.281690140845071
Tempe,178,College Avenue Commons,2019,1,1,11,259.94,7.570422535211267,259.94,7.570422535211267
Tempe,178,College Avenue Commons,2019,1,1,12,235.78,5.774647887323942,235.78,5.774647887323942
Tempe,178,College Avenue Commons,2019,1,1,13,212.62,5.915492957746482,212.62,5.915492957746482
Tempe,178,College Avenue Commons,2019,1,1,14,196.95,5.774647887323942,196.95,5.774647887323942
Tempe,178,College Avenue Commons,2019,1,1,15,189.95,6.408450704225353,189.95,6.408450704225353
Tempe,178,College Avenue Commons,2019,1,1,16,187.47,7.640845070422536,187.47,7.640845070422536
Tempe,178,College Avenue Commons,2019,1,1,17,204.71,6.690140845070423,204.71,6.690140845070423
Tempe,178,College Avenue Commons,2019,1,1,18,222.36,5.563380281690142,222.36,5.563380281690142
Tempe,178,College Avenue Commons,2019,1,1,19,231.76,4.647887323943663,231.76,4.647887323943663
Tempe,178,College Avenue Commons,2019,1,1,20,233.1,6.478873239436622,233.1,6.478873239436622
Tempe,178,College Avenue Commons,2019,1,1,21,217.97,8.591549295774646,217.97,8.591549295774646
Tempe,178,College Avenue Commons,2019,1,1,22,215.67,8.838028169014084,215.67,8.838028169014084
Tempe,178,College Avenue Commons,2019,1,1,23,217.54,6.338028169014086,217.54,6.338028169014086
Tempe,178,College Avenue Commons,2019,1,2,0,190.5,5.774647887323942,190.5,5.774647887323942
Tempe,178,College Avenue Commons,2019,1,2,1,168.7,7.359154929577465,168.7,7.359154929577465
Tempe,178,College Avenue Commons,2019,1,2,2,174.06,9.647887323943664,174.06,9.647887323943664
Tempe,178,College Avenue Commons,2019,1,2,3,177.8,6.302816901408451,177.8,6.302816901408451
Tempe,178,College Avenue Commons,2019,1,2,4,180.8,5.985915492957747,180.8,5.985915492957747
Tempe,178,College Avenue Commons,2019,1,2,5,277.54,5.985915492957747,277.54,5.985915492957747
Tempe,178,College Avenue Commons,2019,1,2,6,316.84,5.809859154929577,316.84,5.809859154929577
Tempe,178,College Avenue Commons,2019,1,2,7,363.45,5.915492957746482,363.45,5.915492957746482
Tempe,178,College Avenue Commons,2019,1,2,8,381.25,5.563380281690142,381.25,5.563380281690142
Tempe,178,College Avenue Commons,2019,1,2,9,372.13,5.985915492957747,372.13,5.985915492957747
Tempe,178,College Avenue Commons,2019,1,2,10,353.15,9.471830985915494,353.15,9.471830985915494
Tempe,178,College Avenue Commons,2019,1,2,11,319.61,10.211267605633807,319.61,10.211267605633807
Tempe,178,College Avenue Commons,2019,1,2,12,294.41,10.316901408450708,294.41,10.316901408450708
Tempe,178,College Avenue Commons,2019,1,2,13,255.1,8.063380281690142,255.1,8.063380281690142
Tempe,178,College Avenue Commons,2019,1,2,14,252.88,6.338028169014086,252.88,6.338028169014086
Tempe,178,College Avenue Commons,2019,1,2,15,246.17,6.091549295774647,246.17,6.091549295774647
Tempe,178,College Avenue Commons,2019,1,2,16,190.1,5.950704225352112,190.1,5.950704225352112
Tempe,178,College Avenue Commons,2019,1,2,17,221.21,6.056338028169015,221.21,6.056338028169015
Tempe,178,College Avenue Commons,2019,1,2,18,227.68,7.042253521126763,227.68,7.042253521126763
Tempe,178,College Avenue Commons,2019,1,2,19,228.87,6.232394366197183,228.87,6.232394366197183
Tempe,178,College Avenue Commons,2019,1,2,20,293.02,6.478873239436622,293.02,6.478873239436622
Tempe,178,College Avenue Commons,2019,1,2,21,196.41,6.338028169014086,196.41,6.338028169014086
Tempe,178,College Avenue Commons,2019,1,2,22,177.55,6.126760563380282,177.55,6.126760563380282
Tempe,178,College Avenue Commons,2019,1,2,23,181.8,6.971830985915494,181.8,6.971830985915494
Tempe,178,College Avenue Commons,2019,1,3,0,182.58,8.23943661971831,182.58,8.23943661971831
Tempe,178,College Avenue Commons,2019,1,3,1,188.75,7.711267605633802,188.75,7.711267605633802
Tempe,178,College Avenue Commons,2019,1,3,2,192.36,6.654929577464789,192.36,6.654929577464789
Tempe,178,College Avenue Commons,2019,1,3,3,177.27,6.056338028169015,177.27,6.056338028169015
Tempe,178,College Avenue Commons,2019,1,3,4,188.81,6.93661971830986,188.81,6.93661971830986
Tempe,178,College Avenue Commons,2019,1,3,5,294.26,4.471830985915493,294.26,4.471830985915493
Tempe,178,College Avenue Commons,2019,1,3,6,350.95,4.154929577464789,350.95,4.154929577464789
Tempe,178,College Avenue Commons,2019,1,3,7,396.72,7.359154929577465,396.72,7.359154929577465
Tempe,178,College Avenue Commons,2019,1,3,8,394.17,9.964788732394368,394.17,9.964788732394368
Tempe,178,College Avenue Commons,2019,1,3,9,360.67,8.767605633802816,360.67,8.767605633802816
Tempe,178,College Avenue Commons,2019,1,3,10,358.36,7.288732394366198,358.36,7.288732394366198
Tempe,178,College Avenue Commons,2019,1,3,11,286.93,6.338028169014086,286.93,6.338028169014086
Tempe,178,College Avenue Commons,2019,1,3,12,289.41,8.41549295774648,289.41,8.41549295774648
Tempe,178,College Avenue Commons,2019,1,3,13,282.77,23.098591549295783,282.77,23.098591549295783
Tempe,178,College Avenue Commons,2019,1,3,14,275.97,38.02816901408449,275.97,38.02816901408449
Tempe,178,College Avenue Commons,2019,1,3,15,280.26,44.542253521126774,280.26,44.542253521126774
Tempe,178,College Avenue Commons,2019,1,3,16,240.42,35.14084507042254,240.42,35.14084507042254
Tempe,178,College Avenue Commons,2019,1,3,17,221.84,31.126760563380284,221.84,31.126760563380284
Tempe,178,College Avenue Commons,2019,1,3,18,226.83,26.83098591549296,226.83,26.83098591549296
Tempe,178,College Avenue Commons,2019,1,3,19,238.8,21.83098591549296,238.8,21.83098591549296
Tempe,178,College Avenue Commons,2019,1,3,20,255.2,10.070422535211268,255.2,10.070422535211268
Tempe,178,College Avenue Commons,2019,1,3,21,192.95,10.492957746478874,192.95,10.492957746478874
Tempe,178,College Avenue Commons,2019,1,3,22,151.82,10.880281690140846,151.82,10.880281690140846
Tempe,178,College Avenue Commons,2019,1,3,23,154.86,8.732394366197184,154.86,8.732394366197184
Tempe,178,College Avenue Commons,2019,1,4,0,168.71,8.943661971830986,168.71,8.943661971830986
Tempe,178,College Avenue Commons,2019,1,4,1,165.89,9.507042253521126,165.89,9.507042253521126
Tempe,178,College Avenue Commons,2019,1,4,2,169.55,8.626760563380284,169.55,8.626760563380284
Tempe,178,College Avenue Commons,2019,1,4,3,172.28,8.591549295774646,172.28,8.591549295774646
Tempe,178,College Avenue Commons,2019,1,4,4,169.58,7.570422535211267,169.58,7.570422535211267
Tempe,178,College Avenue Commons,2019,1,4,5,267.27,7.781690140845071,267.27,7.781690140845071
Tempe,178,College Avenue Commons,2019,1,4,6,306.32,9.507042253521126,306.32,9.507042253521126
Tempe,178,College Avenue Commons,2019,1,4,7,352.33,7.323943661971833,352.33,7.323943661971833
Tempe,178,College Avenue Commons,2019,1,4,8,368.38,5.492957746478874,368.38,5.492957746478874
Tempe,178,College Avenue Commons,2019,1,4,9,355.26,7.3943661971831,355.26,7.3943661971831
Tempe,178,College Avenue Commons,2019,1,4,10,333.18,26.549295774647888,333.18,26.549295774647888
Tempe,178,College Avenue Commons,2019,1,4,11,298.63,54.542253521126774,298.63,54.542253521126774
Tempe,178,College Avenue Commons,2019,1,4,12,278.08,77.60563380281691,278.08,77.60563380281691
Tempe,178,College Avenue Commons,2019,1,4,13,277.42,91.12676056338027,277.42,91.12676056338027
Tempe,178,College Avenue Commons,2019,1,4,14,284.29,111.69014084507045,284.29,111.69014084507045
Tempe,178,College Avenue Commons,2019,1,4,15,274.57,132.9225352112676,274.57,132.9225352112676
Tempe,178,College Avenue Commons,2019,1,4,16,241.24,132.1830985915493,241.24,132.1830985915493
Tempe,178,College Avenue Commons,2019,1,4,17,223.68,87.78169014084507,223.68,87.78169014084507
Tempe,178,College Avenue Commons,2019,1,4,18,222.12,64.50704225352113,222.12,64.50704225352113
Tempe,178,College Avenue Commons,2019,1,4,19,214.81,49.2605633802817,214.81,49.2605633802817
Tempe,178,College Avenue Commons,2019,1,4,20,217.3,35.70422535211268,217.3,35.70422535211268
Tempe,178,College Avenue Commons,2019,1,4,21,183.44,29.71830985915493,183.44,29.71830985915493
Tempe,178,College Avenue Commons,2019,1,4,22,172.13,21.30281690140845,172.13,21.30281690140845
Tempe,178,College Avenue Commons,2019,1,4,23,175.48,20.457746478873247,175.48,20.457746478873247
Tempe,178,College Avenue Commons,2019,1,5,0,178.71,21.443661971830988,178.71,21.443661971830988
Tempe,178,College Avenue Commons,2019,1,5,1,180.52,24.36619718309859,180.52,24.36619718309859
Tempe,178,College Avenue Commons,2019,1,5,2,178.26,22.253521126760567,178.26,22.253521126760567
Tempe,178,College Avenue Commons,2019,1,5,3,168.73,22.112676056338028,168.73,22.112676056338028
Tempe,178,College Avenue Commons,2019,1,5,4,175.34,20.316901408450704,175.34,20.316901408450704
Tempe,178,College Avenue Commons,2019,1,5,5,240.46,25.88028169014085,240.46,25.88028169014085
Tempe,178,College Avenue Commons,2019,1,5,6,289.42,5.880281690140845,289.42,5.880281690140845
Tempe,178,College Avenue Commons,2019,1,5,7,310.37,6.725352112676058,310.37,6.725352112676058
Tempe,178,College Avenue Commons,2019,1,5,8,300.12,8.23943661971831,300.12,8.23943661971831
Tempe,178,College Avenue Commons,2019,1,5,9,280.73,15.915492957746475,280.73,15.915492957746475
Tempe,178,College Avenue Commons,2019,1,5,10,262.95,33.48591549295775,262.95,33.48591549295775
Tempe,178,College Avenue Commons,2019,1,5,11,231.7,50.73943661971831,231.7,50.73943661971831
Tempe,178,College Avenue Commons,2019,1,5,12,203.37,57.14788732394367,203.37,57.14788732394367
Tempe,178,College Avenue Commons,2019,1,5,13,209.63,100.98591549295776,209.63,100.98591549295776
Tempe,178,College Avenue Commons,2019,1,5,14,192.56,113.76760563380286,192.56,113.76760563380286
Tempe,178,College Avenue Commons,2019,1,5,15,191.86,114.64788732394369,191.86,114.64788732394369
Tempe,178,College Avenue Commons,2019,1,5,16,197.57,110.7042253521127,197.57,110.7042253521127
Tempe,178,College Avenue Commons,2019,1,5,17,200.21,79.11971830985915,200.21,79.11971830985915
Tempe,178,College Avenue Commons,2019,1,5,18,220.06,84.89436619718309,220.06,84.89436619718309
Tempe,178,College Avenue Commons,2019,1,5,19,221.18,66.54929577464789,221.18,66.54929577464789
Tempe,178,College Avenue Commons,2019,1,5,20,240.17,74.85915492957747,240.17,74.85915492957747
Tempe,178,College Avenue Commons,2019,1,5,21,174.86,36.8661971830986,174.86,36.8661971830986
Tempe,178,College Avenue Commons,2019,1,5,22,146.21,32.21830985915493,146.21,32.21830985915493
Tempe,178,College Avenue Commons,2019,1,5,23,144.63,30.176056338028175,144.63,30.176056338028175
Tempe,178,College Avenue Commons,2019,1,6,0,153.05,25.66901408450705,153.05,25.66901408450705
Tempe,178,College Avenue Commons,2019,1,6,1,155.35,26.02112676056338,155.35,26.02112676056338
Tempe,178,College Avenue Commons,2019,1,6,2,150.62,22.112676056338028,150.62,22.112676056338028
Tempe,178,College Avenue Commons,2019,1,6,3,152.57,20.95070422535212,152.57,20.95070422535212
Tempe,178,College Avenue Commons,2019,1,6,4,151.36,17.95774647887324,151.36,17.95774647887324
Tempe,178,College Avenue Commons,2019,1,6,5,220.74,39.647887323943664,220.74,39.647887323943664
Tempe,178,College Avenue Commons,2019,1,6,6,261.2,8.345070422535214,261.2,8.345070422535214
Tempe,178,College Avenue Commons,2019,1,6,7,276.92,7.852112676056339,276.92,7.852112676056339
Tempe,178,College Avenue Commons,2019,1,6,8,250.54,7.570422535211267,250.54,7.570422535211267
Tempe,178,College Avenue Commons,2019,1,6,9,247.69,18.87323943661972,247.69,18.87323943661972
Tempe,178,College Avenue Commons,2019,1,6,10,249.3,32.78169014084507,249.3,32.78169014084507
Tempe,178,College Avenue Commons,2019,1,6,11,239.22,38.90845070422536,239.22,38.90845070422536
Tempe,178,College Avenue Commons,2019,1,6,12,229.72,51.30281690140846,229.72,51.30281690140846
Tempe,178,College Avenue Commons,2019,1,6,13,212.67,35.316901408450704,212.67,35.316901408450704
Tempe,178,College Avenue Commons,2019,1,6,14,201.88,32.21830985915493,201.88,32.21830985915493
Tempe,178,College Avenue Commons,2019,1,6,15,191.89,39.96478873239437,191.89,39.96478873239437
Tempe,178,College Avenue Commons,2019,1,6,16,207.43,41.44366197183099,207.43,41.44366197183099
Tempe,178,College Avenue Commons,2019,1,6,17,216.1,32.1830985915493,216.1,32.1830985915493
Tempe,178,College Avenue Commons,2019,1,6,18,213.6,33.66197183098592,213.6,33.66197183098592
