campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
Tempe,2_3,Interdisciplinary AB,2019,1,1,0,92.79,0.0,92.79,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,1,81.51,0.0,81.51,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,2,83.59,0.0,83.59,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,3,83.77,0.0,83.77,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,4,81.79,0.0,81.79,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,5,81.08,0.0,81.08,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,6,85.3,0.0,85.3,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,7,81.55,0.0,81.55,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,8,74.16,0.0,74.16,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,9,73.68,0.0,73.68,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,10,76.36,0.0,76.36,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,11,75.18,0.0,75.18,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,12,75.19,0.0,75.19,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,13,73.74,0.0,73.74,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,14,74.97,0.0,74.97,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,15,75.02,0.0,75.02,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,16,76.36,0.0,76.36,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,17,80.85,0.0,80.85,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,18,83.17,0.0,83.17,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,19,82.62,0.0,82.62,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,20,82.01,0.0,82.01,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,21,80.91,0.0,80.91,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,22,83.39,0.0,83.39,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,1,23,83.59,0.0,83.59,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,0,106.5,0.0,106.5,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,1,122.18,0.0,122.18,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,2,121.69,0.0,121.69,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,3,144.58,0.0,144.58,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,4,160.36,0.0,160.36,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,5,184.2,0.0,184.2,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,6,188.27,0.0,188.27,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,7,192.24,0.0,192.24,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,8,200.65,0.0,200.65,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,9,203.84,0.0,203.84,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,10,208.49,0.0,208.49,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,11,210.03,0.0,210.03,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,12,210.89,0.0,210.89,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,13,210.42,0.0,210.42,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,14,202.69,0.0,202.69,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,15,196.11,0.0,196.11,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,16,192.0,0.0,192.0,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,17,190.45,0.0,190.45,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,18,182.45,0.0,182.45,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,19,168.94,0.0,168.94,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,20,148.48,0.0,148.48,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,21,133.49,0.0,133.49,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,22,136.25,0.0,136.25,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,2,23,134.93,0.0,134.93,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,3,0,120.89,0.0,120.89,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,3,1,124.47,0.0,124.47,0.0
Tempe,2_3,Interdisciplinary AB,2019,1,3,2,122.71,0.0,122.71,0.0
