campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,11X,Fulton Parking,2019,1,1,0,55.71,55.71
Tempe,11X,Fulton Parking,2019,1,1,1,54.36,54.36
Tempe,11X,Fulton Parking,2019,1,1,2,54.52,54.52
Tempe,11X,Fulton Parking,2019,1,1,3,54.22,54.22
Tempe,11X,Fulton Parking,2019,1,1,4,54.21,54.21
Tempe,11X,Fulton Parking,2019,1,1,5,55.14,55.14
Tempe,11X,Fulton Parking,2019,1,1,6,58.43,58.43
Tempe,11X,Fulton Parking,2019,1,1,7,57.93,57.93
Tempe,11X,Fulton Parking,2019,1,1,8,55.27,55.27
Tempe,11X,Fulton Parking,2019,1,1,9,54.8,54.8
Tempe,11X,Fulton Parking,2019,1,1,10,53.81,53.81
Tempe,11X,Fulton Parking,2019,1,1,11,55.1,55.1
Tempe,11X,Fulton Parking,2019,1,1,12,55.74,55.74
Tempe,11X,Fulton Parking,2019,1,1,13,55.2,55.2
Tempe,11X,Fulton Parking,2019,1,1,14,54.89,54.89
Tempe,11X,Fulton Parking,2019,1,1,15,55.01,55.01
Tempe,11X,Fulton Parking,2019,1,1,16,54.55,54.55
Tempe,11X,Fulton Parking,2019,1,1,17,56.92,56.92
Tempe,11X,Fulton Parking,2019,1,1,18,57.85,57.85
Tempe,11X,Fulton Parking,2019,1,1,19,57.46,57.46
Tempe,11X,Fulton Parking,2019,1,1,20,59.03,59.03
Tempe,11X,Fulton Parking,2019,1,1,21,58.29,58.29
Tempe,11X,Fulton Parking,2019,1,1,22,57.63,57.63
Tempe,11X,Fulton Parking,2019,1,1,23,55.72,55.72
Tempe,11X,Fulton Parking,2019,1,2,0,54.99,54.99
Tempe,11X,Fulton Parking,2019,1,2,1,53.9,53.9
Tempe,11X,Fulton Parking,2019,1,2,2,53.77,53.77
Tempe,11X,Fulton Parking,2019,1,2,3,53.75,53.75
Tempe,11X,Fulton Parking,2019,1,2,4,54.16,54.16
Tempe,11X,Fulton Parking,2019,1,2,5,54.89,54.89
Tempe,11X,Fulton Parking,2019,1,2,6,58.41,58.41
Tempe,11X,Fulton Parking,2019,1,2,7,58.61,58.61
Tempe,11X,Fulton Parking,2019,1,2,8,57.31,57.31
Tempe,11X,Fulton Parking,2019,1,2,9,59.17,59.17
Tempe,11X,Fulton Parking,2019,1,2,10,66.6,66.6
Tempe,11X,Fulton Parking,2019,1,2,11,67.75,67.75
Tempe,11X,Fulton Parking,2019,1,2,12,59.43,59.43
Tempe,11X,Fulton Parking,2019,1,2,13,60.03,60.03
Tempe,11X,Fulton Parking,2019,1,2,14,63.19,63.19
Tempe,11X,Fulton Parking,2019,1,2,15,57.66,57.66
Tempe,11X,Fulton Parking,2019,1,2,16,56.64,56.64
Tempe,11X,Fulton Parking,2019,1,2,17,58.81,58.81
Tempe,11X,Fulton Parking,2019,1,2,18,58.37,58.37
Tempe,11X,Fulton Parking,2019,1,2,19,58.15,58.15
Tempe,11X,Fulton Parking,2019,1,2,20,59.15,59.15
Tempe,11X,Fulton Parking,2019,1,2,21,58.89,58.89
Tempe,11X,Fulton Parking,2019,1,2,22,57.78,57.78
Tempe,11X,Fulton Parking,2019,1,2,23,56.39,56.39
