campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,0,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,1,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,2,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,3,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,4,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,5,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,6,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,7,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,8,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,9,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,10,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,11,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,12,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,13,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,14,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,15,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,16,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,17,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,18,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,19,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,20,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,21,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,22,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,1,23,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,0,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,1,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,2,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,3,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,4,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,5,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,6,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,7,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,8,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,9,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,10,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,11,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,12,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,13,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,14,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,15,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,16,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,17,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,18,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,19,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,20,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,21,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,22,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,2,23,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,0,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,1,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,2,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,3,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,4,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,5,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,6,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,7,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,8,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,9,5.22,5.22
Tempe,173AN-1,Sage Hall North 1st Floor,2019,1,3,10,5.22,5.22
