campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,173D,Cottonwood Hall,2019,1,1,0,25.23,25.23
Tempe,173D,Cottonwood Hall,2019,1,1,1,24.87,24.87
Tempe,173D,Cottonwood Hall,2019,1,1,2,24.78,24.78
Tempe,173D,Cottonwood Hall,2019,1,1,3,24.76,24.76
Tempe,173D,Cottonwood Hall,2019,1,1,4,25.12,25.12
Tempe,173D,Cottonwood Hall,2019,1,1,5,25.39,25.39
Tempe,173D,Cottonwood Hall,2019,1,1,6,25.5,25.5
Tempe,173D,Cottonwood Hall,2019,1,1,7,25.09,25.09
Tempe,173D,Cottonwood Hall,2019,1,1,8,24.75,24.75
Tempe,173D,Cottonwood Hall,2019,1,1,9,25.16,25.16
Tempe,173D,Cottonwood Hall,2019,1,1,10,26.6,26.6
Tempe,173D,Cottonwood Hall,2019,1,1,11,23.28,23.28
Tempe,173D,Cottonwood Hall,2019,1,1,12,23.98,23.98
Tempe,173D,Cottonwood Hall,2019,1,1,13,25.43,25.43
Tempe,173D,Cottonwood Hall,2019,1,1,14,25.44,25.44
Tempe,173D,Cottonwood Hall,2019,1,1,15,25.79,25.79
Tempe,173D,Cottonwood Hall,2019,1,1,16,30.74,30.74
Tempe,173D,Cottonwood Hall,2019,1,1,17,26.67,26.67
Tempe,173D,Cottonwood Hall,2019,1,1,18,30.32,30.32
Tempe,173D,Cottonwood Hall,2019,1,1,19,31.98,31.98
Tempe,173D,Cottonwood Hall,2019,1,1,20,28.93,28.93
Tempe,173D,Cottonwood Hall,2019,1,1,21,26.78,26.78
Tempe,173D,Cottonwood Hall,2019,1,1,22,26.17,26.17
Tempe,173D,Cottonwood Hall,2019,1,1,23,28.16,28.16
Tempe,173D,Cottonwood Hall,2019,1,2,0,26.29,26.29
Tempe,173D,Cottonwood Hall,2019,1,2,1,25.43,25.43
Tempe,173D,Cottonwood Hall,2019,1,2,2,25.48,25.48
Tempe,173D,Cottonwood Hall,2019,1,2,3,25.52,25.52
Tempe,173D,Cottonwood Hall,2019,1,2,4,25.27,25.27
Tempe,173D,Cottonwood Hall,2019,1,2,5,24.96,24.96
Tempe,173D,Cottonwood Hall,2019,1,2,6,24.93,24.93
Tempe,173D,Cottonwood Hall,2019,1,2,7,25.58,25.58
Tempe,173D,Cottonwood Hall,2019,1,2,8,24.0,24.0
Tempe,173D,Cottonwood Hall,2019,1,2,9,24.69,24.69
Tempe,173D,Cottonwood Hall,2019,1,2,10,25.2,25.2
Tempe,173D,Cottonwood Hall,2019,1,2,11,24.53,24.53
Tempe,173D,Cottonwood Hall,2019,1,2,12,24.68,24.68
Tempe,173D,Cottonwood Hall,2019,1,2,13,25.69,25.69
Tempe,173D,Cottonwood Hall,2019,1,2,14,25.46,25.46
Tempe,173D,Cottonwood Hall,2019,1,2,15,26.09,26.09
Tempe,173D,Cottonwood Hall,2019,1,2,16,29.32,29.32
Tempe,173D,Cottonwood Hall,2019,1,2,17,29.29,29.29
Tempe,173D,Cottonwood Hall,2019,1,2,18,28.96,28.96
Tempe,173D,Cottonwood Hall,2019,1,2,19,30.1,30.1
Tempe,173D,Cottonwood Hall,2019,1,2,20,31.57,31.57
Tempe,173D,Cottonwood Hall,2019,1,2,21,35.42,35.42
Tempe,173D,Cottonwood Hall,2019,1,2,22,30.1,30.1
Tempe,173D,Cottonwood Hall,2019,1,2,23,26.58,26.58
Tempe,173D,Cottonwood Hall,2019,1,3,0,26.51,26.51
Tempe,173D,Cottonwood Hall,2019,1,3,1,25.58,25.58
Tempe,173D,Cottonwood Hall,2019,1,3,2,26.23,26.23
Tempe,173D,Cottonwood Hall,2019,1,3,3,25.88,25.88
Tempe,173D,Cottonwood Hall,2019,1,3,4,24.93,24.93
Tempe,173D,Cottonwood Hall,2019,1,3,5,25.17,25.17
Tempe,173D,Cottonwood Hall,2019,1,3,6,25.99,25.99
Tempe,173D,Cottonwood Hall,2019,1,3,7,25.5,25.5
Tempe,173D,Cottonwood Hall,2019,1,3,8,25.79,25.79
Tempe,173D,Cottonwood Hall,2019,1,3,9,25.32,25.32
Tempe,173D,Cottonwood Hall,2019,1,3,10,28.12,28.12
Tempe,173D,Cottonwood Hall,2019,1,3,11,25.11,25.11
Tempe,173D,Cottonwood Hall,2019,1,3,12,27.53,27.53
Tempe,173D,Cottonwood Hall,2019,1,3,13,29.46,29.46
