campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,173F,Rosewood Hall,2019,1,1,0,31.47,31.47
Tempe,173F,Rosewood Hall,2019,1,1,1,30.87,30.87
Tempe,173F,Rosewood Hall,2019,1,1,2,30.07,30.07
Tempe,173F,Rosewood Hall,2019,1,1,3,30.48,30.48
Tempe,173F,Rosewood Hall,2019,1,1,4,30.07,30.07
Tempe,173F,Rosewood Hall,2019,1,1,5,29.93,29.93
Tempe,173F,Rosewood Hall,2019,1,1,6,29.43,29.43
Tempe,173F,Rosewood Hall,2019,1,1,7,29.95,29.95
Tempe,173F,Rosewood Hall,2019,1,1,8,29.25,29.25
Tempe,173F,Rosewood Hall,2019,1,1,9,28.67,28.67
Tempe,173F,Rosewood Hall,2019,1,1,10,28.7,28.7
Tempe,173F,Rosewood Hall,2019,1,1,11,28.01,28.01
Tempe,173F,Rosewood Hall,2019,1,1,12,28.13,28.13
Tempe,173F,Rosewood Hall,2019,1,1,13,26.69,26.69
Tempe,173F,Rosewood Hall,2019,1,1,14,29.37,29.37
Tempe,173F,Rosewood Hall,2019,1,1,15,28.72,28.72
Tempe,173F,Rosewood Hall,2019,1,1,16,29.75,29.75
Tempe,173F,Rosewood Hall,2019,1,1,17,29.5,29.5
Tempe,173F,Rosewood Hall,2019,1,1,18,30.35,30.35
Tempe,173F,Rosewood Hall,2019,1,1,19,31.58,31.58
Tempe,173F,Rosewood Hall,2019,1,1,20,30.75,30.75
Tempe,173F,Rosewood Hall,2019,1,1,21,29.88,29.88
Tempe,173F,Rosewood Hall,2019,1,1,22,30.1,30.1
Tempe,173F,Rosewood Hall,2019,1,1,23,30.28,30.28
Tempe,173F,Rosewood Hall,2019,1,2,0,29.58,29.58
Tempe,173F,Rosewood Hall,2019,1,2,1,29.5,29.5
Tempe,173F,Rosewood Hall,2019,1,2,2,28.52,28.52
Tempe,173F,Rosewood Hall,2019,1,2,3,27.9,27.9
Tempe,173F,Rosewood Hall,2019,1,2,4,27.22,27.22
Tempe,173F,Rosewood Hall,2019,1,2,5,26.9,26.9
Tempe,173F,Rosewood Hall,2019,1,2,6,28.1,28.1
Tempe,173F,Rosewood Hall,2019,1,2,7,28.9,28.9
Tempe,173F,Rosewood Hall,2019,1,2,8,28.6,28.6
Tempe,173F,Rosewood Hall,2019,1,2,9,28.41,28.41
Tempe,173F,Rosewood Hall,2019,1,2,10,29.57,29.57
Tempe,173F,Rosewood Hall,2019,1,2,11,28.16,28.16
Tempe,173F,Rosewood Hall,2019,1,2,12,30.03,30.03
Tempe,173F,Rosewood Hall,2019,1,2,13,30.93,30.93
Tempe,173F,Rosewood Hall,2019,1,2,14,30.35,30.35
Tempe,173F,Rosewood Hall,2019,1,2,15,31.53,31.53
Tempe,173F,Rosewood Hall,2019,1,2,16,28.81,28.81
Tempe,173F,Rosewood Hall,2019,1,2,17,28.14,28.14
Tempe,173F,Rosewood Hall,2019,1,2,18,30.52,30.52
Tempe,173F,Rosewood Hall,2019,1,2,19,30.73,30.73
Tempe,173F,Rosewood Hall,2019,1,2,20,30.5,30.5
Tempe,173F,Rosewood Hall,2019,1,2,21,30.27,30.27
Tempe,173F,Rosewood Hall,2019,1,2,22,30.2,30.2
Tempe,173F,Rosewood Hall,2019,1,2,23,29.72,29.72
Tempe,173F,Rosewood Hall,2019,1,3,0,29.67,29.67
Tempe,173F,Rosewood Hall,2019,1,3,1,29.45,29.45
Tempe,173F,Rosewood Hall,2019,1,3,2,29.47,29.47
Tempe,173F,Rosewood Hall,2019,1,3,3,29.13,29.13
Tempe,173F,Rosewood Hall,2019,1,3,4,28.97,28.97
Tempe,173F,Rosewood Hall,2019,1,3,5,28.35,28.35
Tempe,173F,Rosewood Hall,2019,1,3,6,30.07,30.07
Tempe,173F,Rosewood Hall,2019,1,3,7,30.07,30.07
Tempe,173F,Rosewood Hall,2019,1,3,8,29.04,29.04
Tempe,173F,Rosewood Hall,2019,1,3,9,28.24,28.24
Tempe,173F,Rosewood Hall,2019,1,3,10,28.55,28.55
Tempe,173F,Rosewood Hall,2019,1,3,11,27.76,27.76
Tempe,173F,Rosewood Hall,2019,1,3,12,29.09,29.09
Tempe,173F,Rosewood Hall,2019,1,3,13,29.3,29.3
Tempe,173F,Rosewood Hall,2019,1,3,14,29.25,29.25
Tempe,173F,Rosewood Hall,2019,1,3,15,28.83,28.83
Tempe,173F,Rosewood Hall,2019,1,3,16,30.77,30.77
Tempe,173F,Rosewood Hall,2019,1,3,17,31.41,31.41
Tempe,173F,Rosewood Hall,2019,1,3,18,32.18,32.18
Tempe,173F,Rosewood Hall,2019,1,3,19,30.85,30.85
Tempe,173F,Rosewood Hall,2019,1,3,20,29.47,29.47
Tempe,173F,Rosewood Hall,2019,1,3,21,30.42,30.42
Tempe,173F,Rosewood Hall,2019,1,3,22,29.93,29.93
Tempe,173F,Rosewood Hall,2019,1,3,23,30.2,30.2
Tempe,173F,Rosewood Hall,2019,1,4,0,29.07,29.07
Tempe,173F,Rosewood Hall,2019,1,4,1,28.87,28.87
Tempe,173F,Rosewood Hall,2019,1,4,2,27.98,27.98
Tempe,173F,Rosewood Hall,2019,1,4,3,29.0,29.0
Tempe,173F,Rosewood Hall,2019,1,4,4,30.15,30.15
Tempe,173F,Rosewood Hall,2019,1,4,5,28.95,28.95
Tempe,173F,Rosewood Hall,2019,1,4,6,28.72,28.72
Tempe,173F,Rosewood Hall,2019,1,4,7,30.87,30.87
Tempe,173F,Rosewood Hall,2019,1,4,8,29.81,29.81
Tempe,173F,Rosewood Hall,2019,1,4,9,27.23,27.23
Tempe,173F,Rosewood Hall,2019,1,4,10,27.22,27.22
