campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,174,Weatherup,2019,1,1,0,58.64,58.64
Tempe,174,Weatherup,2019,1,1,1,55.34,55.34
Tempe,174,Weatherup,2019,1,1,2,57.31,57.31
Tempe,174,Weatherup,2019,1,1,3,58.6,58.6
Tempe,174,Weatherup,2019,1,1,4,73.42,73.42
Tempe,174,Weatherup,2019,1,1,5,73.69,73.69
Tempe,174,Weatherup,2019,1,1,6,88.09,88.09
Tempe,174,Weatherup,2019,1,1,7,89.94,89.94
Tempe,174,Weatherup,2019,1,1,8,88.43,88.43
Tempe,174,Weatherup,2019,1,1,9,93.19,93.19
Tempe,174,Weatherup,2019,1,1,10,86.11,86.11
Tempe,174,Weatherup,2019,1,1,11,85.64,85.64
Tempe,174,Weatherup,2019,1,1,12,72.87,72.87
Tempe,174,Weatherup,2019,1,1,13,73.06,73.06
Tempe,174,Weatherup,2019,1,1,14,73.52,73.52
Tempe,174,Weatherup,2019,1,1,15,66.93,66.93
Tempe,174,Weatherup,2019,1,1,16,68.51,68.51
Tempe,174,Weatherup,2019,1,1,17,69.76,69.76
Tempe,174,Weatherup,2019,1,1,18,71.8,71.8
Tempe,174,Weatherup,2019,1,1,19,76.29,76.29
Tempe,174,Weatherup,2019,1,1,20,77.55,77.55
Tempe,174,Weatherup,2019,1,1,21,67.96,67.96
Tempe,174,Weatherup,2019,1,1,22,67.56,67.56
Tempe,174,Weatherup,2019,1,1,23,67.91,67.91
Tempe,174,Weatherup,2019,1,2,0,49.11,49.11
Tempe,174,Weatherup,2019,1,2,1,38.05,38.05
Tempe,174,Weatherup,2019,1,2,2,37.28,37.28
Tempe,174,Weatherup,2019,1,2,3,38.61,38.61
Tempe,174,Weatherup,2019,1,2,4,53.63,53.63
Tempe,174,Weatherup,2019,1,2,5,78.22,78.22
Tempe,174,Weatherup,2019,1,2,6,106.85,106.85
Tempe,174,Weatherup,2019,1,2,7,109.57,109.57
Tempe,174,Weatherup,2019,1,2,8,110.56,110.56
Tempe,174,Weatherup,2019,1,2,9,93.03,93.03
Tempe,174,Weatherup,2019,1,2,10,91.59,91.59
Tempe,174,Weatherup,2019,1,2,11,81.54,81.54
Tempe,174,Weatherup,2019,1,2,12,80.89,80.89
Tempe,174,Weatherup,2019,1,2,13,79.43,79.43
Tempe,174,Weatherup,2019,1,2,14,74.06,74.06
Tempe,174,Weatherup,2019,1,2,15,74.58,74.58
Tempe,174,Weatherup,2019,1,2,16,72.36,72.36
Tempe,174,Weatherup,2019,1,2,17,74.93,74.93
Tempe,174,Weatherup,2019,1,2,18,77.59,77.59
Tempe,174,Weatherup,2019,1,2,19,82.93,82.93
Tempe,174,Weatherup,2019,1,2,20,82.47,82.47
Tempe,174,Weatherup,2019,1,2,21,72.33,72.33
Tempe,174,Weatherup,2019,1,2,22,73.19,73.19
Tempe,174,Weatherup,2019,1,2,23,68.6,68.6
Tempe,174,Weatherup,2019,1,3,0,50.58,50.58
Tempe,174,Weatherup,2019,1,3,1,38.76,38.76
Tempe,174,Weatherup,2019,1,3,2,38.35,38.35
Tempe,174,Weatherup,2019,1,3,3,38.81,38.81
Tempe,174,Weatherup,2019,1,3,4,58.95,58.95
Tempe,174,Weatherup,2019,1,3,5,87.99,87.99
Tempe,174,Weatherup,2019,1,3,6,110.15,110.15
Tempe,174,Weatherup,2019,1,3,7,107.88,107.88
Tempe,174,Weatherup,2019,1,3,8,105.13,105.13
Tempe,174,Weatherup,2019,1,3,9,96.75,96.75
Tempe,174,Weatherup,2019,1,3,10,96.33,96.33
Tempe,174,Weatherup,2019,1,3,11,81.87,81.87
Tempe,174,Weatherup,2019,1,3,12,80.51,80.51
Tempe,174,Weatherup,2019,1,3,13,79.06,79.06
Tempe,174,Weatherup,2019,1,3,14,77.11,77.11
Tempe,174,Weatherup,2019,1,3,15,78.34,78.34
Tempe,174,Weatherup,2019,1,3,16,75.25,75.25
Tempe,174,Weatherup,2019,1,3,17,74.22,74.22
Tempe,174,Weatherup,2019,1,3,18,78.44,78.44
Tempe,174,Weatherup,2019,1,3,19,73.66,73.66
Tempe,174,Weatherup,2019,1,3,20,71.37,71.37
Tempe,174,Weatherup,2019,1,3,21,61.5,61.5
Tempe,174,Weatherup,2019,1,3,22,61.91,61.91
Tempe,174,Weatherup,2019,1,3,23,64.57,64.57
Tempe,174,Weatherup,2019,1,4,0,48.87,48.87
