campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,P05,Parking Structure 5,2019,1,1,0,34.86,34.86
Tempe,P05,Parking Structure 5,2019,1,1,1,34.94,34.94
Tempe,P05,Parking Structure 5,2019,1,1,2,35.03,35.03
Tempe,P05,Parking Structure 5,2019,1,1,3,35.11,35.11
Tempe,P05,Parking Structure 5,2019,1,1,4,35.12,35.12
Tempe,P05,Parking Structure 5,2019,1,1,5,35.08,35.08
Tempe,P05,Parking Structure 5,2019,1,1,6,35.11,35.11
Tempe,P05,Parking Structure 5,2019,1,1,7,34.33,34.33
Tempe,P05,Parking Structure 5,2019,1,1,8,34.93,34.93
Tempe,P05,Parking Structure 5,2019,1,1,9,35.08,35.08
Tempe,P05,Parking Structure 5,2019,1,1,10,20.72,20.72
Tempe,P05,Parking Structure 5,2019,1,1,11,15.0,15.0
Tempe,P05,Parking Structure 5,2019,1,1,12,14.75,14.75
Tempe,P05,Parking Structure 5,2019,1,1,13,30.67,30.67
Tempe,P05,Parking Structure 5,2019,1,1,14,27.81,27.81
Tempe,P05,Parking Structure 5,2019,1,1,15,21.15,21.15
Tempe,P05,Parking Structure 5,2019,1,1,16,34.85,34.85
Tempe,P05,Parking Structure 5,2019,1,1,17,34.62,34.62
Tempe,P05,Parking Structure 5,2019,1,1,18,34.71,34.71
Tempe,P05,Parking Structure 5,2019,1,1,19,34.69,34.69
Tempe,P05,Parking Structure 5,2019,1,1,20,34.88,34.88
Tempe,P05,Parking Structure 5,2019,1,1,21,35.65,35.65
Tempe,P05,Parking Structure 5,2019,1,1,22,35.53,35.53
Tempe,P05,Parking Structure 5,2019,1,1,23,35.45,35.45
Tempe,P05,Parking Structure 5,2019,1,2,0,35.38,35.38
Tempe,P05,Parking Structure 5,2019,1,2,1,35.62,35.62
Tempe,P05,Parking Structure 5,2019,1,2,2,35.6,35.6
Tempe,P05,Parking Structure 5,2019,1,2,3,35.75,35.75
Tempe,P05,Parking Structure 5,2019,1,2,4,35.58,35.58
Tempe,P05,Parking Structure 5,2019,1,2,5,35.35,35.35
Tempe,P05,Parking Structure 5,2019,1,2,6,37.46,37.46
Tempe,P05,Parking Structure 5,2019,1,2,7,37.42,37.42
Tempe,P05,Parking Structure 5,2019,1,2,8,38.51,38.51
Tempe,P05,Parking Structure 5,2019,1,2,9,36.85,36.85
Tempe,P05,Parking Structure 5,2019,1,2,10,37.96,37.96
Tempe,P05,Parking Structure 5,2019,1,2,11,31.39,31.39
Tempe,P05,Parking Structure 5,2019,1,2,12,18.61,18.61
Tempe,P05,Parking Structure 5,2019,1,2,13,29.55,29.55
Tempe,P05,Parking Structure 5,2019,1,2,14,37.17,37.17
Tempe,P05,Parking Structure 5,2019,1,2,15,19.19,19.19
Tempe,P05,Parking Structure 5,2019,1,2,16,23.37,23.37
Tempe,P05,Parking Structure 5,2019,1,2,17,35.28,35.28
Tempe,P05,Parking Structure 5,2019,1,2,18,35.49,35.49
Tempe,P05,Parking Structure 5,2019,1,2,19,34.98,34.98
Tempe,P05,Parking Structure 5,2019,1,2,20,35.07,35.07
Tempe,P05,Parking Structure 5,2019,1,2,21,35.07,35.07
Tempe,P05,Parking Structure 5,2019,1,2,22,35.21,35.21
Tempe,P05,Parking Structure 5,2019,1,2,23,35.41,35.41
Tempe,P05,Parking Structure 5,2019,1,3,0,35.15,35.15
Tempe,P05,Parking Structure 5,2019,1,3,1,35.05,35.05
Tempe,P05,Parking Structure 5,2019,1,3,2,35.21,35.21
Tempe,P05,Parking Structure 5,2019,1,3,3,35.31,35.31
Tempe,P05,Parking Structure 5,2019,1,3,4,35.28,35.28
Tempe,P05,Parking Structure 5,2019,1,3,5,35.44,35.44
Tempe,P05,Parking Structure 5,2019,1,3,6,37.0,37.0
Tempe,P05,Parking Structure 5,2019,1,3,7,38.04,38.04
