campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
West,900,Fletcher Library,2019,1,1,0,130.87,16.232394366197184,130.87,16.232394366197184
West,900,Fletcher Library,2019,1,1,1,123.61,9.71830985915493,123.61,9.71830985915493
West,900,Fletcher Library,2019,1,1,2,129.89,17.92253521126761,129.89,17.92253521126761
West,900,Fletcher Library,2019,1,1,3,122.34,20.24647887323944,122.34,20.24647887323944
West,900,Fletcher Library,2019,1,1,4,141.48,21.936619718309863,141.48,21.936619718309863
West,900,Fletcher Library,2019,1,1,5,156.22,26.619718309859163,156.22,26.619718309859163
West,900,Fletcher Library,2019,1,1,6,160.95,21.584507042253524,160.95,21.584507042253524
West,900,Fletcher Library,2019,1,1,7,158.41,15.563380281690142,158.41,15.563380281690142
West,900,Fletcher Library,2019,1,1,8,153.26,16.866197183098592,153.26,16.866197183098592
West,900,Fletcher Library,2019,1,1,9,155.47,17.711267605633804,155.47,17.711267605633804
West,900,Fletcher Library,2019,1,1,10,155.66,24.612676056338028,155.66,24.612676056338028
West,900,Fletcher Library,2019,1,1,11,156.35,33.732394366197184,156.35,33.732394366197184
West,900,Fletcher Library,2019,1,1,12,157.04,38.978873239436616,157.04,38.978873239436616
West,900,Fletcher Library,2019,1,1,13,158.73,44.014084507042256,158.73,44.014084507042256
West,900,Fletcher Library,2019,1,1,14,145.34,43.697183098591545,145.34,43.697183098591545
West,900,Fletcher Library,2019,1,1,15,145.46,41.971830985915496,145.46,41.971830985915496
West,900,Fletcher Library,2019,1,1,16,152.3,45.24647887323944,152.3,45.24647887323944
West,900,Fletcher Library,2019,1,1,17,146.77,46.725352112676056,146.77,46.725352112676056
West,900,Fletcher Library,2019,1,1,18,162.64,41.901408450704224,162.64,41.901408450704224
West,900,Fletcher Library,2019,1,1,19,161.86,39.15492957746479,161.86,39.15492957746479
West,900,Fletcher Library,2019,1,1,20,162.6,38.802816901408455,162.6,38.802816901408455
West,900,Fletcher Library,2019,1,1,21,161.58,27.53521126760564,161.58,27.53521126760564
West,900,Fletcher Library,2019,1,1,22,136.55,20.03521126760564,136.55,20.03521126760564
West,900,Fletcher Library,2019,1,1,23,128.71,17.781690140845075,128.71,17.781690140845075
West,900,Fletcher Library,2019,1,2,0,127.95,14.43661971830986,127.95,14.43661971830986
West,900,Fletcher Library,2019,1,2,1,139.54,22.92253521126761,139.54,22.92253521126761
West,900,Fletcher Library,2019,1,2,2,129.36,22.992957746478876,129.36,22.992957746478876
West,900,Fletcher Library,2019,1,2,3,136.01,15.176056338028168,136.01,15.176056338028168
West,900,Fletcher Library,2019,1,2,4,145.3,14.859154929577466,145.3,14.859154929577466
West,900,Fletcher Library,2019,1,2,5,160.95,20.669014084507047,160.95,20.669014084507047
West,900,Fletcher Library,2019,1,2,6,160.53,12.429577464788732,160.53,12.429577464788732
West,900,Fletcher Library,2019,1,2,7,182.05,15.598591549295776,182.05,15.598591549295776
West,900,Fletcher Library,2019,1,2,8,202.74,15.73943661971831,202.74,15.73943661971831
West,900,Fletcher Library,2019,1,2,9,215.3,15.211267605633806,215.3,15.211267605633806
West,900,Fletcher Library,2019,1,2,10,216.58,27.78169014084507,216.58,27.78169014084507
West,900,Fletcher Library,2019,1,2,11,211.73,39.542253521126774,211.73,39.542253521126774
West,900,Fletcher Library,2019,1,2,12,211.89,47.07746478873239,211.89,47.07746478873239
West,900,Fletcher Library,2019,1,2,13,205.81,53.978873239436616,205.81,53.978873239436616
West,900,Fletcher Library,2019,1,2,14,202.93,58.38028169014085,202.93,58.38028169014085
West,900,Fletcher Library,2019,1,2,15,201.76,65.88028169014085,201.76,65.88028169014085
West,900,Fletcher Library,2019,1,2,16,174.02,61.901408450704224,174.02,61.901408450704224
West,900,Fletcher Library,2019,1,2,17,181.99,46.549295774647895,181.99,46.549295774647895
West,900,Fletcher Library,2019,1,2,18,181.85,41.8661971830986,181.85,41.8661971830986
West,900,Fletcher Library,2019,1,2,19,158.67,35.880281690140855,158.67,35.880281690140855
West,900,Fletcher Library,2019,1,2,20,141.1,33.80281690140845,141.1,33.80281690140845
