campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
West,905A,CLCC 1,2019,1,1,0,292.96,5.492957746478874,292.96,5.492957746478874
West,905A,CLCC 1,2019,1,1,1,301.32,5.45774647887324,301.32,5.45774647887324
West,905A,CLCC 1,2019,1,1,2,291.86,3.7676056338028174,291.86,3.7676056338028174
West,905A,CLCC 1,2019,1,1,3,292.47,4.049295774647887,292.47,4.049295774647887
West,905A,CLCC 1,2019,1,1,4,298.49,4.049295774647887,298.49,4.049295774647887
West,905A,CLCC 1,2019,1,1,5,303.73,3.5211267605633805,303.73,3.5211267605633805
West,905A,CLCC 1,2019,1,1,6,313.33,3.1338028169014085,313.33,3.1338028169014085
West,905A,CLCC 1,2019,1,1,7,307.27,3.415492957746478,307.27,3.415492957746478
West,905A,CLCC 1,2019,1,1,8,296.57,2.8169014084507045,296.57,2.8169014084507045
West,905A,CLCC 1,2019,1,1,9,295.67,3.309859154929577,295.67,3.309859154929577
West,905A,CLCC 1,2019,1,1,10,290.82,30.14084507042254,290.82,30.14084507042254
West,905A,CLCC 1,2019,1,1,11,279.31,9.859154929577466,279.31,9.859154929577466
West,905A,CLCC 1,2019,1,1,12,268.64,3.5211267605633805,268.64,3.5211267605633805
West,905A,CLCC 1,2019,1,1,13,265.26,4.26056338028169,265.26,4.26056338028169
West,905A,CLCC 1,2019,1,1,14,262.68,42.53521126760564,262.68,42.53521126760564
West,905A,CLCC 1,2019,1,1,15,276.56,14.964788732394366,276.56,14.964788732394366
West,905A,CLCC 1,2019,1,1,16,270.94,50.73943661971831,270.94,50.73943661971831
West,905A,CLCC 1,2019,1,1,17,272.81,16.654929577464788,272.81,16.654929577464788
West,905A,CLCC 1,2019,1,1,18,285.3,30.70422535211268,285.3,30.70422535211268
West,905A,CLCC 1,2019,1,1,19,291.29,12.147887323943666,291.29,12.147887323943666
West,905A,CLCC 1,2019,1,1,20,292.64,3.3450704225352115,292.64,3.3450704225352115
West,905A,CLCC 1,2019,1,1,21,296.77,3.7676056338028174,296.77,3.7676056338028174
West,905A,CLCC 1,2019,1,1,22,299.74,3.2042253521126765,299.74,3.2042253521126765
West,905A,CLCC 1,2019,1,1,23,303.91,5.598591549295776,303.91,5.598591549295776
West,905A,CLCC 1,2019,1,2,0,307.74,5.669014084507044,307.74,5.669014084507044
West,905A,CLCC 1,2019,1,2,1,303.2,5.598591549295776,303.2,5.598591549295776
West,905A,CLCC 1,2019,1,2,2,311.53,6.232394366197183,311.53,6.232394366197183
West,905A,CLCC 1,2019,1,2,3,315.69,6.830985915492956,315.69,6.830985915492956
West,905A,CLCC 1,2019,1,2,4,311.49,6.056338028169015,311.49,6.056338028169015
