campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,wash_ele,wash_cold
West,905B,CLCC 2,2019,1,1,0,197.71,86.47887323943662,197.71,86.47887323943662
West,905B,CLCC 2,2019,1,1,1,198.0,81.09154929577466,198.0,81.09154929577466
West,905B,CLCC 2,2019,1,1,2,197.29,76.58450704225353,197.29,76.58450704225353
West,905B,CLCC 2,2019,1,1,3,196.4,78.69718309859157,196.4,78.69718309859157
West,905B,CLCC 2,2019,1,1,4,195.88,75.00000000000001,195.88,75.00000000000001
West,905B,CLCC 2,2019,1,1,5,197.98,72.00704225352112,197.98,72.00704225352112
West,905B,CLCC 2,2019,1,1,6,197.23,71.76056338028171,197.23,71.76056338028171
West,905B,CLCC 2,2019,1,1,7,195.25,70.10563380281691,195.25,70.10563380281691
West,905B,CLCC 2,2019,1,1,8,178.16,67.60563380281691,178.16,67.60563380281691
West,905B,CLCC 2,2019,1,1,9,172.93,72.57042253521128,172.93,72.57042253521128
West,905B,CLCC 2,2019,1,1,10,172.76,74.19014084507045,172.76,74.19014084507045
West,905B,CLCC 2,2019,1,1,11,174.76,74.11971830985917,174.76,74.11971830985917
West,905B,CLCC 2,2019,1,1,12,172.87,76.83098591549296,172.87,76.83098591549296
West,905B,CLCC 2,2019,1,1,13,172.83,78.38028169014086,172.83,78.38028169014086
West,905B,CLCC 2,2019,1,1,14,173.04,78.27464788732395,173.04,78.27464788732395
West,905B,CLCC 2,2019,1,1,15,173.84,83.66197183098593,173.84,83.66197183098593
West,905B,CLCC 2,2019,1,1,16,172.59,80.77464788732395,172.59,80.77464788732395
West,905B,CLCC 2,2019,1,1,17,183.19,80.9154929577465,183.19,80.9154929577465
West,905B,CLCC 2,2019,1,1,18,196.66,74.5774647887324,196.66,74.5774647887324
West,905B,CLCC 2,2019,1,1,19,196.86,81.1267605633803,196.86,81.1267605633803
West,905B,CLCC 2,2019,1,1,20,197.58,77.60563380281691,197.58,77.60563380281691
West,905B,CLCC 2,2019,1,1,21,196.44,74.96478873239437,196.44,74.96478873239437
West,905B,CLCC 2,2019,1,1,22,195.55,74.68309859154931,195.55,74.68309859154931
West,905B,CLCC 2,2019,1,1,23,195.8,73.06338028169014,195.8,73.06338028169014
West,905B,CLCC 2,2019,1,2,0,197.65,74.11971830985917,197.65,74.11971830985917
West,905B,CLCC 2,2019,1,2,1,193.21,65.88028169014085,193.21,65.88028169014085
West,905B,CLCC 2,2019,1,2,2,194.47,70.9154929577465,194.47,70.9154929577465
West,905B,CLCC 2,2019,1,2,3,197.62,73.0985915492958,197.62,73.0985915492958
West,905B,CLCC 2,2019,1,2,4,196.03,74.0492957746479,196.03,74.0492957746479
West,905B,CLCC 2,2019,1,2,5,196.1,74.50704225352112,196.1,74.50704225352112
West,905B,CLCC 2,2019,1,2,6,203.06,73.4154929577465,203.06,73.4154929577465
West,905B,CLCC 2,2019,1,2,7,201.73,67.67605633802819,201.73,67.67605633802819
West,905B,CLCC 2,2019,1,2,8,195.95,63.239436619718326,195.95,63.239436619718326
West,905B,CLCC 2,2019,1,2,9,197.7,60.17605633802818,197.7,60.17605633802818
West,905B,CLCC 2,2019,1,2,10,187.82,63.415492957746494,187.82,63.415492957746494
West,905B,CLCC 2,2019,1,2,11,191.3,71.72535211267606,191.3,71.72535211267606
West,905B,CLCC 2,2019,1,2,12,201.4,78.27464788732395,201.4,78.27464788732395
West,905B,CLCC 2,2019,1,2,13,223.23,76.54929577464789,223.23,76.54929577464789
West,905B,CLCC 2,2019,1,2,14,215.03,81.9718309859155,215.03,81.9718309859155
West,905B,CLCC 2,2019,1,2,15,181.65,88.45070422535211,181.65,88.45070422535211
West,905B,CLCC 2,2019,1,2,16,177.66,81.09154929577466,177.66,81.09154929577466
West,905B,CLCC 2,2019,1,2,17,186.35,88.90845070422537,186.35,88.90845070422537
West,905B,CLCC 2,2019,1,2,18,201.2,89.4718309859155,201.2,89.4718309859155
West,905B,CLCC 2,2019,1,2,19,201.99,84.26056338028171,201.99,84.26056338028171
West,905B,CLCC 2,2019,1,2,20,201.68,75.84507042253522,201.68,75.84507042253522
West,905B,CLCC 2,2019,1,2,21,200.88,78.09859154929578,200.88,78.09859154929578
West,905B,CLCC 2,2019,1,2,22,201.95,79.04929577464789,201.95,79.04929577464789
West,905B,CLCC 2,2019,1,2,23,200.61,75.73943661971832,200.61,75.73943661971832
West,905B,CLCC 2,2019,1,3,0,200.04,75.45774647887325,200.04,75.45774647887325
West,905B,CLCC 2,2019,1,3,1,201.38,70.66901408450704,201.38,70.66901408450704
West,905B,CLCC 2,2019,1,3,2,199.29,68.27464788732395,199.29,68.27464788732395
West,905B,CLCC 2,2019,1,3,3,200.13,67.3943661971831,200.13,67.3943661971831
West,905B,CLCC 2,2019,1,3,4,201.46,39.22535211267606,201.46,39.22535211267606
West,905B,CLCC 2,2019,1,3,5,206.79,16.126760563380284,206.79,16.126760563380284
West,905B,CLCC 2,2019,1,3,6,213.78,16.971830985915496,213.78,16.971830985915496
West,905B,CLCC 2,2019,1,3,7,210.62,17.74647887323944,210.62,17.74647887323944
West,905B,CLCC 2,2019,1,3,8,175.27,17.92253521126761,175.27,17.92253521126761
West,905B,CLCC 2,2019,1,3,9,176.56,18.169014084507047,176.56,18.169014084507047
West,905B,CLCC 2,2019,1,3,10,179.38,18.87323943661972,179.38,18.87323943661972
West,905B,CLCC 2,2019,1,3,11,191.51,18.87323943661972,191.51,18.87323943661972
West,905B,CLCC 2,2019,1,3,12,194.68,18.87323943661972,194.68,18.87323943661972
West,905B,CLCC 2,2019,1,3,13,224.86,19.753521126760567,224.86,19.753521126760567
West,905B,CLCC 2,2019,1,3,14,225.24,18.52112676056338,225.24,18.52112676056338
West,905B,CLCC 2,2019,1,3,15,206.91,0.0,206.91,0.0
West,905B,CLCC 2,2019,1,3,16,214.4,11.830985915492956,214.4,11.830985915492956
West,905B,CLCC 2,2019,1,3,17,218.78,7.605633802816903,218.78,7.605633802816903
West,905B,CLCC 2,2019,1,3,18,236.49,7.077464788732394,236.49,7.077464788732394
West,905B,CLCC 2,2019,1,3,19,229.92,5.211267605633803,229.92,5.211267605633803
West,905B,CLCC 2,2019,1,3,20,238.14,4.683098591549297,238.14,4.683098591549297
West,905B,CLCC 2,2019,1,3,21,230.65,2.183098591549296,230.65,2.183098591549296
West,905B,CLCC 2,2019,1,3,22,224.92,1.9718309859154928,224.92,1.9718309859154928
West,905B,CLCC 2,2019,1,3,23,232.43,1.2323943661971832,232.43,1.2323943661971832
West,905B,CLCC 2,2019,1,4,0,228.73,0.7394366197183099,228.73,0.7394366197183099
West,905B,CLCC 2,2019,1,4,1,235.89,0.28169014084507044,235.89,0.28169014084507044
West,905B,CLCC 2,2019,1,4,2,228.65,0.035211267605633804,228.65,0.035211267605633804
West,905B,CLCC 2,2019,1,4,3,229.2,0.07042253521126761,229.2,0.07042253521126761
West,905B,CLCC 2,2019,1,4,4,228.34,0.14084507042253522,228.34,0.14084507042253522
West,905B,CLCC 2,2019,1,4,5,230.06,0.31690140845070425,230.06,0.31690140845070425
West,905B,CLCC 2,2019,1,4,6,220.82,0.10563380281690142,220.82,0.10563380281690142
