campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
West,916,Competition Field,2019,1,1,0,0.87,0.87
West,916,Competition Field,2019,1,1,1,0.87,0.87
West,916,Competition Field,2019,1,1,2,0.86,0.86
West,916,Competition Field,2019,1,1,3,0.86,0.86
West,916,Competition Field,2019,1,1,4,0.85,0.85
West,916,Competition Field,2019,1,1,5,0.85,0.85
West,916,Competition Field,2019,1,1,6,0.86,0.86
West,916,Competition Field,2019,1,1,7,0.76,0.76
West,916,Competition Field,2019,1,1,8,0.62,0.62
West,916,Competition Field,2019,1,1,9,0.48,0.48
West,916,Competition Field,2019,1,1,10,0.47,0.47
West,916,Competition Field,2019,1,1,11,0.5,0.5
West,916,Competition Field,2019,1,1,12,0.54,0.54
West,916,Competition Field,2019,1,1,13,0.55,0.55
West,916,Competition Field,2019,1,1,14,0.53,0.53
West,916,Competition Field,2019,1,1,15,0.46,0.46
West,916,Competition Field,2019,1,1,16,0.44,0.44
West,916,Competition Field,2019,1,1,17,0.52,0.52
West,916,Competition Field,2019,1,1,18,0.88,0.88
West,916,Competition Field,2019,1,1,19,0.95,0.95
West,916,Competition Field,2019,1,1,20,1.01,1.01
West,916,Competition Field,2019,1,1,21,1.0,1.0
West,916,Competition Field,2019,1,1,22,1.06,1.06
West,916,Competition Field,2019,1,1,23,1.05,1.05
West,916,Competition Field,2019,1,2,0,1.07,1.07
West,916,Competition Field,2019,1,2,1,1.08,1.08
West,916,Competition Field,2019,1,2,2,0.85,0.85
West,916,Competition Field,2019,1,2,3,0.87,0.87
West,916,Competition Field,2019,1,2,4,0.84,0.84
West,916,Competition Field,2019,1,2,5,0.91,0.91
West,916,Competition Field,2019,1,2,6,0.83,0.83
West,916,Competition Field,2019,1,2,7,0.94,0.94
West,916,Competition Field,2019,1,2,8,0.65,0.65
West,916,Competition Field,2019,1,2,9,0.7,0.7
West,916,Competition Field,2019,1,2,10,0.76,0.76
West,916,Competition Field,2019,1,2,11,0.7,0.7
West,916,Competition Field,2019,1,2,12,0.68,0.68
West,916,Competition Field,2019,1,2,13,0.75,0.75
West,916,Competition Field,2019,1,2,14,0.64,0.64
West,916,Competition Field,2019,1,2,15,0.7,0.7
West,916,Competition Field,2019,1,2,16,0.61,0.61
West,916,Competition Field,2019,1,2,17,107.51,107.51
West,916,Competition Field,2019,1,2,18,152.25,152.25
West,916,Competition Field,2019,1,2,19,151.18,151.18
West,916,Competition Field,2019,1,2,20,115.59,115.59
West,916,Competition Field,2019,1,2,21,0.84,0.84
West,916,Competition Field,2019,1,2,22,0.85,0.85
West,916,Competition Field,2019,1,2,23,0.91,0.91
West,916,Competition Field,2019,1,3,0,0.85,0.85
West,916,Competition Field,2019,1,3,1,0.85,0.85
West,916,Competition Field,2019,1,3,2,0.84,0.84
West,916,Competition Field,2019,1,3,3,0.8,0.8
West,916,Competition Field,2019,1,3,4,0.71,0.71
West,916,Competition Field,2019,1,3,5,0.72,0.72
West,916,Competition Field,2019,1,3,6,0.71,0.71
West,916,Competition Field,2019,1,3,7,0.78,0.78
West,916,Competition Field,2019,1,3,8,0.46,0.46
West,916,Competition Field,2019,1,3,9,0.54,0.54
West,916,Competition Field,2019,1,3,10,0.54,0.54
West,916,Competition Field,2019,1,3,11,0.62,0.62
West,916,Competition Field,2019,1,3,12,0.54,0.54
West,916,Competition Field,2019,1,3,13,0.62,0.62
West,916,Competition Field,2019,1,3,14,0.48,0.48
West,916,Competition Field,2019,1,3,15,1.56,1.56
West,916,Competition Field,2019,1,3,16,1.73,1.73
West,916,Competition Field,2019,1,3,17,0.49,0.49
West,916,Competition Field,2019,1,3,18,0.86,0.86
West,916,Competition Field,2019,1,3,19,0.87,0.87
West,916,Competition Field,2019,1,3,20,0.86,0.86
West,916,Competition Field,2019,1,3,21,0.85,0.85
West,916,Competition Field,2019,1,3,22,0.86,0.86
West,916,Competition Field,2019,1,3,23,0.91,0.91
West,916,Competition Field,2019,1,4,0,0.88,0.88
West,916,Competition Field,2019,1,4,1,0.87,0.87
West,916,Competition Field,2019,1,4,2,0.86,0.86
West,916,Competition Field,2019,1,4,3,0.86,0.86
West,916,Competition Field,2019,1,4,4,0.87,0.87
West,916,Competition Field,2019,1,4,5,0.71,0.71
West,916,Competition Field,2019,1,4,6,0.78,0.78
West,916,Competition Field,2019,1,4,7,0.79,0.79
West,916,Competition Field,2019,1,4,8,0.54,0.54
West,916,Competition Field,2019,1,4,9,0.44,0.44
West,916,Competition Field,2019,1,4,10,0.46,0.46
West,916,Competition Field,2019,1,4,11,0.55,0.55
West,916,Competition Field,2019,1,4,12,0.61,0.61
West,916,Competition Field,2019,1,4,13,0.7,0.7
West,916,Competition Field,2019,1,4,14,0.67,0.67
West,916,Competition Field,2019,1,4,15,0.68,0.68
West,916,Competition Field,2019,1,4,16,0.65,0.65
West,916,Competition Field,2019,1,4,17,0.67,0.67
West,916,Competition Field,2019,1,4,18,0.89,0.89
West,916,Competition Field,2019,1,4,19,0.88,0.88
West,916,Competition Field,2019,1,4,20,0.87,0.87
West,916,Competition Field,2019,1,4,21,0.88,0.88
West,916,Competition Field,2019,1,4,22,0.88,0.88
West,916,Competition Field,2019,1,4,23,0.87,0.87
West,916,Competition Field,2019,1,5,0,0.87,0.87
West,916,Competition Field,2019,1,5,1,0.87,0.87
West,916,Competition Field,2019,1,5,2,0.87,0.87
West,916,Competition Field,2019,1,5,3,0.87,0.87
West,916,Competition Field,2019,1,5,4,0.86,0.86
West,916,Competition Field,2019,1,5,5,0.85,0.85
West,916,Competition Field,2019,1,5,6,0.84,0.84
West,916,Competition Field,2019,1,5,7,0.85,0.85
West,916,Competition Field,2019,1,5,8,0.45,0.45
West,916,Competition Field,2019,1,5,9,0.44,0.44
West,916,Competition Field,2019,1,5,10,0.48,0.48
West,916,Competition Field,2019,1,5,11,0.58,0.58
West,916,Competition Field,2019,1,5,12,0.58,0.58
West,916,Competition Field,2019,1,5,13,0.56,0.56
West,916,Competition Field,2019,1,5,14,0.47,0.47
West,916,Competition Field,2019,1,5,15,0.51,0.51
West,916,Competition Field,2019,1,5,16,0.53,0.53
West,916,Competition Field,2019,1,5,17,0.51,0.51
West,916,Competition Field,2019,1,5,18,0.86,0.86
West,916,Competition Field,2019,1,5,19,0.95,0.95
West,916,Competition Field,2019,1,5,20,0.98,0.98
West,916,Competition Field,2019,1,5,21,0.89,0.89
West,916,Competition Field,2019,1,5,22,0.89,0.89
West,916,Competition Field,2019,1,5,23,0.88,0.88
West,916,Competition Field,2019,1,6,0,0.88,0.88
West,916,Competition Field,2019,1,6,1,0.96,0.96
West,916,Competition Field,2019,1,6,2,0.87,0.87
West,916,Competition Field,2019,1,6,3,0.87,0.87
West,916,Competition Field,2019,1,6,4,0.93,0.93
West,916,Competition Field,2019,1,6,5,0.91,0.91
West,916,Competition Field,2019,1,6,6,0.92,0.92
West,916,Competition Field,2019,1,6,7,0.87,0.87
West,916,Competition Field,2019,1,6,8,0.47,0.47
West,916,Competition Field,2019,1,6,9,0.43,0.43
West,916,Competition Field,2019,1,6,10,0.47,0.47
West,916,Competition Field,2019,1,6,11,0.6,0.6
West,916,Competition Field,2019,1,6,12,0.5,0.5
West,916,Competition Field,2019,1,6,13,0.44,0.44
West,916,Competition Field,2019,1,6,14,0.52,0.52
West,916,Competition Field,2019,1,6,15,0.58,0.58
West,916,Competition Field,2019,1,6,16,0.54,0.54
West,916,Competition Field,2019,1,6,17,0.47,0.47
West,916,Competition Field,2019,1,6,18,0.85,0.85
West,916,Competition Field,2019,1,6,19,0.86,0.86
West,916,Competition Field,2019,1,6,20,0.86,0.86
West,916,Competition Field,2019,1,6,21,0.85,0.85
West,916,Competition Field,2019,1,6,22,0.87,0.87
West,916,Competition Field,2019,1,6,23,0.87,0.87
West,916,Competition Field,2019,1,7,0,0.87,0.87
West,916,Competition Field,2019,1,7,1,0.92,0.92
West,916,Competition Field,2019,1,7,2,0.86,0.86
West,916,Competition Field,2019,1,7,3,0.87,0.87
West,916,Competition Field,2019,1,7,4,0.86,0.86
West,916,Competition Field,2019,1,7,5,0.83,0.83
West,916,Competition Field,2019,1,7,6,0.83,0.83
West,916,Competition Field,2019,1,7,7,0.81,0.81
West,916,Competition Field,2019,1,7,8,0.48,0.48
West,916,Competition Field,2019,1,7,9,0.46,0.46
West,916,Competition Field,2019,1,7,10,0.57,0.57
West,916,Competition Field,2019,1,7,11,0.53,0.53
West,916,Competition Field,2019,1,7,12,0.66,0.66
West,916,Competition Field,2019,1,7,13,0.7,0.7
West,916,Competition Field,2019,1,7,14,1.75,1.75
West,916,Competition Field,2019,1,7,15,2.22,2.22
West,916,Competition Field,2019,1,7,16,2.15,2.15
West,916,Competition Field,2019,1,7,17,2.03,2.03
West,916,Competition Field,2019,1,7,18,1.82,1.82
West,916,Competition Field,2019,1,7,19,0.86,0.86
West,916,Competition Field,2019,1,7,20,0.86,0.86
West,916,Competition Field,2019,1,7,21,0.86,0.86
West,916,Competition Field,2019,1,7,22,0.86,0.86
West,916,Competition Field,2019,1,7,23,0.86,0.86
West,916,Competition Field,2019,1,8,0,0.96,0.96
West,916,Competition Field,2019,1,8,1,0.87,0.87
West,916,Competition Field,2019,1,8,2,0.85,0.85
West,916,Competition Field,2019,1,8,3,0.92,0.92
West,916,Competition Field,2019,1,8,4,0.85,0.85
West,916,Competition Field,2019,1,8,5,0.84,0.84
West,916,Competition Field,2019,1,8,6,0.83,0.83
West,916,Competition Field,2019,1,8,7,0.84,0.84
West,916,Competition Field,2019,1,8,8,0.49,0.49
West,916,Competition Field,2019,1,8,9,0.5,0.5
West,916,Competition Field,2019,1,8,10,0.53,0.53
